2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,899050,2022-11-20,北证50,成长,,-16.20%,-17.54%,1.60%,19.33%,1.8e+01,36.69%,9.37%,2.5,18.71%,4.63%,13.89%,0.77,1.41%,"广发北证50成份指数A(017512), 广发北证50成份指数C(017513), 易方达北证50成份指数A(017515), 易方达北证50成份指数C(017516), 招商北证50成份指数发起式A(017517), 招商北证50成份指数发起式C(017518), 汇添富北证50成份指数A(017519), 汇添富北证50成份指数C(017520), 富国北证50成份指数A(017521), 富国北证50成份指数C(017522), 南方北证50成份指数发起A(017523), 南方北证50成份指数发起C(017524), 华夏北证50成份指数A(017525), 华夏北证50成份指数C(017526), 嘉实北证50成份指数A(017527), 嘉实北证50成份指数C(017528)"
A股,399993,2015-05-07,CSWD生科,成长,,-53.37%,-54.60%,2.64%,114.45%,4.4e+01,21.68%,29.70%,3.9,0.41%,3.47%,8.86%,0.2,1.10%,"易方达中证万得生物科技指数（LOF）C(010572), 易方达中证万得生物科技指数（LOF）A(161122)"
A股,980015,2015-02-15,疫苗生科,成长,,-54.87%,-56.22%,2.99%,121.58%,3.1e+01,24.84%,20.97%,4.2,5.92%,6.71%,13.55%,0.44,1.14%,"华夏国证疫苗与生物科技指数发起式A(016355), 国泰国证疫苗与生物科技ETF发起联接A(017185), 国泰国证疫苗与生物科技ETF(159643), 富国国证疫苗与生物科技ETF(159645), 疫苗ETF基金(159646), 生物疫苗ETF(159657)"
A股,930743,2015-08-25,中证生科,成长,,-51.97%,-53.51%,3.21%,108.20%,4.1e+01,22.19%,41.66%,4.3,1.16%,5.52%,10.49%,0.25,1.01%,"华夏中证生物科技主题ETF发起式联接A(017604), 汇添富中证生物科技指数A(501009), 汇添富中证生物科技指数C(501010), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849)"
A股,930707,2015-07-12,中证畜牧,周期,,-46.59%,-48.37%,3.33%,87.23%,2.2e+01,29.45%,47.83%,2.8,4.35%,6.32%,12.73%,0.59,1.30%,"国泰中证畜牧养殖ETF联接A(012724), 国泰中证畜牧养殖ETF联接C(012725), 招商中证畜牧养殖ETF联接A(014414), 招商中证畜牧养殖ETF(516670), 平安中证畜牧养殖ETF(516760), 国泰中证畜牧养殖ETF(159865), 畜牧ETF(159867)"
A股,399814,2014-07-21,大农业,周期,*,-44.05%,-45.93%,3.36%,78.73%,2e+01,1.32%,8.56%,3.2,21.25%,19.34%,16.00%,0.82,1.89%,"前海开源中证大农业指数增强A(001027), 嘉实中证大农业ETF(516550)"
A股,930719,2015-08-04,CS精准医,成长,,-54.63%,-56.25%,3.57%,120.41%,3.8e+01,23.77%,22.90%,4.9,2.94%,6.91%,12.89%,0.34,1.01%,"汇添富中证精准医指数（LOF）A(501005), 汇添富中证精准医指数（LOF）C(501006)"
A股,930939,2018-11-20,500质量,成长,*,-27.16%,-29.85%,3.69%,37.29%,1.6e+01,49.32%,34.95%,2.6,74.12%,34.89%,16.25%,1.0,2.35%,"鹏扬中证500质量成长ETF联接A(007593), 鹏扬中证500质量成长ETF联接C(007594), 鹏扬中证500质量成长ETF(560500), 易方达中证500质量成长ETF(159606)"
A股,931484,2020-05-05,CS医药创新,成长,*,-61.26%,-62.69%,3.69%,158.13%,2.4e+01,11.35%,12.96%,5.5,4.62%,11.49%,22.92%,0.97,1.39%,"平安中证医药及医疗器械创新指数发起式A(013873), 平安中证医疗创新ETF(516820), 方正富邦中证医药及医疗器械创新ETF(560600)"
A股,399441,2015-01-19,生物医药,成长,*,-59.74%,-61.43%,4.20%,148.39%,3.1e+01,7.48%,22.75%,4.1,1.08%,8.16%,13.23%,0.43,0.87%,"天弘国证生物医药ETF发起式联接A(011040), 天弘国证生物医药ETF发起式联接C(011041), 招商国证生物医药指数C(012417), 华安国证生物医药指数A(012598), 华安国证生物医药指数C(012599), 汇添富国证生物医药ETF(159839), 生物医药ETF(159859), 招商国证生物医药指数A(161726)"
A股,399326,2006-01-23,成长40,成长,*,-49.10%,-51.35%,4.42%,96.46%,1.5e+01,0.16%,4.09%,3.4,4.02%,12.49%,22.67%,1.6,1.35%,"大成深证成长40ETF联接(090012), 大成深证成长40ETF(159906)"
A股,399965,2012-12-20,800地产,价值,,-47.29%,-49.63%,4.44%,89.72%,1.6e+01,69.99%,64.62%,0.81,2.67%,11.88%,5.06%,0.32,2.27%,"地产ETF(159707), 鹏华中证800地产指数(LOF)A(160628)"
A股,399983,2013-11-21,地产等权,价值,,-53.32%,-55.44%,4.54%,114.22%,1.4e+01,76.81%,64.33%,0.74,1.03%,5.52%,5.29%,0.38,2.71%,"招商沪深300地产等权重指数C(013273), 招商沪深300地产等权重指数A(161721)"
A股,931066,2018-02-04,军工龙头,成长,,-36.26%,-39.25%,4.69%,56.89%,4.4e+01,63.92%,33.31%,3.1,4.62%,7.56%,7.05%,0.16,0.70%,富国中证军工龙头ETF(512710)
