2025-12-24,stockCode,publishDate,stockName,style,hasPosition,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,pe,pe10pos,pb,pb10pos,roe,div,funds
A股,899050,2022-11-21,北证50,成长,,-10.67%,-45.73%,-39.25%,6.9e+01,87.08%,5.1,87.08%,7.39%,0.75%,"广发北证50成份指数A(017512), 嘉实北证50成份指数A(017527), 华夏北证50成份指数A(017525), 富国北证50成份指数A(017521), 招商北证50成份指数发起式A(017517), 南方北证50成份指数发起A(017523), 汇添富北证50成份指数A(017519), 易方达北证50成份指数A(017515), 富国北证50成份指数C(017522), 南方北证50成份指数发起C(017524), 招商北证50成份指数发起式C(017518), 嘉实北证50成份指数C(017528), 易方达北证50成份指数C(017516), 汇添富北证50成份指数C(017520), 华夏北证50成份指数C(017526), 广发北证50成份指数C(017513), 博时北证50成份指数发起式A(018128), 鹏扬北证50成份指数A(018114), 万家北证50成份指数发起式A(018120), 工银北证50成份指数A(018112), 工银北证50成份指数C(018113), 鹏扬北证50成份指数C(018115), 博时北证50成份指数发起式C(018129), 万家北证50成份指数发起式C(018121), 创金合信北证50成份指数增强A(019993), 创金合信北证50成份指数增强C(019994), 中欧北证50成份指数发起A(021298), 东财北证50指数发起式A(020828), 中欧北证50成份指数发起C(021299), 东财北证50指数发起式C(020829), 华安北证50成份指数发起式A(021172), 国泰北证50成份指数发起A(021101), 华安北证50成份指数发起式C(021173), 天弘北证50成份指数发起A(021161), 招商资管北证50成份指数发起A(021690), 鹏华北证50成份指数发起式A(021687), 长盛北证50成份指数增强A(021765), 天弘北证50成份指数发起C(021162), 招商资管北证50成份指数发起C(021691), 长盛北证50成份指数增强C(021766), 鹏华北证50成份指数发起式C(021688), 国泰北证50成份指数发起C(021102), 前海开源北证50成份指数发起A(023441), 宝盈北证50成份指数发起式A(023395), 宝盈北证50成份指数发起式C(023396), 前海开源北证50成份指数发起C(023442), 永赢北证50成份指数发起A(023886), 华泰柏瑞北证50成份指数A(023659), 永赢北证50成份指数发起C(023887), 华泰柏瑞北证50成份指数I(023661), 华泰柏瑞北证50成份指数C(023660), 大成北证50成份指数发起式A(024161), 大成北证50成份指数发起式C(024162), 浦银安盛北证50成份指数A(024743), 建信北证50成份指数发起A(024828), 浦银安盛北证50成份指数C(024744), 建信北证50成份指数发起C(024829)"
A股,000171,2017-01-25,新兴成指,成长,,-27.46%,-64.85%,-51.54%,3.2e+01,49.33%,4.3,49.33%,13.44%,1.38%,"华夏战略新兴成指ETF(512770), 华夏战略新兴成指ETF联接C(006910), 华夏战略新兴成指ETF联接A(006909)"
A股,000859,2019-05-16,国企一带一路,价值,,-10.88%,-34.37%,-26.36%,1e+01,1.49%,1.0,1.49%,10.00%,3.72%,"易方达中证国企一带一路ETF(515110), 富国中证国企一带一路ETF(515150), 添富中证国企一带一路ETF(515990), 富国中证国企一带一路ETF联接A(007786), 富国中证国企一带一路ETF联接C(007787), 汇添富中证国企一带一路ETF联接A(008907), 汇添富中证国企一带一路ETF联接C(008908), 易方达中证国企一带一路ETF联接发起式C(007789), 易方达中证国企一带一路ETF联接A(007788)"
A股,000861,2019-05-16,央企创新,价值,,-1.95%,-24.64%,-23.14%,1.5e+01,92.15%,1.4,92.15%,9.33%,3.28%,"博时央创ETF联接A(007796), 博时央创ETF联接C(007797), 富国中证央企创新驱动ETF联接A(007809), 广发中证央企创新驱动ETF(515600), 广发央企创新驱动ETF联接A(007784), 富国中证央企创新驱动ETF(159974), 嘉实央企创新驱动ETF(515680), 博时央企创新ETF(515900), 广发央企创新驱动ETF联接C(007785), 嘉实央企创新驱动ETF联接A(007792), 嘉实央企创新驱动ETF联接C(007793), 富国中证央企创新驱动ETF联接C(007810)"
A股,930050,2024-01-02,中证A50,价值,,3.41%,-13.30%,-16.16%,1.8e+01,99.37%,2.3,99.37%,12.78%,2.83%,"A50ETF基金(159592), 易方达中证A50ETF(563080), 平安中证A50ETF(159593), 摩根中证A50ETF(560350), 嘉实中证A50ETF(562890), 中证A50(563350), 华宝中证A50ETF(159596), 中证A50ETF基金(561230), 富国中证A50ETF(159591), 大成中证A50ETF(159595), 银华中证A50ETF联接A(021208), 摩根中证A50ETF发起式联接A(021177), 嘉实中证A50ETF联接A(021214), 华泰柏瑞中证A50ETF发起式联接A(021222), 华宝中证A50ETF发起式联接A(021216), 富国中证A50ETF发起式联接A(021210), 大成中证A50ETF联接A(021212), 易方达中证A50ETF联接发起式A(021206), 平安中证A50ETF联接A(021183), 工银中证A50ETF联接A(021231), 浦银安盛中证A50指数增强A(021256), 摩根中证A50ETF发起式联接C(021178), 华宝中证A50ETF发起式联接C(021217), 易方达中证A50ETF联接发起式C(021207), 华泰柏瑞中证A50ETF发起式联接C(021223), 富国中证A50ETF发起式联接C(021211), 大成中证A50ETF联接C(021213), 平安中证A50ETF联接C(021184), 大成中证A50ETF联接E(021359), 嘉实中证A50ETF联接C(021215), 银华中证A50ETF联接C(021209), 浦银安盛中证A50指数增强C(021257), 工银中证A50ETF联接C(021232), 中欧中证A50指数A(021889), 博时中证A50ETF发起式联接A(021233), 中欧中证A50指数C(021890), 博时中证A50ETF发起式联接C(021234), 摩根中证A50ETF发起式联接E(022110), 华泰柏瑞中证A50ETF发起式联接E(022262), 永赢中证A50指数增强发起A(022204), 招商中证A50ETF(512250), 永赢中证A50指数增强发起C(022205), 易方达中证A50ETF联接发起式Y(022892), 工银中证A50ETF联接Y(022975), 招商中证A50指数增强发起式A(022849), 广发中证A50指数A(023108), 交银中证A50指数A(023052), 新华中证A50ETF(560820), 鹏华中证A50ETF(512240), 国联中证A50ETF(场内简称：A50指数ETF）(159390), 招商中证A50指数增强发起式C(022850), 广发中证A50指数C(023109), 宏利中证A50指数增强A(023418), 博时中证A50ETF(561750), 天弘中证A50指数A(023431), 交银中证A50指数C(023053), 国联中证A50联接A(024004), 宏利中证A50指数增强C(023419), 天弘中证A50指数C(023432), 易方达中证A50增强策略ETF(512030), 平安中证A50ETF联接E(024491), 国联中证A50联接C(024005)"
A股,930598,2015-03-02,稀土产业,周期,,-1.56%,-59.24%,-58.59%,3.9e+01,90.98%,3.2,90.98%,8.21%,0.84%,"嘉实中证稀土产业ETF(516150), 稀土ETF(516780), 嘉实中证稀土产业ETF联接A(011035), 富国中证稀土产业ETF(159713), 嘉实中证稀土产业ETF联接C(011036), 易方达中证稀土产业ETF(159715), 华泰柏瑞中证稀土产业ETF发起式联接A(014331), 华泰柏瑞中证稀土产业ETF发起式联接C(014332)"
A股,930599,2015-03-02,中证高装,成长,,-2.40%,-66.95%,-66.14%,4.5e+01,91.31%,4.0,91.31%,8.89%,1.00%,"东财高端制造增强A(011667), 东财高端制造增强C(011668), 天弘中证高端装备制造指数增强A(012212), 天弘中证高端装备制造指数增强C(012213), 东财高端制造增强E(020987), 天弘中证高端装备制造指数增强E(022559)"
A股,930601,2015-03-10,中证软件,成长,,-49.60%,-71.63%,-43.71%,1.9e+02,75.05%,5.6,75.05%,2.95%,0.54%,"嘉实中证软件服务ETF(159852), 嘉实中证软件服务ETF联接C(012620), 嘉实中证软件服务ETF联接A(012619), 万家中证软件服务ETF发起式联接A(018182), 易方达中证软件服务ETF(562930), 万家中证软件服务ETF发起式联接C(018183), 易方达中证软件服务ETF联接发起式A(019061), 易方达中证软件服务ETF联接发起式C(019062), 博时中证软件服务指数发起式A(019503), 博时中证软件服务指数发起式C(019504), 万家中证软件服务ETF(560360), 天弘中证软件服务指数发起A(021535), 天弘中证软件服务指数发起C(021536)"
A股,930604,2015-03-23,中国互联网30,成长,,-47.12%,-73.25%,-49.41%,2.1e+01,30.44%,3.0,30.44%,14.29%,0.79%,"嘉实中证海外中国互联网30ETF（QDII）(159607), 广发中证海外中国互联网30（QDII-ETF）(159605)"
A股,930606,2015-03-31,中证钢铁,周期,,-36.20%,-70.61%,-53.93%,5.7e+01,57.27%,1.1,57.27%,1.93%,1.68%,"国泰中证钢铁ETF联接A(008189), 国泰中证钢铁ETF联接C(008190), 国泰中证钢铁ETF(515210), 国泰中证钢铁ETF(515213), 国泰中证钢铁ETF联接E(022586)"
A股,930608,2015-03-31,中证基建,价值,,-22.79%,-43.35%,-26.63%,9.7,15.89%,0.81,15.89%,8.35%,3.03%,"基建ETF(516950), 国泰中证基建ETF(159619), 华夏中证基建ETF(159635), 国泰中证基建ETF发起联接A(016836), 华安中证基建指数发起式A(016908), 国泰中证基建ETF发起联接C(016837), 华安中证基建指数发起式C(016909), 华夏中证基建ETF发起式联接A(017683), 华夏中证基建ETF发起式联接C(017684)"
A股,930614,2015-04-07,环保50,成长,,-42.10%,-62.36%,-34.99%,3.6e+01,51.30%,2.9,51.30%,8.06%,1.60%,"国泰中证环保产业50ETF(159861), 国泰中证环保产业50ETF联接A(012503), 国泰中证环保产业50ETF联接C(012504), 国泰中证环保产业50ETF联接E(021610)"
A股,930625,2015-04-21,SHS互联网,成长,,-28.82%,-63.51%,-48.74%,2.8e+01,19.54%,3.5,19.54%,12.50%,0.77%,"嘉实中证沪港深互联网ETF(517200), 互联网50(517050), 互联网龙头ETF(159856), 东财中证沪港深互联网ETF发起式联接A(012371), 汇添富中证沪港深互联网ETF(159729), 东财中证沪港深互联网ETF发起式联接C(012372), 东财中证沪港深互联网ETF发起式联接E(021358), 互联网ETF沪港深(159550)"
A股,930632,2015-05-12,CS稀金属,周期,,-20.97%,-66.21%,-57.24%,4.2e+01,59.20%,3.8,59.20%,9.05%,0.76%,"华富中证稀有金属主题ETF(561800), 嘉实中证稀有金属主题ETF(562800), 广发中证稀有金属ETF(159608), 嘉实中证稀有金属主题ETF发起联接A(014110), 华宝中证稀有金属指数增强发起A(013942), 嘉实中证稀有金属主题ETF发起联接C(014111), 华宝中证稀有金属指数增强发起C(013943), 稀有金属ETF基金(159671), 工银中证稀有金属主题ETF发起式联接A(019087), 工银中证稀有金属主题ETF发起式联接C(019088), 广发中证稀有金属ETF发起式联接A(019874), 广发中证稀有金属ETF发起式联接C(019875)"
A股,930633,2015-05-08,中证旅游,成长,,-35.74%,-53.17%,-27.12%,2.5e+03,73.86%,2.7,73.86%,0.11%,0.77%,"富国中证旅游主题ETF(159766), 华夏中证旅游主题ETF(562510)"
A股,930641,2015-05-19,中证中药,成长,,-27.79%,-42.37%,-20.19%,2.4e+01,0.86%,2.3,0.86%,9.58%,3.49%,"汇添富中证中药ETF联接（LOF）A(501011), 汇添富中证中药ETF联接（LOF）C(501012), 中医药(561510), 汇添富中证中药ETF(560080), 中药ETF(159647), 中药(562390), 鹏华中证中药ETF联接A(016891), 鹏华中证中药ETF联接C(016892)"
A股,930651,2015-06-05,CS计算机,成长,,-35.67%,-75.53%,-61.96%,5.8e+01,62.29%,4.7,62.29%,8.10%,0.95%,"天弘中证计算机主题ETF联接A(001629), 天弘中证计算机主题ETF联接C(001630), 国泰中证计算机主题ETF联接A(160224), 国泰中证计算机主题ETF(512720), 天弘中证计算机主题ETF(159998), 国泰中证计算机主题ETF联接C(010210), 国泰中证计算机主题ETF联接E(022541)"
A股,930652,2015-06-05,CS电子,成长,,5.27%,-62.10%,-64.00%,6e+01,97.78%,5.6,97.78%,9.33%,0.64%,"天弘中证电子ETF联接A(001617), 天弘中证电子ETF联接C(001618), 天弘中证电子ETF(159997)"
A股,930653,2015-06-05,CS食品饮,成长,,-52.39%,-60.40%,-16.82%,2.2e+01,6.26%,4.1,6.26%,18.64%,3.56%,"天弘中证食品饮料ETF联接C(001632), 天弘中证食品饮料ETF联接A(001631), 天弘中证食品饮料ETF(159736), 东财食品饮料指数增强C(012341), 东财食品饮料指数增强A(012340), 东财食品饮料指数增强E(022178)"
A股,930697,2015-07-07,家用电器,成长,,-9.42%,-42.54%,-36.56%,1.6e+01,16.88%,2.7,16.88%,16.88%,3.48%,"广发中证全指家用电器ETF联接A(005063), 广发中证全指家用电器ETF联接C(005064), 国泰中证全指家用电器ETF联接A(008713), 国泰中证全指家用电器ETF(159996), 国泰中证全指家用电器ETF联接C(008714), 富国中证全指家用电器ETF(561120), 广发中证全指家用电器ETF(560880), 富国中证全指家用电器ETF发起式联接A(017226), 富国中证全指家用电器ETF发起式联接C(017227), 嘉实中证全指家用电器指数发起式A(018564), 嘉实中证全指家用电器指数发起式C(018565), 国泰中证全指家用电器ETF联接E(022483), 南方中证全指家用电器指数发起(024315)"
A股,930707,2015-07-13,中证畜牧,周期,,-52.74%,-63.56%,-22.89%,1.7e+01,6.96%,2.5,6.96%,14.71%,2.88%,"招商中证畜牧养殖ETF(516670), 平安中证畜牧养殖ETF(516760), 国泰中证畜牧养殖ETF(159865), 畜牧ETF(159867), 国泰中证畜牧养殖ETF联接A(012724), 国泰中证畜牧养殖ETF联接C(012725), 招商中证畜牧养殖ETF联接A(014414), 招商中证畜牧养殖ETF联接C(014415), 国泰中证畜牧养殖ETF联接E(022475)"
A股,930708,2015-07-13,中证有色,周期,,9.13%,-52.23%,-56.23%,2.6e+01,93.50%,3.4,93.50%,13.08%,1.37%,"华宝中证有色金属ETF(159876), 东财有色增强A(011630), 有色金属(159871), 东财有色增强C(011631), 国泰中证有色金属ETF(159881), 华宝中证有色金属ETF发起式联接A(017140), 华宝中证有色金属ETF发起式联接C(017141), 东财有色增强E(020735)"
A股,930709,2015-07-13,香港证券,周期,,-15.48%,-62.69%,-55.86%,1.3e+01,68.84%,1.1,68.84%,8.46%,2.62%,易方达中证香港证券投资主题（港股通）ETF(513090)
A股,930712,2015-07-31,CS物联网,成长,,6.37%,-46.49%,-49.69%,3.3e+01,66.65%,4.5,66.65%,13.64%,1.39%,"物联网(516330), 华夏中证物联网主题ETF(516260), 南方中证物联网主题ETF(159896), 易方达中证物联网主题ETF(159895), 招商中证物联网主题ETF(159701), 易方达中证物联网主题ETF联接发起式A(019167), 易方达中证物联网主题ETF联接发起式C(019168), 华夏物联网ETF联接A(019975), 华夏中证物联网主题ETF发起式联接C(019976), 南方中证物联网主题ETF发起联接A(023196), 南方中证物联网主题ETF发起联接C(023197)"
A股,930713,2015-07-31,CS人工智,成长,,1.62%,-54.61%,-55.33%,6.1e+01,99.14%,7.2,99.14%,11.80%,0.62%,"融通人工智能指数(LOF)A(161631), 华夏中证人工智能主题ETF(515070), 平安人工智能ETF(512930), 华夏中证人工智能主题ETF联接C(008586), 易方达中证人工智能主题ETF(159819), 融通人工智能指数(LOF)C(009239), 华夏人工智能ETF联接A(008585), 西部利得中证人工智能主题指数增强A(011832), 西部利得中证人工智能主题指数增强C(011833), 天弘中证人工智能A(011839), 天弘中证人工智能C(011840), 易方达中证人工智能主题ETF联接A(012733), 易方达中证人工智能主题ETF联接C(012734), 华夏中证人工智能主题ETF联接D(021580), 中欧中证人工智能主题指数发起A(023461), 平安中证人工智能主题ETF发起式联接A(023384), 中欧中证人工智能主题指数发起C(023462), 平安中证人工智能主题ETF发起式联接C(023385), 万家中证人工智能主题ET(159248), 平安中证人工智能主题ETF发起式联接E(024610)"
A股,930716,2015-07-31,CS物流,成长,,-45.64%,-58.36%,-23.40%,1.4e+01,5.72%,1.2,5.72%,8.57%,3.80%,"富国中证现代物流ETF(516910), 物流快递(516530)"
A股,930719,2015-08-05,CS精准医,成长,,-54.90%,-71.59%,-37.01%,5.8e+01,24.61%,4.8,24.61%,8.28%,0.78%,"汇添富中证精准医疗指数（LOF）C(501006), 汇添富中证精准医疗指数（LOF）A(501005)"
A股,930721,2015-08-05,CS智汽车,成长,,-10.73%,-51.21%,-45.35%,3.2e+01,49.90%,3.8,49.90%,11.88%,0.98%,"富国中证智能汽车指数（LOF）A(161033), 富国中证智能汽车主题ETF(515250), 天弘中证智能汽车A(010955), 智能驾驶(516520), 天弘中证智能汽车C(010956), 华夏中证智能汽车主题ETF(159888), 国泰中证智能汽车主题ETF(159889), 富国中证智能汽车指数（LOF）C(013292), 汇添富中证智能汽车主题ETF(159795)"
A股,930726,2015-08-05,CS生医,成长,,-59.55%,-68.60%,-22.37%,5.2e+01,18.69%,4.5,18.69%,8.65%,0.92%,"国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290), 国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接E(022498)"
A股,930740,2018-12-04,300红利LV,价值,,-6.98%,-23.91%,-18.20%,9.1,81.25%,0.95,81.25%,10.44%,4.34%,"嘉实沪深300红利低波动ETF(515300), 嘉实沪深300红利低波动ETF联接C(007606), 嘉实沪深300红利低波动ETF联接A(007605), 嘉实沪深300红利低波动ETF联接Y(022897), 中加沪深300红利低波动指数(024906)"
A股,930743,2015-08-26,中证生科,成长,,-57.63%,-67.62%,-23.58%,5.3e+01,14.41%,3.8,14.41%,7.17%,0.96%,"汇添富中证生物科技指数（LOF）A(501009), 汇添富中证生物科技指数（LOF）C(501010), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 华夏中证生物科技主题ETF发起式联接A(017604), 华夏中证生物科技主题ETF发起式联接C(017605), 易方达中证生物科技主题ETF联接发起式A(019324), 易方达中证生物科技主题ETF联接发起式C(019325)"
A股,930781,2016-02-04,中证影视,成长,,-66.20%,-78.22%,-35.56%,1.9e+02,41.02%,2.3,41.02%,1.21%,0.94%,"影视ETF(159855), 国泰中证影视主题ETF(516620)"
A股,930782,2016-02-04,500SNLV,价值,,3.10%,-37.10%,-38.99%,2e+01,73.76%,1.7,73.76%,8.50%,2.33%,"景顺长城中证500行业中性低波动指数A(003318), 华安中证500低波ETF(512260), 景顺长城中证500行业中性低波动指数C(019359)"
