2024/10/25,stockCode,publishDate,stockName,style,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,funds
A股,399971,2014/4/15,中证传媒,成长,-76.07%,-83.64%,-31.63%,"广发中证传媒ETF联接A(004752), 广发中证传媒ETF联接C(004753), 工银传媒指数C(010677), 鹏华中证传媒指数(LOF)C(015675), 广发中证传媒ETF联接E(018864), 博时中证传媒指数发起式A(020183), 博时中证传媒指数发起式C(020184), 工银传媒指数E(020407), 工银传媒指数A(164818), 广发中证传媒ETF(512980), 传媒ETF(159805), 鹏华中证传媒指数(LOF)A(160629)"
A股,399983,2013/11/22,地产等权,价值,-72.78%,-79.33%,-24.06%,"招商沪深300地产等权重指数C(013273), 招商沪深300地产等权重指数A(161721)"
A股,930781,2016/2/4,中证影视,成长,-70.87%,-78.22%,-25.23%,"国泰中证影视主题ETF(516620), 影视ETF(159855)"
A股,931456,2020/4/21,中国教育,成长,-70.77%,-84.39%,-46.60%,博时全球中国教育（QDII-ETF）(513360)
A股,931775,2013/7/15,房地产,价值,-70.20%,-78.58%,-28.12%,"南方中证房地产ETF发起联接A(004642), 南方中证房地产ETF发起联接C(004643), 华夏中证全指房地产ETF联接A(008088), 华夏中证全指房地产ETF联接C(008089), 南方中证房地产ETF发起联接E(010989), 南方中证全指房地产ETF(512200), 华夏中证全指房地产ETF(515060)"
A股,399965,2012/12/21,800地产,价值,-69.24%,-77.11%,-25.59%,"鹏华中证800地产指数(LOF)C(015674), 华宝中证800地产ETF(159707), 鹏华中证800地产指数(LOF)A(160628)"
港股,HSHCI,2015/8/17,恒生医疗保健指数,成长,-69.04%,-75.99%,-22.45%,博时恒生医疗保健(QDII-ETF)(513060)
A股,931484,2020/5/6,CS医药创新,成长,-68.51%,-75.97%,-23.69%,"平安中证医药及医疗器械创新指数发起式A(013873), 平安中证医药及医疗器械创新指数发起式C(013874), 平安中证医疗创新ETF(516820), 方正富邦中证医药及医疗器械创新ETF(560600)"
A股,399393,2012/8/20,国证地产,价值,-68.28%,-77.33%,-28.53%,"国泰国证房地产行业指数C(015042), 国泰国证房地产行业指数A(160218)"
A股,399441,2015/1/20,生物医药,成长,-67.91%,-75.46%,-23.53%,"天弘国证生物医药ETF发起式联接A(011040), 天弘国证生物医药ETF发起式联接C(011041), 招商国证生物医药指数C(012417), 华安国证生物医药ETF发起式联接A(012598), 华安国证生物医药ETF发起式联接C(012599), 华安国证生物医药ETF(159508), 汇添富国证生物医药ETF(159839), 天弘国证生物医药ETF(159859), 招商国证生物医药指数A(161726)"
