931456,中国教育,-84.39%
399971,中证传媒,-82.20%
399983,地产等权,-79.33%
H11136,中国互联网,-78.81%
930781,中证影视,-78.22%
931775,房地产,-78.16%
399393,国证地产,-77.33%
399965,800地产,-77.03%
HSIII,恒生互联网科技业指数,-75.77%
399806,环境治理,-75.68%
930651,CS计算机,-75.53%
HSHCI,恒生医疗保健指数,-75.52%
HSHKBIO,恒生香港上市生物科技指数,-75.29%
HSCEI,恒生中国企业指数,-75.12%
930901,动漫游戏,-75.11%
930965,HKC医药C,-75.07%
931574,港股科技,-74.74%
HSTECH,恒生科技指数,-74.40%
H30533,中国互联网50,-73.99%
931573,HKC科技,-73.34%
930604,中国互联网30,-73.25%
399995,基建工程,-72.33%
399441,生物医药,-71.99%
931484,CS医药创新,-75.97%
931787,港股创新药,-71.36%
931798,光伏龙头30,-70.88%
930606,中证钢铁,-70.61%
399440,国证钢铁,-70.40%
399989,中证医疗,-69.93%
399804,中证体育,-69.69%
930719,CS精准医,-69.68%
941,新能源,-69.53%
931719,CS电池,-69.49%
980015,疫苗生科,-68.97%
399808,中证新能,-68.89%
930726,CS生医,-68.16%
931151,光伏产业,-68.07%
399976,CS新能车,-67.84%
399993,CSWD生科,-67.84%
HSSCNE,恒生港股通新经济指数,-67.84%
980032,新能电池,-67.76%
399973,中证国防,-67.69%
930997,新能源车,-67.51%
931481,SHS线上消费,-67.28%
399807,高铁产业,-67.14%
399967,中证军工,-67.12%
399326,成长40,-66.59%
930632,CS稀金属,-66.21%
H30597,新材料,-65.21%
905,中证500,-65.20%
399812,养老产业,-65.09%
HSSI,恒生综合小型股指数,-69.39%
931409,SHS创新药,-64.85%
399673,创业板50,-64.75%
930743,中证生科,-64.59%
931637,HKC互联网,-64.54%
171,新兴成指,-64.36%
399417,新能源车,-64.16%
HSSSHID,恒生沪深港创新药精选50指数,-63.81%
930707,中证畜牧,-63.56%
399395,国证有色,-63.52%
930625,SHS互联网,-63.51%
399975,证券公司,-63.23%
913,300医药,-63.17%
H30202,软件指数,-63.06%
H30178,医疗保健,-63.05%
399994,信息安全,-62.95%
931152,CS创新药,-62.85%
931009,建筑材料,-62.82%
H30184,半导体,-62.54%
918,300成长,-62.45%
813,细分化工,-62.43%
812,细分机械,-62.37%
930614,环保50,-62.36%
990001,中华半导体芯片,-61.82%
980017,国证芯片,-61.64%
852,中证1000,-72.35%
H11052,智能电车,-61.52%
930601,中证软件,-61.40%
399412,国证新能,-61.22%
399803,工业4.0,-61.21%
HSSCHKY,恒生港股通高股息率指数,-61.06%
399296,创成长,-60.86%
945,内地运输,-60.86%
H30007,芯片产业,-60.78%
931480,线上消费,-60.72%
931524,SHS科技龙头,-60.66%
978,医药100,-60.43%
399394,国证医药,-60.26%
930902,中证数据,-60.25%
931643,科创创业50,-60.22%
399377,小盘价值,-60.22%
814,细分医药,-60.17%
827,中证环保,-60.14%
399006,创业板指,-60.01%
931380,科技50,-59.99%
399293,创业大盘,-59.95%
HSCGSI,恒生消费指数,-59.94%
931140,医药50,-59.76%
930851,云计算,-59.60%
858,500信息,-59.58%
930875,空天军工,-59.40%
399970,移动互联,-59.28%
930598,稀土产业,-59.24%
808,医药生物,-59.16%
998,中证TMT,-58.89%
931166,医药健康100,-58.84%
931582,数字经济,-58.82%
841,800医药,-58.60%
931663,SHS消费龙头,-58.42%
933,中证医药,-58.39%
993,全指信息,-58.39%
977,内地低碳,-58.34%
H30217,医疗器械,-58.30%
811,细分有色,-58.27%
688,科创50,-58.19%
995,全指公用,-57.96%
399624,中创400,-57.95%
399996,智能家居,-57.81%
931066,军工龙头,-57.36%
399997,中证白酒,-57.21%
37,上证医药,-56.97%
399364,消费100,-56.86%
819,有色金属,-56.73%
931071,人工智能,-56.62%
399814,大农业,-56.52%
935,中证信息,-56.46%
HSMCHYI,恒生中国内地企业高股息率指数,-56.41%
68,上证资源,-56.41%
931357,优选消费50,-56.16%
66,上证商品,-56.06%
399987,中证酒,-56.04%
931247,中证信创,-56.01%
936,中证电信,-55.95%
399974,国企改革,-55.92%
930794,中美互联网,-55.83%
931068,消费龙头,-55.81%
931404,SHS品牌消费50,-55.70%
399303,国证2000,-55.66%
930599,中证高装,-55.53%
806,消费服务,-55.53%
H30588,中证证保,-55.48%
399991,一带一路,-55.47%
HSMI,恒生综合中型股指数,-55.37%
980030,消费电子,-55.28%
931526,企业核心竞争力50,-55.17%
931521,高装细分50,-55.11%
HSML25,恒生中国(香港上市)25指数,-55.10%
930791,CS医药TI,-54.84%
690,科创成长,-54.72%
399966,800证保,-54.70%
931494,消费电子,-54.60%
9,上证380,-54.57%
69,消费80,-54.55%
399438,绿色电力,-54.52%
399005,中小板指,-54.50%
399330,深证100,-54.35%
930716,CS物流,-54.31%
930653,CS食品饮,-54.29%
807,食品饮料,-61.25%
986,全指能源,-54.25%
928,中证能源,-54.25%
399396,国证食品,-61.10%
399610,TMT50,-54.17%
987,全指材料,-53.99%
931139,CS消费50,-53.90%
930931,港股通50,-53.72%
991,全指医药,-53.67%
931802,中证龙头,-53.57%
44,上证中盘,-53.49%
930713,CS人工智,-53.34%
815,细分食品,-53.33%
982,500等权,-53.27%
399990,煤炭等权,-53.24%
931087,科技龙头,-53.02%
931461,电子50,-52.97%
930821,中证VR,-52.90%
930652,CS电子,-52.78%
HSI,恒生指数,-52.75%
904,中证200,-52.74%
901,小康指数,-52.68%
399324,深证红利,-52.50%
399088,深创100,-52.25%
36,上证消费,-59.13%
930708,中证有色,-52.23%
930709,香港证券,-52.19%
931079,5G通信,-52.18%
399007,深证300,-52.14%
979,大宗商品,-52.09%
969,300非周,-52.08%
930820,CS高端制,-51.78%
399295,创业蓝筹,-51.70%
949,中证农业,-51.42%
930721,CS智汽车,-51.21%
399998,中证煤炭,-51.11%
930850,智能制造,-50.88%
42,上证央企,-50.88%
932,中证消费,-58.69%
930633,中证旅游,-50.64%
399310,国证A50,-50.23%
989,全指可选,-62.65%
399001,深证成指,-50.10%
903,中证100,-50.06%
399291,创精选88,-49.94%
682,科创信息,-49.88%
H30590,机器人,-49.83%
931159,创新100,-49.76%
931406,5G 50,-49.57%
930986,金融科技,-49.43%
931160,通信设备,-49.42%
399437,证券龙头,-49.16%
931144,通信技术,-49.04%
906,中证800,-48.98%
21,180治理,-48.78%
56,上证国企,-48.64%
1,上证指数,-48.60%
399809,保险主题,-48.43%
931403,品牌工程,-48.42%
399699,金融科技,-48.36%
H30035,300非银,-48.29%
931142,东证竞争,-48.25%
685,科创芯片,-47.98%
10,上证180,-47.98%
15,红利指数,-47.74%
930792,HK银行,-47.43%
930839,港股通高息精选,-47.34%
825,央企红利,-46.82%
300,沪深300,-46.70%
931865,中证半导,-46.68%
H30094,消费红利,-46.60%
H30455,沪港深500,-46.51%
922,中证红利,-46.51%
930712,CS物联网,-46.49%
950090,50AH优选,-46.43%
931395,沪港深300,-46.19%
931008,汽车指数,-46.17%
931755,SEEE碳中和,-46.01%
