date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2008/1/25,5344.05,4.9,32.11,1090.62,,166.43,,0.152600436
2008/2/1,4777.64,4.4,28.85,1085.83,,165.6,,0.152512998
2008/2/5,5186.0,4.76,31.21,1089.5,,166.16,,0.152515219
2008/2/15,5065.27,4.66,30.52,1086.97,,165.97,,0.152686763
2008/2/22,4852.39,4.45,29.19,1090.42,,166.23,,0.152449469
2008/2/29,4854.83,4.46,29.2,1088.53,,166.26,,0.152739726
2008/3/7,4739.42,4.35,28.45,1089.52,,166.59,,0.152899824
2008/3/14,4227.42,3.89,25.44,1086.74,,166.17,,0.152908805
2008/3/21,4206.33,3.79,24.27,1109.85,,173.31,,0.156159868
2008/3/28,4101.85,3.67,23.44,1117.67,,174.99,,0.156569966
2008/4/3,3912.23,3.64,23.24,1074.79,,168.34,,0.156626506
2008/4/11,4023.99,3.63,23.82,1108.54,,168.93,,0.152392947
2008/4/18,3480.26,3.18,20.96,1094.42,,166.04,,0.151717557
2008/4/25,4117.97,3.66,23.61,1125.13,,174.42,,0.15501906
2008/4/30,4335.27,3.72,23.67,1165.4,,183.15,,0.157160963
2008/5/9,4162.01,3.54,22.52,1175.71,,184.81,,0.157193606
2008/5/16,4264.79,3.6,22.83,1184.66,,186.81,,0.157687254
2008/5/23,3995.71,3.45,21.87,1158.18,,182.7,,0.157750343
2008/5/30,3949.04,3.43,21.74,1151.32,,181.65,,0.157773689
2008/6/6,3818.2,3.37,21.33,1133.0,,179.01,,0.157993436
2008/6/13,3232.94,2.89,18.27,1118.66,,176.95,,0.158182813
2008/6/20,3131.39,2.96,18.28,1057.9,,171.3,,0.161925602
2008/6/27,3016.67,2.85,17.33,1058.48,,174.07,,0.164454703
2008/7/4,2889.31,2.78,16.8,1039.32,,171.98,,0.16547619
2008/7/11,3120.69,2.97,17.9,1050.74,,174.34,,0.165921788
2008/7/18,2963.65,2.88,17.38,1029.05,,170.52,,0.16570771
2008/7/25,3112.89,2.99,18.06,1041.1,,172.36,,0.165559247
2008/8/1,3020.79,2.95,17.77,1024.0,,169.99,,0.166010129
2008/8/8,2782.71,2.78,16.78,1000.97,,165.83,,0.165673421
2008/8/15,2629.11,2.61,15.72,1007.32,,167.25,,0.166030534
2008/8/22,2593.31,2.54,15.09,1020.99,,171.86,,0.168323393
2008/8/29,2596.1,2.51,14.66,1034.3,,177.09,,0.171214188
2008/9/5,2385.65,2.32,13.54,1028.3,,176.19,,0.171344165
2008/9/12,2261.15,2.21,12.92,1023.14,,175.01,,0.171052632
2008/9/19,2231.25,2.14,12.49,1042.64,,178.64,,0.17133707
2008/9/26,2435.18,2.38,13.86,1023.18,,175.7,,0.171717172
2008/10/10,2079.77,2.09,12.17,995.11,,170.89,,0.171733772
2008/10/17,2027.56,2.04,11.89,993.9,,170.53,,0.17157275
2008/10/24,1946.99,1.94,11.38,1003.6,,171.09,,0.170474517
2008/10/31,1838.44,1.77,10.76,1038.67,,170.86,,0.164498141
2008/11/7,1886.25,1.81,11.04,1042.13,,170.86,,0.163949275
2008/11/14,2158.56,2.03,12.36,1063.33,,174.64,,0.164239482
2008/11/21,2104.95,2.02,12.17,1042.05,,172.96,,0.165981923
2008/11/28,2000.7,1.91,11.53,1047.49,,173.52,,0.165654814
2008/12/5,2182.63,2.04,12.3,1069.92,,177.45,,0.165853659
2008/12/12,2121.63,1.95,11.76,1088.02,,180.41,,0.165816327
2008/12/19,2188.97,1.97,11.92,1111.15,,183.64,,0.165268456
2008/12/26,1989.66,1.83,11.06,1087.25,,179.9,,0.165461121
2008/12/31,1923.0,1.78,10.78,1080.34,,178.39,,0.165120594
2009/1/9,2028.8,1.75,9.63,1159.31,,210.67,,0.18172378
2009/1/16,2115.83,1.79,9.85,1182.03,,214.81,,0.181725888
2009/1/23,2185.07,1.84,10.13,1187.54,8.89%,215.7,29.61%,0.181638697
2009/2/6,2387.98,2.0,10.97,1193.99,9.96%,217.68,31.45%,0.182315406
2009/2/13,2505.0,2.07,11.4,1210.14,11.07%,219.74,32.24%,0.181578947
2009/2/20,2455.03,2.02,11.14,1215.36,11.81%,220.38,32.79%,0.181328546
2009/2/27,2265.98,1.9,10.47,1192.62,9.37%,216.43,30.19%,0.181470869
2009/3/6,2412.86,2.01,11.1,1200.43,10.28%,217.37,30.74%,0.181081081
