date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2009/10/30,5650.41,3.68,39.08,1535.44,,144.59,,0.0942
2009/11/6,6003.89,3.93,41.87,1527.71,,143.39,,0.0939
2009/11/13,5924.88,3.92,41.81,1511.45,,141.71,,0.0938
2009/11/20,6156.33,4.1,43.81,1501.54,,140.52,,0.0936
2009/11/27,5695.97,3.81,40.47,1495.01,,140.75,,0.0941
2009/12/4,6010.79,4.02,42.73,1495.22,,140.67,,0.0941
2009/12/11,5866.33,3.94,41.87,1488.92,,140.11,,0.0941
2009/12/18,5135.53,3.44,36.47,1492.89,,140.82,,0.0943
2009/12/25,5129.0,3.44,36.49,1490.99,,140.56,,0.0943
2009/12/31,5281.77,3.55,37.54,1487.82,,140.7,,0.0946
2010/1/8,5090.61,3.55,36.06,1433.97,,141.17,,0.0984
2010/1/15,5007.52,3.5,35.34,1430.72,,141.7,,0.099
2010/1/22,4820.5,3.39,34.22,1421.98,,140.87,,0.0991
2010/1/29,4586.02,3.21,32.27,1428.67,,142.11,,0.0995
2010/2/5,4575.3,3.19,31.67,1434.26,,144.47,,0.1007
2010/2/12,4681.11,3.26,32.21,1435.92,,145.33,,0.1012
2010/2/26,4793.67,3.35,33.41,1430.95,,143.48,,0.1003
2010/3/5,4722.04,3.29,32.38,1435.27,,145.83,,0.1016
2010/3/12,4722.75,3.21,31.3,1471.26,,150.89,,0.1026
2010/3/19,4943.85,3.37,31.93,1467.02,,154.83,,0.1055
2010/3/26,4850.24,3.25,29.71,1492.38,,163.25,,0.1094
2010/4/2,5144.63,3.45,31.84,1491.2,,161.58,,0.1084
2010/4/9,4887.25,3.27,30.94,1494.57,,157.96,,0.1057
2010/4/16,4641.21,3.08,29.13,1506.89,,159.33,,0.1057
2010/4/23,4125.41,2.68,24.12,1539.33,,171.04,,0.1111
2010/4/30,4016.75,2.58,22.6,1556.88,,177.73,,0.1142
2010/5/7,3610.43,2.3,19.88,1569.75,,181.61,,0.1157
2010/5/14,3659.25,2.34,20.29,1563.78,,180.35,,0.1153
2010/5/21,3695.22,2.36,20.61,1565.77,,179.29,,0.1145
2010/5/28,3742.29,2.39,20.75,1565.81,,180.35,,0.1152
2010/6/4,3638.78,2.33,20.19,1561.71,,180.23,,0.1154
2010/6/11,3661.48,2.37,20.58,1544.93,,177.91,,0.1152
2010/6/18,3655.55,2.37,20.69,1542.43,,176.68,,0.1145
2010/6/25,3722.36,2.43,21.12,1531.84,,176.25,,0.1151
2010/7/2,3465.19,2.31,19.27,1500.08,,179.82,,0.1199
2010/7/9,3650.48,2.42,20.24,1508.46,,180.36,,0.1196
2010/7/16,3688.49,2.43,20.34,1517.9,,181.34,,0.1195
2010/7/23,3915.42,2.59,21.61,1511.75,,181.19,,0.1199
2010/7/30,4079.59,2.7,22.27,1510.96,,183.19,,0.1212
2010/8/6,3995.98,2.64,21.67,1513.63,,184.4,,0.1218
2010/8/13,4119.8,2.68,21.87,1537.24,,188.38,,0.1225
2010/8/20,4054.13,2.63,22.06,1541.49,,183.78,,0.1192
2010/8/27,3934.03,2.56,21.57,1536.73,,182.38,,0.1187
2010/9/3,3911.72,2.5,21.58,1564.69,,181.27,,0.1158
2010/9/10,3823.08,2.43,20.89,1573.28,,183.01,,0.1163
2010/9/17,3775.7,2.39,20.62,1579.79,,183.11,,0.1159
2010/9/21,3732.66,2.37,20.35,1574.96,,183.42,,0.1165
2010/9/30,3892.92,2.44,21.13,1595.46,,184.24,,0.1155
2010/10/8,3960.49,2.48,21.39,1596.97,,185.16,,0.1159
2010/10/15,4377.69,2.68,23.48,1633.47,,186.44,,0.1141
2010/10/22,4209.68,2.6,22.9,1619.11,,183.83,,0.1135
2010/10/29,4383.04,2.62,22.86,1672.92,8.95%,191.73,32.60%,0.1146
2010/11/5,4585.59,2.69,23.54,1704.68,11.58%,194.8,35.85%,0.1143
2010/11/12,4128.28,2.43,21.11,1698.88,12.40%,195.56,38.00%,0.1151
2010/11/19,4093.35,2.4,20.8,1705.56,13.59%,196.8,40.04%,0.1154
2010/11/26,4115.7,2.39,20.84,1722.05,15.19%,197.49,40.32%,0.1147
2010/12/3,4126.42,2.38,20.77,1733.79,15.96%,198.67,41.23%,0.1146
2010/12/10,4023.1,2.32,20.52,1734.09,16.47%,196.06,39.93%,0.1131
2010/12/17,4146.66,2.4,21.33,1727.78,15.73%,194.41,38.06%,0.1125
2010/12/24,4292.96,2.5,22.5,1717.18,15.17%,190.8,35.74%,0.1111
2010/12/31,4025.71,2.34,21.03,1720.39,15.63%,191.43,36.06%,0.1113
2011/1/7,4309.06,2.5,21.01,1723.62,20.20%,205.1,45.28%,0.119
2011/1/14,4350.5,2.5,20.96,1740.2,21.63%,207.56,46.48%,0.1193
2011/1/21,4037.25,2.32,19.43,1740.19,22.38%,207.78,47.50%,0.1194
2011/1/28,3981.37,2.27,19.03,1753.91,22.77%,209.22,47.22%,0.1193
2011/2/1,3974.59,2.26,18.57,1758.67,22.62%,214.03,48.15%,0.1217
2011/2/11,4066.09,2.33,19.13,1745.1,21.53%,212.55,46.25%,0.1218
2011/2/18,4105.37,2.34,19.23,1754.43,22.61%,213.49,48.79%,0.1217
2011/2/25,4070.23,2.29,18.74,1777.39,23.84%,217.19,48.93%,0.1222
2011/3/4,4143.12,2.39,19.49,1733.52,17.83%,212.58,40.89%,0.1226
2011/3/11,4116.12,2.34,18.77,1759.03,19.90%,219.29,41.63%,0.1247
2011/3/18,4072.64,2.32,18.41,1755.45,17.63%,221.22,35.51%,0.126
2011/3/25,4315.36,2.44,20.34,1768.59,18.60%,212.16,31.31%,0.12
2011/4/1,4292.74,2.46,20.44,1745.02,16.76%,210.02,32.96%,0.1204
2011/4/8,4405.21,2.47,20.11,1783.49,18.36%,219.06,37.49%,0.1228
2011/4/15,4396.49,2.44,19.64,1801.84,17.05%,223.85,30.88%,0.1242
2011/4/22,4258.4,2.37,19.3,1796.79,15.41%,220.64,24.14%,0.1228
2011/4/29,4109.7,2.26,18.85,1818.45,15.84%,218.02,20.05%,0.1199
2011/5/6,4057.12,2.22,18.7,1827.53,16.87%,216.96,20.30%,0.1187
2011/5/13,4137.25,2.3,19.34,1798.8,14.88%,213.92,19.31%,0.1189
2011/5/20,4088.31,2.26,18.98,1808.99,15.53%,215.4,19.43%,0.1191
2011/5/27,3891.61,2.11,17.78,1844.36,18.10%,218.88,21.44%,0.1187
2011/6/3,3784.86,2.08,17.41,1819.64,17.78%,217.4,22.19%,0.1195
2011/6/10,3845.52,2.1,17.61,1831.2,18.72%,218.37,23.60%,0.1193
2011/6/17,3877.44,2.11,17.81,1837.65,19.96%,217.71,23.53%,0.1185
2011/6/24,4049.32,2.2,18.64,1840.6,22.70%,217.24,20.81%,0.118
2011/7/1,4188.66,2.29,17.36,1829.11,21.26%,241.28,33.78%,0.1319
2011/7/8,4291.35,2.31,17.45,1857.73,22.39%,245.92,35.61%,0.1324
2011/7/15,4166.5,2.22,16.73,1876.8,24.15%,249.04,37.45%,0.1327
2011/7/22,4138.27,2.22,16.65,1864.09,23.37%,248.54,35.68%,0.1333
2011/7/29,4014.37,2.15,16.15,1867.15,23.36%,248.57,34.80%,0.1331
