date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2016/2/4,11741.14,2.49,29.98,4715.32,,391.63,,0.0831
2016/2/5,11627.84,2.47,29.72,4707.63,,391.25,,0.0831
2016/2/19,12214.5,2.59,31.07,4716.02,,393.13,,0.0834
2016/2/26,11572.17,2.46,29.5,4704.13,,392.28,,0.0834
2016/3/4,11636.54,2.46,29.98,4730.3,,388.14,,0.0821
2016/3/11,11377.27,2.41,29.19,4720.86,,389.77,,0.0826
2016/3/18,12267.39,2.59,31.24,4736.44,,392.68,,0.0829
2016/3/25,12488.11,2.61,32.05,4784.72,,389.64,,0.0814
2016/4/1,12607.9,2.61,32.79,4830.61,,384.5,,0.0796
2016/4/8,12792.54,2.65,33.45,4827.37,,382.44,,0.0792
2016/4/15,13223.65,2.71,34.43,4879.58,,384.07,,0.0787
2016/4/22,12487.55,2.54,33.4,4916.36,,373.88,,0.076
2016/4/29,12513.06,2.5,33.21,5005.22,,376.79,,0.0753
2016/5/6,12494.93,2.5,33.23,4997.97,,376.01,,0.0752
2016/5/13,12003.94,2.41,32.09,4980.89,,374.07,,0.0751
2016/5/20,12042.98,2.4,32.54,5017.91,,370.1,,0.0738
2016/5/27,12076.5,2.4,32.5,5031.88,,371.58,,0.0738
2016/6/3,12646.7,2.52,34.02,5018.53,,371.74,,0.0741
2016/6/8,12634.02,2.51,34.16,5033.47,,369.85,,0.0735
2016/6/17,12599.21,2.38,25.99,5293.79,,484.77,,0.0916
2016/6/24,12548.15,2.36,25.83,5317.01,,485.8,,0.0914
2016/7/1,12945.55,2.44,26.65,5305.55,,485.76,,0.0916
2016/7/8,13349.24,2.55,27.7,5235.0,,481.92,,0.0921
2016/7/15,13714.48,2.63,28.53,5214.63,,480.7,,0.0922
2016/7/22,13485.47,2.58,28.05,5226.93,,480.77,,0.092
2016/7/29,13284.26,2.54,27.55,5230.02,,482.19,,0.0922
2016/8/5,13306.82,2.54,27.35,5238.91,,486.54,,0.0929
2016/8/12,13546.51,2.58,27.57,5250.59,,491.35,,0.0936
2016/8/19,13924.52,2.63,28.15,5294.49,,494.65,,0.0934
2016/8/26,13811.21,2.58,27.64,5353.18,,499.68,,0.0933
2016/9/2,13665.05,2.51,27.93,5444.24,,489.26,,0.0899
2016/9/9,14013.23,2.58,28.71,5431.48,,488.1,,0.0899
2016/9/14,13621.51,2.51,27.92,5426.9,,487.88,,0.0899
2016/9/23,13856.19,2.54,28.45,5455.19,,487.04,,0.0893
2016/9/30,13758.67,2.53,28.28,5438.21,,486.52,,0.0895
2016/10/14,14095.54,2.58,28.88,5463.39,,488.07,,0.0893
