date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2014/12/29,,8.7943,50.6911,0.0,,0.0,,0.173
2015/1/2,,8.6215,49.6865,0.0,,0.0,,0.174
2015/1/9,,9.0104,51.9643,0.0,,0.0,,0.173
2015/1/16,,8.4568,48.7344,0.0,,0.0,,0.174
2015/1/23,,9.0694,52.2652,0.0,,0.0,,0.174
2015/1/30,,8.49,48.9495,0.0,,0.0,,0.173
2015/2/6,,8.4776,48.8934,0.0,,0.0,,0.173
2015/2/13,,8.3157,47.9571,0.0,,0.0,,0.173
2015/2/20,,8.3341,48.0616,0.0,,0.0,,0.173
2015/2/27,,8.3509,48.1192,0.0,,0.0,,0.174
2015/3/6,,8.3938,50.0875,0.0,,0.0,,0.168
2015/3/13,,8.1454,48.5985,0.0,,0.0,,0.168
2015/3/20,,8.43,49.8586,0.0,,0.0,,0.169
2015/3/27,,8.399,53.9151,0.0,,0.0,,0.156
2015/4/2,,8.2413,52.4211,0.0,,0.0,,0.157
2015/4/10,4091.69,8.8438,56.2467,462.66,,72.75,,0.157
2015/4/17,4061.46,8.6944,55.4701,467.14,,73.22,,0.157
2015/4/24,4251.57,8.3681,66.6676,508.07,,63.77,,0.126
2015/5/1,4258.3,8.0101,78.5838,531.62,,54.19,,0.102
2015/5/8,4231.35,7.9923,78.4116,529.43,,53.96,,0.102
2015/5/15,4409.38,8.128,80.3202,542.49,,54.9,,0.101
2015/5/22,4574.86,8.2896,83.7264,551.88,,54.64,,0.099
2015/5/29,4389.67,8.1644,82.3759,537.66,,53.29,,0.099
2015/6/5,4618.5,8.1628,82.346,565.8,,56.09,,0.099
2015/6/12,4754.88,8.2236,83.0967,578.2,,57.22,,0.099
2015/6/19,4578.76,8.115,99.2302,564.23,,46.14,,0.082
2015/6/26,4402.44,8.3957,96.7468,524.37,,45.5,,0.087
2015/7/3,4220.92,8.0314,92.5661,525.55,,45.6,,0.087
2015/7/10,4003.55,7.7213,88.9599,518.51,,45.0,,0.087
2015/7/17,4094.94,7.9164,91.2174,517.27,,44.89,,0.087
2015/7/24,4067.94,8.0733,93.0221,503.88,,43.73,,0.087
2015/7/31,3849.34,7.5804,87.3057,507.8,,44.09,,0.087
2015/8/7,3860.58,7.5392,86.8389,512.07,,44.46,,0.087
2015/8/14,3800.33,6.6223,80.0641,573.87,,47.47,,0.083
2015/8/21,3390.26,6.1026,73.5493,555.54,,46.1,,0.083
2015/8/28,3460.66,6.1272,74.1828,564.8,,46.65,,0.083
2015/9/4,3190.22,5.8273,70.0622,547.46,,45.53,,0.083
2015/9/11,3274.43,5.731,68.9146,571.35,,47.51,,0.083
2015/9/18,3366.57,6.0103,72.2698,560.13,,46.58,,0.083
2015/9/25,3248.41,5.6389,67.8295,576.07,,47.89,,0.083
2015/10/2,3494.84,5.7243,68.821,610.53,,50.78,,0.083
2015/10/9,3494.84,6.2045,74.6306,563.28,,46.83,,0.083
2015/10/16,3741.96,6.442,77.4201,580.87,,48.33,,0.083
2015/10/23,3800.48,6.4985,78.171,584.82,,48.62,,0.083
2015/10/30,3993.69,6.8269,83.1687,584.99,,48.02,,0.082
2015/11/6,4198.15,7.2087,87.6808,582.37,,47.88,,0.082
2015/11/13,3995.93,6.8924,82.9727,579.76,,48.16,,0.083
2015/11/20,4252.69,6.9523,83.5608,611.7,,50.89,,0.083
2015/11/27,4252.69,7.0687,84.9379,601.62,,50.07,,0.083
2015/12/4,4335.34,7.1186,85.4731,609.02,,50.72,,0.083
2015/12/11,4199.58,7.1027,85.2083,591.27,,49.29,,0.083
2015/12/18,4398.58,7.1477,86.7483,615.38,,50.71,,0.082
2015/12/25,4432.32,7.1757,87.0707,617.68,,50.9,,0.082
2016/1/1,4356.33,7.06,85.6624,617.04,,50.85,,0.082
2016/1/8,4055.98,6.4486,78.2658,628.97,,51.82,,0.082
2016/1/15,3852.33,6.3311,77.0059,608.48,,50.03,,0.082
2016/1/22,3899.41,6.2469,75.9415,624.22,,51.35,,0.082
2016/1/29,3871.94,6.1124,74.3343,633.46,,52.09,,0.082
2016/2/5,3629.95,5.794,73.077,626.5,,49.67,,0.079
2016/2/12,3485.07,5.357,67.5404,650.56,,51.6,,0.079
2016/2/19,3756.59,5.8353,73.4955,643.77,,51.11,,0.079
2016/2/26,3759.48,5.8263,73.3644,645.26,,51.24,,0.079
2016/3/4,3872.72,6.0919,73.5561,635.72,,52.65,,0.083
2016/3/11,3934.26,6.1565,74.2157,639.04,,53.01,,0.083
2016/3/18,4044.1,6.3323,76.0772,638.65,,53.16,,0.083
2016/3/25,4036.12,6.3789,76.5921,632.73,36.76%,52.7,-27.56%,0.083
2016/4/1,4050.56,6.481,78.0949,624.99,33.79%,51.87,-29.16%,0.083
2016/4/8,4050.56,6.5598,75.8839,617.48,21.54%,53.38,-16.30%,0.086
2016/4/15,4265.02,6.4222,114.0698,664.11,24.92%,37.39,-31.00%,0.056
2016/4/22,4225.58,6.4635,100.29,653.76,23.48%,42.13,-21.92%,0.064
2016/4/29,4108.19,5.7786,92.6188,710.93,31.05%,44.36,-19.20%,0.062
2016/5/6,4002.87,5.6717,77.9645,705.76,27.88%,51.34,-6.04%,0.073
2016/5/13,3795.43,5.5611,76.4766,682.5,26.94%,49.63,-6.87%,0.073
2016/5/20,3802.31,5.5309,79.4114,687.47,21.50%,47.88,-14.63%,0.07
2016/5/27,3996.99,5.7675,42.3073,693.02,19.86%,94.48,65.11%,0.136
2016/6/3,3922.49,5.7410000000000005,41.633,683.24,21.09%,94.22,104.18%,0.138
2016/6/10,3805.16,5.7327,41.5586,663.76,26.58%,91.56,101.21%,0.138
2016/6/17,3752.37,5.6093,40.7354,668.96,27.29%,92.12,102.01%,0.138
2016/6/24,3795.28,5.7207,41.5526,663.43,27.95%,91.34,102.95%,0.138
2016/7/1,3901.18,5.7737,41.9663,675.68,30.62%,92.96,107.07%,0.138
2016/7/8,3914.76,5.7596,41.8574,679.69,34.89%,93.53,113.87%,0.138
2016/7/15,4029.7,5.9752,43.4272,674.4,32.81%,92.79,110.46%,0.138
2016/7/22,4079.15,6.0127,44.1323,678.42,32.49%,92.43,107.91%,0.136
2016/7/29,4054.34,6.0322,44.3999,672.12,17.12%,91.31,92.38%,0.136
2016/8/5,4154.83,6.0271,44.3363,689.36,24.09%,93.71,103.30%,0.136
2016/8/12,4410.4,6.2131,63.2126,709.85,25.68%,69.77,49.56%,0.098
2016/8/19,4489.76,6.4786,64.5046,693.01,26.59%,69.6,52.86%,0.1
2016/8/26,4510.36,6.3939,64.5207,705.42,23.46%,69.91,47.13%,0.099
2016/9/2,4635.25,6.5562,66.1075,707.0,26.22%,70.12,50.52%,0.099
2016/9/9,4603.73,6.9454,69.428,662.85,15.06%,66.31,38.46%,0.1
2016/9/16,4723.85,6.9501,69.4826,679.68,11.33%,67.99,33.88%,0.1
2016/9/23,4877.57,7.2475,72.4403,673.0,19.48%,67.33,43.78%,0.1
