date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2014/12/29,4705.86,8.79,50.69,535.37,,92.84,,0.1734
2015/1/2,4627.73,8.62,49.69,536.86,,93.13,,0.1735
2015/1/9,4808.9,9.01,51.96,533.73,,92.55,,0.1734
2015/1/16,4621.25,8.46,48.73,546.25,,94.83,,0.1736
2015/1/23,4907.14,9.07,52.27,541.03,,93.88,,0.1735
2015/1/30,4693.45,8.49,48.95,552.82,,95.88,,0.1734
2015/2/6,4715.32,8.48,48.89,556.05,,96.45,,0.1735
2015/2/13,4693.72,8.32,47.96,564.15,,97.87,,0.1735
2015/2/18,4720.5,8.35,48.16,565.33,,98.02,,0.1734
2015/2/27,4653.89,8.35,48.12,557.35,,96.71,,0.1735
2015/3/6,4703.11,8.39,50.09,560.56,,93.89,,0.1675
2015/3/13,4574.1,8.15,48.6,561.24,,94.12,,0.1677
2015/3/20,4800.04,8.43,49.86,569.4,,96.27,,0.1691
2015/3/27,4831.31,8.4,53.92,575.16,,89.6,,0.1558
2015/4/10,5277.9,8.84,56.25,597.05,,93.83,,0.1572
2015/4/17,5180.87,8.69,55.47,596.19,,93.4,,0.1567
2015/4/24,5374.44,8.19,65.81,656.22,,81.67,,0.1244
2015/5/8,5234.08,7.83,77.78,668.46,,67.29,,0.1007
2015/5/15,5389.33,7.99,79.88,674.51,,67.47,,0.1
2015/5/22,5559.92,8.16,83.37,681.36,,66.69,,0.0979
2015/5/29,5362.23,8.02,81.95,668.61,,65.43,,0.0979
2015/6/5,5538.76,8.03,82.02,689.76,,67.53,,0.0979
2015/6/12,5646.59,8.09,82.76,697.97,,68.23,,0.0978
2015/6/19,5495.05,7.98,99.11,688.6,,55.44,,0.0805
2015/6/26,5395.18,8.27,96.77,652.38,,55.75,,0.0855
2015/7/3,5239.3,7.92,92.7,661.53,,56.52,,0.0854
2015/7/10,5079.01,7.59,88.79,669.17,,57.2,,0.0855
2015/7/17,5247.7,7.8,91.18,672.78,,57.55,,0.0855
2015/7/24,5254.97,7.96,93.09,660.17,,56.45,,0.0855
2015/7/31,4889.59,7.48,87.39,653.69,,55.95,,0.0856
2015/8/7,4929.16,7.42,86.72,664.31,,56.84,,0.0856
2015/8/14,4827.11,6.51,79.9,741.49,,60.41,,0.0815
2015/8/21,4372.77,6.01,73.51,727.58,,59.49,,0.0818
2015/8/28,4476.86,6.02,73.99,743.66,,60.51,,0.0814
2015/9/4,4149.22,5.74,69.97,722.86,,59.3,,0.082
2015/9/11,4239.25,5.65,68.95,750.31,,61.48,,0.0819
2015/9/18,4341.01,5.92,72.24,733.28,,60.09,,0.0819
2015/9/25,4135.85,5.55,67.77,745.2,,61.03,,0.0819
2015/10/2,4409.18,5.64,68.77,781.77,,64.11,,0.082
2015/10/9,4409.18,6.11,74.55,721.63,,59.14,,0.082
2015/10/16,4696.5,6.35,77.42,739.61,,60.66,,0.082
2015/10/23,4832.63,6.4,78.1,755.1,,61.88,,0.0819
2015/10/30,5243.88,6.72,83.12,780.34,,63.09,,0.0808
2015/11/6,5544.05,7.1,87.65,780.85,,63.25,,0.081
2015/11/13,5256.01,6.8,83.06,772.94,,63.28,,0.0819
2015/11/20,5634.93,6.89,84.0,817.84,,67.08,,0.082
2015/11/27,5634.93,6.99,85.23,806.14,,66.11,,0.082
2015/12/4,5726.8,7.05,85.9,812.31,,66.67,,0.0821
2015/12/11,5466.76,7.03,85.53,777.63,,63.92,,0.0822
2015/12/18,5642.59,7.07,87.1,798.1,,64.78,,0.0812
2016/1/8,5154.72,6.39,78.63,806.69,,65.56,,0.0813
2016/1/15,4939.55,6.26,77.27,789.07,,63.93,,0.081
2016/1/22,5026.36,6.19,76.29,812.01,,65.88,,0.0811
2016/1/29,4956.5,6.06,74.78,817.9,,66.28,,0.081
2016/2/5,4631.37,5.74,73.49,806.86,,63.02,,0.0781
2016/2/12,4496.72,5.31,67.97,846.84,,66.16,,0.0781
2016/2/19,4855.01,5.79,73.92,838.52,50.80%,65.68,-31.90%,0.0783
2016/2/26,4889.47,5.78,73.85,845.93,49.95%,66.21,-32.35%,0.0783
2016/3/4,5039.25,6.05,74.06,832.93,47.34%,68.04,-30.58%,0.0817
2016/3/11,5134.67,6.11,74.67,840.37,50.78%,68.76,-28.90%,0.0818
2016/3/18,5290.51,6.28,76.51,842.44,50.28%,69.15,-26.35%,0.0821
2016/4/1,5347.6,6.43,78.52,831.66,48.18%,68.1,-27.64%,0.0819
2016/4/8,5347.6,6.51,76.26,821.44,44.26%,70.12,-27.16%,0.0854
2016/4/15,5550.18,6.36,115.42,872.67,51.73%,48.09,-46.33%,0.0551
2016/4/22,5493.44,6.41,101.27,857.01,43.54%,54.25,-42.19%,0.0633
2016/4/29,5339.29,5.78,92.62,923.75,54.94%,57.65,-38.28%,0.0624
2016/5/6,5203.8,5.67,77.96,917.78,39.86%,66.75,-18.27%,0.0727
2016/5/13,5030.09,5.56,76.48,904.69,35.34%,65.77,-2.26%,0.0727
2016/5/20,5159.92,5.53,79.41,933.08,38.33%,64.98,-3.69%,0.0696
2016/5/27,5473.31,5.77,42.31,948.58,39.22%,129.36,93.98%,0.1364
2016/6/3,5298.07,5.74,41.63,923.01,38.05%,127.27,94.50%,0.1379
2016/6/10,5159.02,5.73,41.56,900.35,30.53%,124.13,83.82%,0.1379
2016/6/17,5096.48,5.61,40.74,908.46,30.16%,125.1,83.35%,0.1377
2016/6/24,5172.05,5.72,41.55,904.2,31.31%,124.48,124.51%,0.1377
2016/7/8,5345.67,5.76,41.86,928.07,42.26%,127.7,129.05%,0.1376
2016/7/15,5530.5,5.98,43.43,924.83,39.80%,127.34,125.31%,0.1377
2016/7/22,5593.71,6.01,44.13,930.73,39.09%,126.76,121.59%,0.1362
2016/7/29,5552.06,6.03,44.4,920.74,36.86%,125.05,117.27%,0.1358
2016/8/5,5651.7,6.03,44.34,937.26,41.97%,127.46,125.80%,0.136
2016/8/12,6003.53,6.21,63.21,966.75,47.89%,94.98,69.75%,0.0982
2016/8/19,6181.01,6.48,64.5,953.86,43.59%,95.83,68.60%,0.1005
2016/8/26,6164.28,6.39,64.52,964.68,30.10%,95.54,58.14%,0.099
2016/9/2,6291.45,6.56,66.11,959.06,31.81%,95.17,59.98%,0.0992
2016/9/9,6354.7,6.95,69.43,914.35,22.95%,91.53,51.27%,0.1001
2016/9/23,6726.41,7.25,72.44,927.78,28.35%,92.85,56.59%,0.1001
2016/9/30,6556.82,7.03,70.3,932.69,24.31%,93.27,51.70%,0.1
2016/10/7,6634.24,7.17,71.67,925.28,26.18%,92.57,54.04%,0.1
2016/10/14,6540.42,6.91,69.06,946.52,27.02%,94.71,55.19%,0.1001
2016/10/28,6568.29,6.89,68.92,953.31,21.94%,95.3,48.64%,0.1
2016/11/4,6203.19,6.41,85.63,967.74,34.10%,72.44,22.48%,0.0749
2016/11/11,6088.11,6.29,83.98,967.9,30.87%,72.49,19.50%,0.0749
2016/11/18,6183.21,6.14,79.91,1007.04,33.37%,77.38,25.05%,0.0768
2016/11/25,6209.62,6.07,79.08,1023.0,31.10%,78.52,24.47%,0.0768
2016/12/2,6040.98,5.96,77.59,1013.59,29.81%,77.86,23.09%,0.0768
2016/12/9,6178.61,6.01,78.15,1028.05,33.01%,79.06,24.94%,0.0769
2016/12/16,5957.11,5.88,75.11,1013.11,23.88%,79.31,18.23%,0.0783
2016/12/23,5881.36,5.76,73.71,1021.07,26.66%,79.79,20.69%,0.0781
2016/12/30,5945.34,5.91,75.58,1005.98,23.84%,78.66,17.99%,0.0782
2017/1/6,6251.54,6.22,79.4,1005.07,29.25%,78.73,23.18%,0.0783
2017/1/13,6352.63,6.32,80.51,1005.16,25.94%,78.9,21.80%,0.0785
2017/1/20,6306.57,6.33,80.61,996.3,23.51%,78.24,19.34%,0.0785
2017/1/27,6491.51,6.45,76.73,1006.44,27.55%,84.6,32.34%,0.0841
2017/2/3,6474.19,6.41,76.36,1010.01,24.38%,84.79,28.69%,0.0839
2017/2/10,6661.74,6.51,77.44,1023.31,25.11%,86.02,29.79%,0.0841
2017/2/17,6787.96,6.65,79.13,1020.75,26.51%,85.78,36.12%,0.084
2017/2/24,6782.41,6.67,79.44,1016.85,20.08%,85.38,29.05%,0.084
2017/3/3,6785.72,6.66,44.58,1018.88,21.51%,152.21,131.75%,0.1494
2017/3/10,6850.08,6.72,44.99,1019.36,20.50%,152.26,129.97%,0.1494
2017/3/17,7038.73,6.94,46.43,1014.23,21.77%,151.6,122.80%,0.1495
2017/3/24,6998.07,6.95,45.87,1006.92,19.82%,152.56,121.86%,0.1515
2017/3/31,6994.0,6.96,45.9,1004.89,19.28%,152.37,120.36%,0.1516
2017/4/7,7061.48,6.92,58.28,1020.45,22.70%,121.16,77.91%,0.1187
2017/4/21,7243.58,6.94,63.55,1043.74,27.06%,113.98,62.55%,0.1092
2017/4/28,7426.83,7.03,60.23,1056.45,21.06%,123.31,156.43%,0.1167
2017/5/5,7471.74,6.96,57.42,1073.53,25.26%,130.12,139.88%,0.1212
2017/5/12,7893.86,7.31,59.77,1079.87,16.90%,132.07,129.10%,0.1223
2017/5/19,8094.99,7.33,58.91,1104.36,20.33%,137.41,105.86%,0.1244
2017/5/26,8130.81,7.52,60.34,1081.22,19.51%,134.75,104.88%,0.1246
2017/6/2,7976.88,7.41,59.47,1076.5,15.37%,134.13,106.43%,0.1246
2017/6/9,8128.98,7.91,63.51,1027.68,8.34%,128.0,-1.06%,0.1245
2017/6/16,7900.76,7.41,57.56,1066.23,15.52%,137.26,7.85%,0.1287
2017/6/23,8351.45,7.73,60.05,1080.39,20.00%,139.07,12.04%,0.1287
2017/6/30,8056.91,7.62,59.16,1057.34,16.39%,136.19,8.87%,0.1288
2017/7/7,8053.49,7.54,58.54,1068.1,18.13%,137.57,10.52%,0.1288
2017/7/14,8515.17,7.95,61.7,1071.09,15.41%,138.01,8.07%,0.1288
2017/7/21,8663.77,8.18,63.46,1059.14,14.52%,136.52,7.21%,0.1289
