date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2007/1/19,2159.64,2.73,54.64,791.08,,39.52,,0.05
2007/1/26,2186.27,2.76,54.93,792.13,,39.8,,0.0502
2007/2/2,2127.1,2.69,52.57,790.74,,40.46,,0.0512
2007/2/9,2287.38,2.88,55.72,794.23,,41.05,,0.0517
2007/2/16,2541.41,3.19,61.0,796.68,,41.66,,0.0523
2007/3/2,2503.68,3.15,60.07,794.82,,41.68,,0.0524
2007/3/9,2638.05,3.3,61.9,799.41,,42.62,,0.0533
2007/3/16,2710.86,3.38,62.39,802.03,,43.45,,0.0542
2007/3/23,2898.0,3.6,65.3,805.0,,44.38,,0.0551
2007/3/30,2926.06,3.62,63.23,808.3,,46.28,,0.0573
2007/4/6,3182.8,3.92,69.82,811.94,,45.59,,0.0561
2007/4/13,3358.63,4.12,70.46,815.2,,47.67,,0.0585
2007/4/20,3614.39,4.39,71.36,823.32,,50.65,,0.0615
2007/4/27,3845.81,4.59,71.5,837.87,,53.79,,0.0642
2007/4/30,3903.69,4.66,74.79,837.7,,52.2,,0.0623
2007/5/11,4109.4,4.89,77.99,840.37,,52.69,,0.0627
2007/5/18,4235.19,5.05,80.43,838.65,,52.66,,0.0628
2007/5/25,4649.86,5.53,88.33,840.84,,52.64,,0.0626
2007/6/1,3960.44,4.75,75.75,833.78,,52.28,,0.0627
2007/6/8,4002.87,4.82,76.82,830.47,,52.11,,0.0627
2007/6/15,4316.53,5.21,83.09,828.51,,51.95,,0.0627
2007/6/22,4123.21,4.99,79.49,826.29,,51.87,,0.0628
2007/6/29,3585.49,4.35,69.11,824.25,,51.88,,0.0629
2007/7/6,3591.38,4.12,66.82,871.69,,53.75,,0.0617
2007/7/13,3655.84,4.2,67.43,870.44,,54.22,,0.0623
2007/7/20,3788.74,4.34,69.1,872.98,,54.83,,0.0628
2007/7/27,4269.77,4.87,75.71,876.75,,56.4,,0.0643
2007/8/3,4408.05,5.02,77.05,878.1,,57.21,,0.0652
2007/8/10,4348.81,4.91,74.3,885.7,,58.53,,0.0661
2007/8/17,4390.88,4.89,72.71,897.93,,60.39,,0.0673
2007/8/24,4742.95,5.24,76.03,905.14,,62.38,,0.0689
2007/8/31,4897.64,5.39,79.39,908.65,,61.69,,0.0679
2007/9/7,4939.23,5.42,80.18,911.3,,61.6,,0.0676
2007/9/14,4936.69,5.42,80.06,910.83,,61.66,,0.0677
2007/9/21,5028.84,5.5,81.77,914.33,,61.5,,0.0673
2007/9/28,5083.65,5.55,82.98,915.97,,61.26,,0.0669
2007/10/12,4891.39,5.35,79.88,914.28,,61.23,,0.067
2007/10/19,4813.95,5.24,75.75,918.69,,63.55,,0.0692
2007/10/26,4228.95,4.49,62.01,941.86,,68.2,,0.0724
2007/11/2,4329.63,4.54,62.02,953.66,,69.81,,0.0732
2007/11/9,4153.19,4.35,59.55,954.76,,69.74,,0.073
2007/11/16,4217.23,4.4,60.53,958.46,,69.67,,0.0727
2007/11/23,4193.98,4.37,60.31,959.72,,69.54,,0.0725
2007/11/30,4122.93,4.29,59.31,961.06,,69.51,,0.0723
2007/12/7,4362.22,4.54,62.75,960.84,,69.52,,0.0724
2007/12/14,4499.53,4.67,64.79,963.5,,69.45,,0.0721
2007/12/21,4691.53,4.87,67.64,963.35,,69.36,,0.072
2007/12/28,4947.6,5.14,71.36,962.57,,69.33,,0.072
2008/1/4,5243.03,5.39,71.83,972.73,,72.99,,0.075
2008/1/11,5376.8,5.42,73.63,992.03,,73.02,,0.0736
2008/1/18,5317.45,5.35,72.78,993.92,,73.06,,0.0735
2008/1/25,5096.69,5.1,69.62,999.35,26.33%,73.21,85.22%,0.0733
2008/2/1,4456.93,4.45,60.79,1001.56,26.44%,73.32,84.21%,0.0732
2008/2/5,4839.0,4.81,65.59,1006.03,27.23%,73.78,82.33%,0.0733
2008/2/15,4886.02,4.86,66.27,1005.35,26.58%,73.73,79.60%,0.0733
2008/2/22,5029.2,4.99,67.18,1007.86,26.51%,74.86,79.69%,0.0743
2008/2/29,5057.62,4.99,66.85,1013.55,27.52%,75.66,81.52%,0.0746
2008/3/7,5115.92,5.02,66.64,1019.11,27.48%,76.77,80.13%,0.0753
2008/3/14,4662.32,4.56,60.32,1022.44,27.48%,77.29,77.89%,0.0756
2008/3/21,4405.86,4.29,56.66,1027.01,27.58%,77.76,75.21%,0.0757
2008/3/28,4241.45,4.1,53.4,1034.5,27.98%,79.43,71.64%,0.0768
2008/4/3,3588.76,3.46,45.16,1037.21,27.75%,79.47,74.33%,0.0766
2008/4/11,3862.36,3.69,47.81,1046.71,28.40%,80.79,69.48%,0.0772
2008/4/18,3338.27,3.17,39.74,1053.08,27.91%,84.0,65.85%,0.0798
2008/4/25,3756.33,3.56,43.15,1055.15,25.93%,87.05,61.85%,0.0825
2008/4/30,3903.18,3.73,44.91,1046.43,24.92%,86.91,66.51%,0.0831
2008/5/9,3986.24,3.82,46.2,1043.52,24.17%,86.28,63.75%,0.0827
2008/5/16,4071.91,3.91,46.9,1041.41,24.18%,86.82,64.88%,0.0834
2008/5/23,3829.65,3.68,44.22,1040.67,23.76%,86.6,64.52%,0.0832
2008/5/30,3755.63,3.62,43.35,1037.47,24.43%,86.64,65.70%,0.0835
2008/6/6,3629.92,3.5,42.02,1037.12,24.88%,86.39,65.78%,0.0833
2008/6/13,3045.1,2.93,35.36,1039.28,25.44%,86.12,65.77%,0.0829
2008/6/20,2764.28,2.67,32.16,1035.31,25.30%,85.95,65.71%,0.083
2008/6/27,2792.71,2.7,32.34,1034.34,25.49%,86.35,66.45%,0.0835
