date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2008/5/30,,3.28,21.86,0.0,,0.0,,0.15
2008/6/6,,3.17,21.02,0.0,,0.0,,0.1508
2008/6/13,,2.74,18.07,0.0,,0.0,,0.1516
2008/6/20,,2.58,16.96,0.0,,0.0,,0.1521
2008/6/27,,2.54,16.39,0.0,,0.0,,0.155
2008/7/4,,2.48,15.97,0.0,,0.0,,0.1553
2008/7/11,,2.67,17.14,0.0,,0.0,,0.1558
2008/7/18,,2.53,16.26,0.0,,0.0,,0.1556
2008/7/25,,2.61,16.79,0.0,,0.0,,0.1554
2008/8/1,2777.88,2.49,15.97,1115.61,,173.94,,0.1559
2008/8/8,2455.95,2.2,14.17,1116.34,,173.32,,0.1553
2008/8/15,2368.55,2.09,13.23,1133.28,,179.03,,0.158
2008/8/22,2273.84,2.0,12.61,1136.92,,180.32,,0.1586
2008/8/29,2233.28,1.91,12.19,1169.26,,183.21,,0.1567
2008/9/5,2088.46,1.78,11.34,1173.29,,184.17,,0.157
2008/9/12,2024.08,1.73,10.99,1169.99,,184.17,,0.1574
2008/9/19,2079.88,1.78,11.32,1168.47,,183.73,,0.1572
2008/9/26,2203.04,1.9,12.05,1159.49,,182.82,,0.1577
2008/10/10,1875.45,1.6,10.16,1172.16,,184.59,,0.1575
2008/10/17,1774.74,1.51,9.65,1175.32,,183.91,,0.1565
2008/10/24,1748.09,1.48,9.79,1181.14,,178.56,,0.1512
2008/10/31,1615.56,1.35,8.95,1196.71,,180.51,,0.1508
2008/11/7,1617.39,1.35,9.01,1198.07,,179.51,,0.1498
2008/11/14,1872.43,1.57,10.44,1192.63,,179.35,,0.1504
2008/11/21,1839.84,1.53,10.17,1202.51,,180.91,,0.1504
2008/11/28,1798.44,1.5,10.01,1198.96,,179.66,,0.1499
2008/12/5,1969.9,1.64,10.92,1201.16,,180.39,,0.1502
2008/12/12,1902.68,1.58,10.56,1204.23,,180.18,,0.1496
2008/12/19,2001.14,1.65,11.06,1212.81,,180.93,,0.1492
2008/12/26,1804.81,1.49,9.91,1211.28,,182.12,,0.1504
2008/12/31,1711.02,1.42,9.5,1204.94,,180.11,,0.1495
2009/1/9,1822.57,1.63,10.41,1118.14,,175.08,,0.1566
2009/1/16,1885.97,1.68,10.73,1122.6,,175.77,,0.1566
2009/1/23,1918.79,1.7,10.9,1128.7,,176.04,,0.156
2009/2/6,2143.17,1.9,12.13,1127.98,,176.68,,0.1566
2009/2/13,2328.57,2.04,13.11,1141.46,,177.62,,0.1556
2009/2/20,2330.67,2.05,13.18,1136.91,,176.83,,0.1555
2009/2/27,2038.24,1.79,11.56,1138.68,,176.32,,0.1548
2009/3/6,2196.22,1.93,12.62,1137.94,,174.03,,0.1529
2009/3/13,2111.7,1.86,12.25,1135.32,,172.38,,0.1518
2009/3/20,2337.32,2.03,13.51,1151.39,,173.01,,0.1503
2009/3/27,2437.81,2.12,14.35,1149.91,,169.88,,0.1477
2009/4/3,2464.08,2.18,17.12,1130.31,,143.93,,0.1273
2009/4/10,2500.34,2.21,17.36,1131.38,,144.03,,0.1273
2009/4/17,2587.04,2.32,21.05,1115.1,,122.9,,0.1102
2009/4/24,2501.48,2.23,22.92,1121.74,,109.14,,0.0973
2009/4/30,2513.34,2.22,33.68,1132.14,,74.62,,0.0659
2009/5/8,2657.41,2.35,35.73,1130.81,,74.37,,0.0658
2009/5/15,2680.08,2.38,36.05,1126.08,,74.34,,0.066
2009/5/22,2659.98,2.35,35.62,1131.91,,74.68,,0.066
2009/5/27,2656.95,2.35,35.53,1130.62,,74.78,,0.0661
2009/6/5,2812.59,2.48,37.54,1134.11,,74.92,,0.0661
2009/6/12,2730.47,2.42,36.51,1128.29,,74.79,,0.0663
2009/6/19,2807.65,2.51,37.6,1118.59,,74.67,,0.0668
2009/6/26,2883.28,2.6,38.71,1108.95,,74.48,,0.0672
2009/7/3,2981.11,2.71,39.97,1100.04,,74.58,,0.0678
2009/7/10,3139.72,2.86,42.07,1097.8,,74.63,,0.068
2009/7/17,3330.01,3.03,44.35,1099.01,,75.08,,0.0683
2009/7/24,3463.41,3.15,46.29,1099.5,,74.82,,0.068
2009/7/31,3618.04,3.31,48.66,1093.06,,74.35,,0.068
2009/8/7,3489.27,3.18,48.47,1097.25,-1.65%,71.99,-58.61%,0.0656
2009/8/14,3274.83,2.98,44.65,1098.94,-1.56%,73.34,-57.68%,0.0667
2009/8/21,3128.59,2.83,52.06,1105.51,-2.45%,60.1,-66.43%,0.0544
2009/8/28,3019.75,2.71,60.91,1114.3,-1.99%,49.58,-72.51%,0.0445
2009/9/4,2985.74,2.66,73.19,1122.46,-4.00%,40.79,-77.73%,0.0363
2009/9/11,3130.25,2.79,76.56,1121.95,-4.38%,40.89,-77.80%,0.0364
2009/9/18,3115.92,2.77,76.38,1124.88,-3.86%,40.79,-77.85%,0.0363
2009/9/25,2894.14,2.58,71.1,1121.76,-4.00%,40.71,-77.85%,0.0363
2009/9/30,2826.99,2.52,69.52,1121.82,-3.25%,40.66,-77.76%,0.0362
2009/10/9,2987.21,2.66,73.37,1123.01,-4.19%,40.71,-77.94%,0.0363
2009/10/16,3084.12,2.75,75.78,1121.5,-4.58%,40.7,-77.87%,0.0363
2009/10/23,3238.48,2.85,68.4,1136.31,-3.80%,47.35,-73.48%,0.0417
2009/10/30,3131.57,2.69,74.47,1164.15,-2.72%,42.05,-76.70%,0.0361
2009/11/6,3362.9,2.88,72.74,1167.67,-2.54%,46.23,-74.25%,0.0396
2009/11/13,3407.42,2.92,73.7,1166.92,-2.16%,46.23,-74.22%,0.0396
2009/11/20,3547.11,3.03,76.62,1170.66,-2.65%,46.29,-74.41%,0.0395
2009/11/27,3371.14,2.89,73.04,1166.48,-2.71%,46.15,-74.31%,0.0396
2009/12/4,3652.57,3.11,79.33,1174.46,-2.22%,46.04,-74.48%,0.0392
2009/12/11,3608.57,3.07,78.45,1175.43,-2.39%,46.0,-74.47%,0.0391
2009/12/18,3384.58,2.89,74.04,1171.13,-3.44%,45.71,-74.74%,0.039
2009/12/25,3444.69,2.94,75.42,1171.66,-3.27%,45.67,-74.92%,0.039
2009/12/31,3566.12,3.04,77.86,1173.07,-2.65%,45.8,-74.57%,0.039
