date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2005/4/8,1003.45,2.05,15.51,489.49,,64.7,,0.1322
2005/4/15,974.08,1.99,15.1,489.49,,64.51,,0.1318
2005/4/22,939.1,1.92,15.04,489.11,,62.44,,0.1277
2005/4/29,932.4,1.86,14.99,501.29,,62.2,,0.1241
2005/5/13,887.54,1.78,14.3,498.62,,62.07,,0.1245
2005/5/20,882.76,1.76,14.08,501.57,,62.7,,0.125
2005/5/27,849.51,1.68,13.41,505.66,,63.35,,0.1253
2005/6/3,818.03,1.62,12.89,504.96,,63.46,,0.1257
2005/6/10,894.56,1.78,14.08,502.56,,63.53,,0.1264
2005/6/17,880.34,1.75,13.77,503.05,,63.93,,0.1271
2005/6/24,898.3,1.8,14.03,499.06,,64.03,,0.1283
2005/7/1,859.49,1.74,13.2,493.96,,65.11,,0.1318
2005/7/8,829.49,1.69,12.8,490.82,,64.8,,0.132
2005/7/15,841.0,1.72,12.98,488.95,,64.79,,0.1325
2005/7/22,859.46,1.77,13.31,485.57,,64.57,,0.133
2005/7/29,888.16,1.83,13.74,485.33,,64.64,,0.1332
2005/8/5,923.8,1.9,14.29,486.21,,64.65,,0.133
2005/8/12,938.32,1.95,14.67,481.19,,63.96,,0.1329
2005/8/19,923.04,1.88,14.02,490.98,,65.84,,0.1341
2005/8/26,928.26,1.89,14.35,491.14,,64.69,,0.1317
2005/9/2,947.87,1.85,14.45,512.36,,65.6,,0.128
2005/9/9,949.07,1.84,14.43,515.8,,65.77,,0.1275
2005/9/16,967.49,1.87,14.61,517.37,,66.22,,0.128
2005/9/23,916.15,1.78,13.85,514.69,,66.15,,0.1285
2005/9/30,917.39,1.78,13.89,515.39,,66.05,,0.1281
2005/10/14,904.83,1.75,13.62,517.05,,66.43,,0.1285
2005/10/21,904.41,1.73,13.56,522.78,,66.7,,0.1276
2005/10/28,867.73,1.6,12.96,542.33,,66.95,,0.1235
2005/11/4,878.36,1.62,13.53,542.2,,64.92,,0.1197
2005/11/11,864.79,1.6,13.38,540.49,,64.63,,0.1196
2005/11/18,882.24,1.64,13.67,537.95,,64.54,,0.12
2005/11/25,884.1,1.63,13.59,542.39,,65.06,,0.1199
2005/12/2,869.94,1.6,13.38,543.71,,65.02,,0.1196
2005/12/9,887.36,1.64,13.71,541.07,,64.72,,0.1196
2005/12/16,902.56,1.67,13.89,540.46,,64.98,,0.1202
2005/12/23,915.89,1.69,14.08,541.95,,65.05,,0.12
2005/12/30,923.45,1.71,14.22,540.03,,64.94,,0.1203
2006/1/6,970.03,1.77,14.64,548.04,,66.26,,0.1209
2006/1/13,978.81,1.77,14.66,553.0,,66.77,,0.1207
2006/1/20,993.34,1.82,15.07,545.79,,65.92,,0.1208
2006/1/25,1009.6,1.83,15.13,551.69,,66.73,,0.121
2006/2/10,1032.34,1.86,15.43,555.02,,66.9,,0.1205
2006/2/17,1020.37,1.85,15.33,551.55,,66.56,,0.1207
2006/2/24,1049.44,1.89,15.76,555.26,,66.59,,0.1199
2006/3/3,1041.68,1.88,15.62,554.09,,66.69,,0.1204
2006/3/10,1008.9,1.8,15.03,560.5,,67.13,,0.1198
2006/3/17,1024.02,1.82,15.36,562.65,,66.67,,0.1185
2006/3/24,1042.6,1.85,15.62,563.57,,66.75,,0.1184
2006/3/31,1061.09,1.83,15.64,579.83,,67.84,,0.117
2006/4/7,1103.15,1.86,15.57,593.09,,70.85,,0.1195
2006/4/14,1118.61,1.88,15.89,595.01,,70.4,,0.1183
2006/4/21,1149.16,1.95,16.75,589.31,20.39%,68.61,6.04%,0.1164
2006/4/28,1172.35,1.93,17.57,607.44,24.10%,66.72,3.44%,0.1098
2006/5/12,1296.26,2.13,19.85,608.57,24.42%,65.3,4.58%,0.1073
2006/5/19,1366.1,2.19,20.37,623.79,24.44%,67.06,7.82%,0.1075
2006/5/26,1331.02,2.12,19.77,627.84,25.92%,67.33,8.47%,0.1072
2006/6/2,1390.12,2.16,20.25,643.57,28.31%,68.65,9.49%,0.1067
2006/6/9,1294.19,2.02,18.85,640.69,26.70%,68.66,8.38%,0.1072
2006/6/16,1318.01,2.05,19.05,642.93,27.32%,69.19,9.02%,0.1076
2006/6/23,1339.45,2.09,19.34,640.89,27.52%,69.26,9.01%,0.1081
2006/6/30,1393.96,2.19,20.23,636.51,26.53%,68.91,7.78%,0.1083
2006/7/7,1410.43,2.27,20.18,621.33,24.50%,69.89,9.16%,0.1125
2006/7/14,1357.13,2.18,19.36,622.54,26.03%,70.1,7.66%,0.1126
2006/7/21,1356.03,2.39,21.3,567.38,15.60%,63.66,-1.76%,0.1122
2006/7/28,1341.39,2.37,21.12,565.99,15.75%,63.51,-1.97%,0.1122
2006/8/4,1241.91,2.23,19.89,556.91,14.69%,62.44,-3.30%,0.1121
2006/8/11,1275.65,2.27,20.27,561.96,15.79%,62.93,-2.64%,0.112
2006/8/18,1267.87,2.24,19.69,566.01,16.41%,64.39,-0.39%,0.1138
2006/8/25,1295.44,2.25,19.77,575.75,19.65%,65.53,2.44%,0.1138
2006/9/1,1318.1,2.11,19.71,624.69,27.23%,66.87,1.58%,0.1071
2006/9/8,1332.15,2.13,19.79,625.42,27.34%,67.31,4.06%,0.1076
2006/9/15,1362.32,2.21,20.51,616.43,20.31%,66.42,1.26%,0.1078
2006/9/22,1374.85,2.22,20.55,619.3,20.07%,66.9,1.72%,0.108
2006/9/29,1403.27,2.24,20.77,626.46,21.08%,67.56,2.03%,0.1078
2006/10/13,1430.88,2.21,20.55,647.46,25.80%,69.63,5.26%,0.1075
