date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2008/1/21,5455.98,4.6435,34.9722,1174.97,,156.01,,0.1328
2008/1/25,5344.05,4.5537,34.386,1173.56,,155.41,,0.1324
2008/2/1,4777.64,4.0615,30.9451,1176.32,,154.39,,0.1312
2008/2/5,5186.0,4.4017,33.4272,1178.18,,155.14,,0.1317
2008/2/15,5065.27,4.3641,33.1036,1160.67,,153.01,,0.1318
2008/2/22,4852.39,4.3336,32.91,1119.71,,147.44,,0.1317
2008/2/29,4854.83,4.3096,32.4729,1126.52,,149.5,,0.1327
2008/3/7,4739.42,4.2497,31.7603,1115.24,,149.22,,0.1338
2008/3/14,4227.42,3.7905,28.1611,1115.27,,150.12,,0.1346
2008/3/21,4206.33,3.6064,26.7461,1166.35,,157.27,,0.1348
2008/3/28,4101.85,3.4154,25.5085,1200.99,,160.8,,0.1339
2008/4/3,3912.23,3.0849,23.2662,1268.19,,168.15,,0.1326
2008/4/11,4023.99,3.227,24.4856,1246.98,,164.34,,0.1318
2008/4/18,3480.26,2.7081,20.5545,1285.13,,169.32,,0.1318
2008/4/25,4117.97,3.1115,23.3286,1323.47,,176.52,,0.1334
2008/4/30,4335.27,3.2418,25.1142,1337.3,,172.62,,0.1291
2008/5/9,4162.01,3.1851,24.5947,1306.71,,169.22,,0.1295
2008/5/16,4264.79,3.2781,25.3637,1300.99,,168.15,,0.1292
2008/5/23,3995.71,3.0753,23.4967,1299.29,,170.05,,0.1309
2008/5/30,3949.04,3.0303,22.9827,1303.18,,171.83,,0.1319
2008/6/6,3818.2,2.9356,22.1512,1300.65,,172.37,,0.1325
2008/6/13,3232.94,2.488,18.6491,1299.41,,173.36,,0.1334
2008/6/20,3131.39,2.3097,17.2686,1355.76,,181.33,,0.1338
2008/6/27,3016.67,2.2715,16.8261,1328.05,,179.29,,0.135
2008/7/4,2889.31,2.241,15.5479,1289.29,,185.83,,0.1441
2008/7/11,3120.69,2.4083,16.7799,1295.81,,185.98,,0.1435
2008/7/18,2963.65,2.3117,16.0418,1282.02,,184.75,,0.1441
2008/7/25,3112.89,2.4126,16.7562,1290.26,,185.78,,0.144
2008/8/1,3020.79,2.312,16.0031,1306.57,,188.76,,0.1445
2008/8/8,2782.71,2.0577,14.2434,1352.34,,195.37,,0.1445
2008/8/15,2629.11,1.9298,13.3574,1362.37,,196.83,,0.1445
2008/8/22,2593.31,1.8552,12.8498,1397.86,,201.82,,0.1444
2008/8/29,2596.1,1.8044,12.4561,1438.76,,208.42,,0.1449
2008/9/5,2385.65,1.7039,11.5255,1400.11,,206.99,,0.1478
2008/9/12,2261.15,1.6447,11.0514,1374.81,,204.6,,0.1488
2008/9/19,2231.25,1.6862,11.2705,1323.24,,197.97,,0.1496
2008/9/26,2435.18,1.7686,11.9877,1376.9,,203.14,,0.1475
2008/10/10,2079.77,1.5128,9.9744,1374.78,,208.51,,0.1517
2008/10/17,2027.56,1.4344,9.3768,1413.52,,216.23,,0.153
2008/10/24,1946.99,1.4098,9.3035,1381.04,,209.28,,0.1515
2008/10/31,1838.44,1.265,9.0489,1453.31,,203.17,,0.1398
2008/11/7,1886.25,1.2823,9.0913,1470.99,,207.48,,0.141
2008/11/14,2158.56,1.5162,10.9685,1423.66,,196.8,,0.1382
2008/11/21,2104.95,1.4891,10.5859,1413.57,,198.84,,0.1407
2008/11/28,2000.7,1.4433,10.1555,1386.2,,197.01,,0.1421
2008/12/5,2182.63,1.6006,11.4239,1363.63,,191.06,,0.1401
2008/12/12,2121.63,1.5364,10.9683,1380.91,,193.43,,0.1401
2008/12/19,2188.97,1.6094,11.4763,1360.12,,190.74,,0.1402
2008/12/26,1989.66,1.4478,10.2913,1374.26,,193.33,,0.1407
2008/12/31,1923.0,1.3957,9.9161,1377.8,,193.93,,0.1408
2009/1/9,2028.8,1.4927,9.6476,1359.15,15.67%,210.29,34.79%,0.1547
2009/1/16,2115.83,1.5563,10.1623,1359.53,15.85%,208.2,33.97%,0.1531
2009/1/23,2185.07,1.5914,10.4814,1373.05,16.72%,208.47,35.03%,0.1518
2009/2/6,2387.98,1.77,11.6242,1349.14,14.51%,205.43,32.41%,0.1523
2009/2/13,2505.0,1.9107,12.5209,1311.04,12.96%,200.07,30.75%,0.1526
2009/2/20,2455.03,1.8991,12.3842,1292.73,15.45%,198.24,34.45%,0.1533
2009/2/27,2265.98,1.6887,11.0059,1341.85,19.12%,205.89,37.71%,0.1534
2009/3/6,2412.86,1.8194,12.0884,1326.18,18.92%,199.6,33.76%,0.1505
2009/3/13,2325.23,1.7568,12.1643,1323.56,18.68%,191.15,27.34%,0.1444
2009/3/20,2494.9,1.9182,13.6804,1300.65,11.51%,182.37,15.96%,0.1402
2009/3/27,2622.56,1.9916,14.8877,1316.81,9.64%,176.16,9.55%,0.1338
2009/4/3,2705.38,2.0325,16.7532,1331.06,4.96%,161.48,-3.96%,0.1213
2009/4/10,2694.99,2.0232,17.0023,1332.04,6.82%,158.51,-3.55%,0.119
2009/4/17,2754.11,2.0942,18.6324,1315.11,2.33%,147.81,-12.70%,0.1124
2009/4/24,2666.62,2.0424,22.2326,1305.63,-1.35%,119.94,-32.05%,0.0919
2009/4/30,2707.65,2.0341,32.4952,1331.13,-0.46%,83.32,-51.73%,0.0626
2009/5/8,2900.78,2.1595,34.866,1343.26,2.80%,83.2,-50.84%,0.0619
2009/5/15,2900.24,2.1729,34.8339,1334.73,2.59%,83.26,-50.48%,0.0624
2009/5/22,2843.54,2.1637,34.115,1314.2,1.15%,83.35,-50.99%,0.0634
2009/5/27,2872.27,2.1624,34.3867,1328.28,1.93%,83.53,-51.39%,0.0629
2009/6/5,3090.98,2.2876,36.5383,1351.19,3.89%,84.6,-50.92%,0.0626
2009/6/12,3074.57,2.2563,36.3725,1362.66,4.87%,84.53,-51.24%,0.062
2009/6/19,3260.03,2.3519,38.0533,1386.13,2.24%,85.67,-52.76%,0.0618
2009/6/26,3343.77,2.4344,37.9473,1373.55,3.43%,88.12,-50.85%,0.0642
2009/7/3,3509.12,2.5277,29.9856,1388.27,7.68%,117.03,-37.03%,0.0843
2009/7/10,3537.94,2.652,30.9104,1334.06,2.95%,114.46,-38.46%,0.0858
2009/7/17,3701.57,2.7895,32.0939,1326.97,3.51%,115.34,-37.57%,0.0869
2009/7/24,3841.4,2.8818,33.7827,1332.99,3.31%,113.71,-38.79%,0.0853
2009/7/31,4001.58,3.0263,33.8866,1322.27,1.20%,118.09,-37.44%,0.0893
2009/8/7,3733.9,2.924,33.7526,1276.98,-5.57%,110.63,-43.38%,0.0866
2009/8/14,3511.42,2.7072,32.7046,1297.07,-4.79%,107.37,-45.45%,0.0828
2009/8/21,3392.42,2.5884,35.0115,1310.62,-6.24%,96.89,-51.99%,0.0739
2009/8/28,3117.36,2.4382,39.6991,1278.55,-11.14%,78.52,-62.32%,0.0614
2009/9/4,3187.94,2.4073,42.2833,1324.28,-5.42%,75.39,-63.58%,0.0569
2009/9/11,3380.26,2.5296,44.4833,1336.28,-2.80%,75.99,-62.86%,0.0569
2009/9/18,3288.19,2.5186,44.4773,1305.56,-1.34%,73.93,-62.66%,0.0566
2009/9/25,3170.29,2.3748,43.6481,1334.97,-3.04%,72.63,-64.24%,0.0544
2009/9/30,3122.71,2.2973,43.3346,1359.3,-1.13%,72.06,-65.44%,0.053
2009/10/9,3290.01,2.4218,45.668,1358.5,-3.89%,72.04,-66.68%,0.053
2009/10/16,3378.62,2.488,45.1744,1357.97,-1.67%,74.79,-64.26%,0.0551
2009/10/23,3569.8,2.5849,46.7524,1381.02,-4.97%,76.36,-62.42%,0.0553
2009/10/30,3441.65,2.4134,55.0909,1426.06,-3.05%,62.47,-69.89%,0.0438
2009/11/6,3659.04,2.5635,56.5857,1427.36,0.26%,64.66,-67.14%,0.0453
2009/11/13,3679.15,2.6137,56.0868,1407.64,-0.42%,65.6,-67.01%,0.0466
2009/11/20,3783.24,2.7274,58.4765,1387.12,0.07%,64.7,-67.16%,0.0466
2009/11/27,3515.44,2.5471,55.1005,1380.17,1.21%,63.8,-66.61%,0.0462
2009/12/4,3802.47,2.7423,59.0762,1386.6,0.41%,64.37,-66.72%,0.0464
2009/12/11,3717.69,2.7005,57.4791,1376.67,1.22%,64.68,-66.09%,0.047
2009/12/18,3577.65,2.5552,56.0334,1400.14,1.88%,63.85,-66.98%,0.0456
2009/12/25,3565.791,2.5712,57.1805,1386.82,0.65%,62.36,-67.84%,0.045
2009/12/31,3767.887,2.7059,57.4935,1392.47,2.45%,65.54,-68.84%,0.0471
2010/1/8,3624.898,2.803,31.5506,1293.22,-4.88%,114.89,-44.82%,0.0888
2010/1/15,3558.946,2.826,31.8617,1259.36,-8.28%,111.7,-46.42%,0.0887
2010/1/22,3491.742,2.7183,30.8358,1284.53,-4.79%,113.24,-44.88%,0.0882
2010/1/29,3287.838,2.5837,29.2963,1272.53,-2.94%,112.23,-43.90%,0.0882
2010/2/5,3245.858,2.5268,28.6041,1284.57,-0.63%,113.48,-42.76%,0.0883
2010/2/12,3345.2940000000012,2.6182,29.4094,1277.71,-4.78%,113.75,-44.75%,0.089
2010/2/26,3373.758,2.6484,30.035,1273.89,-3.94%,112.33,-43.72%,0.0882
2010/3/5,3363.191,2.62,28.7579,1283.66,-3.01%,116.95,-38.82%,0.0911
2010/3/12,3358.108,2.592,27.8087,1295.57,-0.39%,120.76,-33.78%,0.0932
2010/3/19,3401.932,2.6198,27.3888,1298.55,-1.39%,124.21,-29.49%,0.0957
2010/3/26,3399.095,2.5877,27.4469,1313.56,-1.31%,123.84,-23.31%,0.0943
2010/4/2,3535.112,2.6562,26.6931,1330.89,-0.09%,132.44,-16.45%,0.0995
2010/4/9,3485.575,2.6291,26.5425,1325.77,0.81%,131.32,-11.16%,0.0991
2010/4/16,3435.7,2.5939,25.8397,1324.53,1.45%,132.96,10.86%,0.1004
2010/4/23,3185.83,2.419,21.9606,1317.0,-1.06%,145.07,74.10%,0.1102
2010/4/30,3124.896,2.2788,19.2267,1371.29,2.09%,162.53,95.35%,0.1185
2010/5/7,2864.57,2.0836,17.413,1374.82,3.00%,164.51,97.59%,0.1197
2010/5/14,2939.364,2.1146,17.707,1390.03,5.77%,166.0,99.16%,0.1194
2010/5/21,2846.682,2.0277,16.9937,1403.9,5.69%,167.51,100.55%,0.1193
2010/5/28,2890.083,2.0852,17.4279,1386.0,2.58%,165.83,96.03%,0.1196
2010/6/4,2765.197,1.9834,16.7545,1394.17,2.31%,165.04,95.25%,0.1184
2010/6/11,2754.412000000001,2.006,16.9716,1373.09,-0.94%,162.3,89.44%,0.1182
2010/6/18,2726.198,1.9616,16.5614,1389.78,1.18%,164.61,86.81%,0.1184
2010/6/25,2784.826,1.9881,16.7628,1400.75,0.90%,166.13,41.96%,0.1186
2010/7/2,2621.15,1.8454,14.5411,1420.37,6.47%,180.26,57.49%,0.1269
2010/7/9,2725.6620000000007,1.9402,15.2722,1404.84,5.87%,178.47,54.74%,0.127
2010/7/16,2686.43,1.9133,14.9371,1404.08,5.33%,179.85,58.17%,0.1281
2010/7/23,2854.657,2.0575,16.1717,1387.44,4.93%,176.52,49.48%,0.1272
2010/7/30,2916.613,2.1204,16.6768,1375.5,7.71%,174.89,58.09%,0.1271
2010/8/6,2908.959000000001,2.1237,16.632,1369.76,5.60%,174.9,62.90%,0.1277
2010/8/13,2831.7540000000013,2.0816,16.2331,1360.37,3.80%,174.44,80.03%,0.1282
2010/8/20,2887.048,2.0974,16.0733,1376.49,7.66%,179.62,128.74%,0.1305
2010/8/27,2818.61,2.0414,15.3581,1380.72,4.26%,183.53,143.42%,0.1329
2010/9/3,2825.74,2.0591,15.3888,1372.32,2.70%,183.62,141.64%,0.1338
2010/9/10,2797.58,2.0635,15.356,1355.75,3.84%,182.18,146.43%,0.1344
2010/9/17,2693.96,1.9938,14.8618,1351.17,1.21%,181.27,149.57%,0.1342
2010/9/21,2696.24,1.9864,14.8179,1357.35,-0.14%,181.96,152.51%,0.1341
2010/9/30,2731.04,2.0165,15.0732,1354.35,-0.31%,181.19,151.50%,0.1338
2010/10/8,2835.6,2.0814,15.5935,1362.35,0.32%,181.84,143.14%,0.1335
2010/10/15,3192.69,2.2699,17.2889,1406.53,1.85%,184.67,141.85%,0.1313
2010/10/22,3204.79,2.2827,17.663,1403.95,-1.55%,181.44,190.43%,0.1292
2010/10/29,3178.57,2.2204,17.3172,1431.53,0.29%,183.55,183.85%,0.1282
2010/11/5,3290.81,2.2748,18.1893,1446.64,2.77%,180.92,175.80%,0.1251
2010/11/12,3054.63,2.111,16.9095,1447.01,4.32%,180.65,179.22%,0.1248
2010/11/19,2935.26,2.04,16.4059,1438.85,4.25%,178.91,180.43%,0.1243
2010/11/26,2918.35,2.03,16.4575,1437.61,3.68%,177.33,175.50%,0.1233
2010/12/3,2893.75,2.0045,16.2622,1443.63,4.86%,177.94,175.12%,0.1233
2010/12/10,2892.87,2.0018,16.2031,1445.13,3.21%,178.54,179.63%,0.1235
2010/12/17,2940.21,2.0379,16.7578,1442.76,4.03%,175.45,181.35%,0.1216
2010/12/24,2915.12,2.0034,16.5345,1455.09,4.50%,176.31,169.02%,0.1212
2010/12/31,2862.94,1.9539,16.2837,1465.24,13.30%,175.82,53.03%,0.12
2011/1/7,2915.31,2.1289,15.461,1369.4,8.74%,188.56,68.81%,0.1377
2011/1/14,2874.87,2.1005,15.2119,1368.66,6.55%,188.99,66.90%,0.1381
2011/1/21,2795.7,2.0485,14.7954,1364.75,7.25%,188.96,68.37%,0.1385
2011/1/28,2840.96,2.0816,15.1231,1364.8,6.25%,187.86,65.55%,0.1376
2011/2/1,2868.09,2.0992,15.2592,1366.28,6.93%,187.96,65.24%,0.1376
2011/2/11,2893.9,2.1239,15.477,1362.54,6.96%,186.98,66.46%,0.1372
2011/2/18,2982.05,2.1899,15.9796,1361.73,6.08%,186.62,59.57%,0.137
2011/2/25,2946.82,2.162,15.7942,1363.01,5.21%,186.58,54.50%,0.1369
2011/3/4,3063.13,2.2117,16.3631,1384.97,6.66%,187.2,50.71%,0.1352
2011/3/11,3027.82,2.1882,16.1655,1383.7,5.34%,187.3,51.24%,0.1354
2011/3/18,2995.22,2.166,15.9637,1382.83,3.90%,187.63,41.67%,0.1357
2011/3/25,3091.8,2.2012,16.5441,1404.6,5.95%,186.88,42.31%,0.1331
2011/4/1,3117.1,2.1747,16.1856,1433.35,8.22%,192.58,44.84%,0.1344
2011/4/8,3204.93,2.2149,16.4517,1446.99,9.87%,194.81,34.29%,0.1346
2011/4/15,3229.45,2.2291,16.4285,1448.77,5.65%,196.58,20.95%,0.1357
2011/4/22,3151.17,2.1784,15.9243,1446.55,5.22%,197.88,20.29%,0.1368
2011/4/29,3089.14,2.0674,15.2366,1494.21,7.49%,202.74,22.14%,0.1357
2011/5/6,2985.35,2.0113,14.7568,1484.29,5.73%,202.3,20.77%,0.1363
2011/5/13,2987.03,2.004,14.7478,1490.53,7.54%,202.54,22.14%,0.1359
2011/5/20,2989.89,1.9961,14.5825,1497.87,7.44%,205.03,24.23%,0.1369
2011/5/27,2866.66,1.8949,13.8375,1512.83,10.18%,207.17,27.65%,0.1369
2011/6/3,2855.84,1.9031,13.8648,1500.63,7.98%,205.98,25.13%,0.1373
2011/6/10,2813.76,1.8881,13.6975,1490.26,6.39%,205.42,23.65%,0.1378
2011/6/17,2755.47,1.8488,13.3604,1490.41,4.93%,206.24,14.41%,0.1384
2011/6/24,2898.58,1.9394,14.0105,1494.58,6.39%,206.89,15.92%,0.1384
2011/7/1,2890.03,1.9507,13.8266,1481.53,5.52%,209.02,16.22%,0.1411
2011/7/8,2928.54,1.9725,13.9997,1484.68,7.01%,209.19,18.50%,0.1409
2011/7/15,2920.44,1.9795,14.0296,1475.34,7.26%,208.16,19.02%,0.1411
2011/7/22,2847.95,1.9331,13.6707,1473.26,7.56%,208.33,19.11%,0.1414
2011/7/29,2760.41,1.8721,13.2494,1474.5,8.39%,208.34,19.43%,0.1413
2011/8/5,2672.9,1.8045,12.9173,1481.24,7.61%,206.92,15.20%,0.1397
2011/8/12,2641.47,1.7639,12.6453,1497.52,8.46%,208.89,13.82%,0.1395
2011/8/19,2585.84,1.7056,12.2494,1516.09,10.48%,211.1,14.96%,0.1392
2011/8/26,2696.27,1.7603,12.8046,1531.71,12.98%,210.57,15.58%,0.1375
2011/9/2,2611.04,1.6811,12.3179,1553.17,14.95%,211.97,16.94%,0.1365
2011/9/9,2576.78,1.6586,12.1146,1553.59,14.46%,212.7,16.90%,0.1369
2011/9/16,2566.74,1.654,12.069,1551.84,14.58%,212.67,17.38%,0.137
