date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2016/2/4,11741.14,2.2566,33.2054,5203.02,,353.59,,0.068
2016/2/5,11627.84,2.2317,32.8017,5210.31,,354.49,,0.068
2016/2/19,12214.5,2.3425,34.1025,5214.3,,358.17,,0.069
2016/2/26,11572.17,2.2389,31.7886,5168.69,,364.04,,0.07
2016/3/4,11636.54,2.267,32.6583,5133.01,,356.31,,0.069
2016/3/11,11377.27,2.2076,32.3058,5153.68,,352.17,,0.068
2016/3/18,12267.39,2.3699,34.9306,5176.33,,351.19,,0.068
2016/3/25,12488.11,2.3954,36.376999999999995,5213.37,,343.3,,0.066
2016/4/1,12607.9,2.4001,37.6645,5253.07,,334.74,,0.064
2016/4/8,12792.54,2.4183,38.3104,5289.89,,333.92,,0.063
2016/4/15,13223.65,2.4964,38.9606,5297.09,,339.41,,0.064
2016/4/22,12487.55,2.3447,38.5272,5325.86,,324.12,,0.061
2016/4/29,12513.06,2.3116,38.5625,5413.16,,324.49,,0.06
2016/5/6,12494.93,2.3026,39.5122,5426.44,,316.23,,0.058
2016/5/13,12003.94,2.2006,39.0697,5454.85,,307.24,,0.056
2016/5/20,12042.98,2.1968,39.1687,5482.06,,307.46,,0.056
2016/5/27,12076.5,2.2021,39.1547,5484.08,,308.43,,0.056
2016/6/3,12646.7,2.3043,41.1231,5488.3,,307.53,,0.056
2016/6/8,12634.02,2.2887,41.093,5520.17,,307.45,,0.056
2016/6/17,12599.21,2.2277,25.3598,5655.7,,496.82,,0.088
2016/6/24,12548.15,2.2164,25.2471,5661.5,,497.01,,0.088
2016/7/1,12945.55,2.2931,25.9751,5645.44,,498.38,,0.088
2016/7/8,13349.24,2.3747,26.7178,5621.44,,499.64,,0.089
2016/7/15,13714.48,2.4455,27.4768,5608.05,,499.13,,0.089
2016/7/22,13485.47,2.4052,27.1698,5606.8,,496.34,,0.089
2016/7/29,13284.26,2.3764,26.9378,5590.08,,493.15,,0.088
2016/8/5,13306.82,2.3822,26.9564,5585.94,,493.64,,0.088
2016/8/12,13546.51,2.4216,27.2245,5594.03,,497.59,,0.089
2016/8/19,13924.52,2.4804,27.8653,5613.82,,499.71,,0.089
2016/8/26,13811.21,2.4242,27.4685,5697.22,,502.8,,0.088
2016/9/2,13665.05,2.3795,27.8982,5742.82,,489.82,,0.085
2016/9/9,14013.23,2.4273,28.47300000000001,5773.18,,492.16,,0.085
2016/9/14,13621.51,2.3606,27.7566,5770.36,,490.75,,0.085
2016/9/23,13856.19,2.4001,28.372,5773.17,,488.38,,0.085
2016/9/30,13758.67,2.3866,28.2534,5764.97,,486.97,,0.084
2016/10/14,14095.54,2.436,28.7812,5786.35,,489.75,,0.085
2016/10/21,14174.43,2.4361,28.9812,5818.49,,489.09,,0.084
2016/10/28,14119.56,2.4109,28.1942,5856.55,,500.8,,0.086
2016/11/4,14175.49,2.3747,28.4246,5969.38,,498.7,,0.084
2016/11/11,14456.71,2.4381,28.9215,5929.5,,499.86,,0.084
2016/11/18,14436.88,2.4356,29.0335,5927.44,,497.25,,0.084
2016/11/25,14514.52,2.4662,29.3577,5885.38,,494.4,,0.084
2016/12/2,14266.08,2.4236,28.9803,5886.32,,492.27,,0.084
2016/12/9,14209.74,2.4154,28.8694,5882.98,,492.21,,0.084
2016/12/16,13824.59,2.2106,32.9458,6253.77,,419.62,,0.067
2016/12/23,13754.21,2.1981,32.7995,6257.32,,419.34,,0.067
2016/12/30,13777.14,2.1957,32.8385,6274.6,,419.54,,0.067
2017/1/6,14087.87,2.2408,33.4917,6286.98,,420.64,,0.067
2017/1/13,13783.23,2.1978,32.6682,6271.38,,421.92,,0.067
2017/1/20,13765.22,2.1886,32.541,6289.51,,423.01,,0.067
2017/1/26,13983.54,2.2251,32.9416,6284.45,20.78%,424.49,20.05%,0.068
2017/2/3,13939.08,2.2159999999999997,32.8322,6290.2,20.73%,424.56,19.77%,0.067
2017/2/10,14256.48,2.267,33.2124,6288.7,20.60%,429.25,19.85%,0.068
2017/2/17,14163.3,2.253,33.1271,6286.42,21.63%,427.54,17.45%,0.068
2017/2/24,14514.22,2.3035,33.9104,6300.94,22.75%,428.02,20.12%,0.068
2017/3/3,14406.03,2.2769,32.5622,6327.04,22.77%,442.42,25.62%,0.07
2017/3/10,14366.94,2.2628,32.5316,6349.19,22.66%,441.63,25.75%,0.07
2017/3/17,14427.31,2.2711,32.5788,6352.56,21.85%,442.84,29.00%,0.07
2017/3/24,14596.18,2.2836,32.9697,6391.74,21.68%,442.71,32.26%,0.069
2017/3/31,14335.76,2.235,30.5285,6414.21,21.25%,469.59,40.63%,0.073
2017/4/7,14814.31,2.3016,31.6417,6436.53,21.51%,468.19,37.94%,0.073
2017/4/14,14836.12,2.301,31.16,6447.68,21.06%,476.13,46.90%,0.074
2017/4/21,14371.79,2.2096,29.7866,6504.25,20.16%,482.49,48.69%,0.074
2017/4/28,14283.42,2.1484,28.718000000000004,6648.4,22.52%,497.37,57.28%,0.075
2017/5/5,14011.41,2.1009,28.399,6669.24,22.26%,493.38,60.58%,0.074
2017/5/12,13557.44,2.0166,27.3693,6722.92,22.64%,495.35,61.11%,0.074
