date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2004/1/2,1011.35,2.89,26.81,349.95,,37.72,,0.1078
2004/1/9,1081.79,3.05,28.3,354.69,,38.23,,0.1078
2004/1/16,1083.65,3.03,28.12,357.64,,38.54,,0.1078
2004/1/30,1067.55,2.94,27.32,363.11,,39.08,,0.1076
2004/2/6,1122.08,3.11,28.83,360.8,,38.92,,0.1079
2004/2/13,1096.36,2.97,27.59,369.14,,39.74,,0.1076
2004/2/20,1124.66,3.04,28.19,369.95,,39.9,,0.1078
2004/2/27,1088.72,2.99,27.74,364.12,,39.25,,0.1078
2004/3/5,1071.58,2.94,27.61,364.48,,38.81,,0.1065
2004/3/12,1099.08,3.07,28.84,358.01,,38.11,,0.1064
2004/3/19,1129.78,3.19,29.73,354.16,,38.0,,0.1073
2004/3/26,1112.78,3.1,28.94,358.96,,38.45,,0.1071
2004/4/2,1127.81,3.12,29.19,361.48,,38.64,,0.1069
2004/4/9,1088.16,2.98,27.91,365.15,,38.99,,0.1068
2004/4/16,1071.23,2.95,26.65,363.13,,40.2,,0.1107
2004/4/23,1034.41,2.84,25.44,364.23,,40.66,,0.1116
2004/4/30,1025.95,2.75,23.91,373.07,,42.91,,0.115
2004/5/14,997.95,2.68,23.29,372.37,,42.85,,0.1151
2004/5/21,994.45,2.64,22.89,376.69,,43.44,,0.1153
2004/5/28,995.64,2.68,23.1,371.51,,43.1,,0.116
2004/6/4,986.22,2.65,22.83,372.16,,43.2,,0.1161
2004/6/11,942.86,2.55,21.72,369.75,,43.41,,0.1174
2004/6/18,910.19,2.51,21.26,362.63,,42.81,,0.1181
2004/6/25,891.79,2.47,20.76,361.05,,42.96,,0.119
2004/7/2,926.62,2.63,21.68,352.33,,42.74,,0.1213
2004/7/9,923.2,2.55,21.5,362.04,,42.94,,0.1186
2004/7/16,946.18,2.63,22.17,359.76,,42.68,,0.1186
2004/7/23,915.04,2.5,21.03,366.02,,43.51,,0.1189
2004/7/30,906.27,2.47,20.53,366.91,,44.14,,0.1203
2004/8/6,911.55,2.49,20.57,366.08,,44.31,,0.1211
2004/8/13,907.0,2.45,20.25,370.2,,44.79,,0.121
2004/8/20,904.83,2.44,20.04,370.83,,45.15,,0.1218
2004/8/27,883.7,2.34,18.99,377.65,,46.54,,0.1232
2004/9/3,879.42,2.29,17.77,384.03,,49.49,,0.1289
2004/9/10,851.97,2.21,17.09,385.51,,49.85,,0.1293
2004/9/17,932.32,2.42,18.76,385.26,,49.7,,0.129
2004/9/24,951.09,2.46,18.97,386.62,,50.14,,0.1297
2004/9/30,924.35,2.41,18.53,383.55,,49.88,,0.1301
2004/10/8,936.01,2.42,18.64,386.78,,50.22,,0.1298
2004/10/15,879.72,2.27,17.44,387.54,,50.44,,0.1302
2004/10/22,878.74,2.26,17.51,388.82,,50.19,,0.1291
2004/10/29,870.79,2.21,16.24,394.02,,53.62,,0.1361
2004/11/5,862.26,2.17,15.89,397.35,,54.26,,0.1366
2004/11/12,898.17,2.24,16.34,400.97,,54.97,,0.1371
2004/11/19,906.99,2.28,16.65,397.8,,54.47,,0.1369
2004/11/26,889.08,2.22,16.25,400.49,,54.71,,0.1366
2004/12/3,871.56,2.16,15.8,403.5,,55.16,,0.1367
2004/12/10,868.43,2.17,15.85,400.2,,54.79,,0.1369
2004/12/17,857.25,2.15,15.74,398.72,,54.46,,0.1366
2004/12/24,851.78,2.13,15.59,399.9,,54.64,,0.1366
2004/12/31,842.73,2.12,15.53,397.51,,54.26,,0.1365
2005/1/7,823.62,2.08,14.87,395.97,13.15%,55.39,46.83%,0.1399
2005/1/14,829.04,2.07,14.83,400.5,12.92%,55.9,46.24%,0.1396
2005/1/21,831.85,2.07,14.82,401.86,12.36%,56.13,45.65%,0.1397
2005/1/28,820.69,2.06,14.73,398.39,9.72%,55.72,42.58%,0.1399
2005/2/4,872.88,2.2,15.8,396.76,9.97%,55.25,41.94%,0.1392
2005/2/18,856.21,2.17,15.52,394.57,6.89%,55.17,38.83%,0.1398
2005/2/25,878.5,2.21,15.83,397.51,7.45%,55.5,39.10%,0.1396
2005/3/4,859.49,2.17,15.51,396.08,8.78%,55.42,41.19%,0.1399
2005/3/11,853.9,2.15,15.37,397.16,8.97%,55.56,43.14%,0.1399
2005/3/18,821.03,2.05,14.62,400.5,11.87%,56.16,47.36%,0.1402
2005/3/25,806.42,2.01,14.27,401.2,13.28%,56.51,48.71%,0.1409
2005/4/1,822.91,2.04,13.77,403.39,12.38%,59.76,55.42%,0.1481
2005/4/8,838.06,2.07,13.98,404.86,12.00%,59.95,55.16%,0.1481
2005/4/15,817.09,2.03,13.75,402.51,10.23%,59.42,52.42%,0.1476
2005/4/22,794.82,1.98,13.97,401.42,10.55%,56.89,41.54%,0.1417
2005/4/29,789.73,1.92,13.96,411.32,12.93%,56.57,39.13%,0.1375
2005/5/13,757.3,1.86,13.35,407.15,9.13%,56.73,32.20%,0.1393
2005/5/20,753.07,1.83,13.11,411.51,10.51%,57.44,34.06%,0.1396
2005/5/27,724.52,1.74,12.4,416.39,10.54%,58.43,34.49%,0.1403
2005/6/3,700.43,1.67,11.93,419.42,12.90%,58.71,36.22%,0.14
2005/6/10,766.66,1.86,13.09,412.18,10.75%,58.57,35.58%,0.1421
2005/6/17,762.18,1.85,12.91,411.99,11.42%,59.04,36.00%,0.1433
2005/6/24,772.32,1.89,13.08,408.63,12.69%,59.05,37.92%,0.1445
2005/7/1,748.05,1.86,12.49,402.18,11.39%,59.89,39.42%,0.1489
2005/7/8,727.56,1.83,12.26,397.57,12.84%,59.34,38.85%,0.1493
2005/7/15,748.52,1.88,12.58,398.15,9.97%,59.5,38.57%,0.1494
2005/7/22,768.72,1.94,12.98,396.25,10.14%,59.22,38.77%,0.1495
2005/7/29,788.63,2.01,13.42,392.35,7.20%,58.77,35.06%,0.1498
2005/8/5,812.33,2.07,13.8,392.43,6.96%,58.86,33.35%,0.15
2005/8/12,822.33,2.13,14.29,386.07,5.46%,57.55,29.86%,0.1491
2005/8/19,817.68,2.02,13.41,404.79,9.34%,60.98,36.14%,0.1506
2005/8/26,822.2,2.05,13.71,401.07,8.15%,59.97,32.82%,0.1495
2005/9/2,829.46,1.91,13.22,434.27,14.99%,62.74,34.83%,0.1445
2005/9/9,823.64,1.89,13.08,435.79,13.48%,62.97,27.24%,0.1445
2005/9/16,830.62,1.89,13.1,439.48,14.00%,63.41,27.19%,0.1443
2005/9/23,793.16,1.82,12.49,435.8,13.12%,63.5,27.78%,0.1457
2005/9/30,793.65,1.82,12.53,436.07,12.79%,63.34,26.33%,0.1453
2005/10/14,777.49,1.78,12.23,436.79,13.88%,63.57,27.44%,0.1455
2005/10/21,774.06,1.76,12.12,439.81,13.71%,63.87,27.19%,0.1452
2005/10/28,749.96,1.62,11.5,462.94,19.46%,65.21,29.28%,0.1409
2005/11/4,758.92,1.65,11.75,459.95,18.29%,64.59,28.70%,0.1404
2005/11/11,746.45,1.64,11.68,455.15,15.51%,63.91,19.19%,0.1404
2005/11/18,760.57,1.69,11.97,450.04,13.26%,63.54,17.09%,0.1412
2005/11/25,766.68,1.68,11.91,456.36,13.81%,64.37,17.11%,0.1411
2005/12/2,757.02,1.66,11.8,456.04,14.64%,64.15,17.77%,0.1407
