date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2016/8/11,4036.21,0.97,8.15,4161.04,,495.24,,0.119
2016/8/12,4106.4,0.99,8.28,4147.88,,495.94,,0.1196
2016/8/19,4145.24,1.0,8.35,4145.24,,496.44,,0.1198
2016/8/26,4089.51,0.99,8.52,4130.82,,479.99,,0.1162
2016/9/2,4151.05,1.02,8.92,4069.66,,465.36,,0.1143
2016/9/9,4239.97,1.04,9.15,4076.89,,463.38,,0.1137
2016/9/15,4101.02,1.0,8.78,4101.02,,467.09,,0.1139
2016/9/23,4172.19,1.02,8.92,4090.38,,467.73,,0.1143
2016/9/30,4102.62,1.01,8.8,4062.0,,466.21,,0.1148
2016/10/7,4153.84,1.03,9.0,4032.85,,461.54,,0.1144
2016/10/14,4145.51,1.01,8.85,4104.47,,468.42,,0.1141
2016/10/21,4216.64,1.02,8.91,4133.96,,473.25,,0.1145
2016/10/28,4206.62,1.0,8.75,4206.62,,480.76,,0.1143
2016/11/4,4230.21,0.98,8.72,4316.54,,485.12,,0.1124
2016/11/11,4281.41,0.98,8.74,4368.79,,489.86,,0.1121
2016/11/18,4298.76,0.98,8.66,4386.49,,496.39,,0.1132
2016/11/25,4486.01,1.02,9.04,4398.05,,496.24,,0.1128
2016/12/2,4505.67,1.03,9.14,4374.44,,492.96,,0.1127
2016/12/9,4514.87,1.03,9.18,4383.37,,491.82,,0.1122
2016/12/16,4330.4,1.0,8.7,4330.4,,497.75,,0.1149
2016/12/23,4223.06,0.97,8.5,4353.67,,496.83,,0.1141
2016/12/30,4283.83,0.99,8.63,4327.1,,496.39,,0.1147
2017/1/6,4351.4,1.01,8.85,4308.32,,491.68,,0.1141
2017/1/13,4358.14,1.02,8.93,4272.69,,488.03,,0.1142
2017/1/20,4375.68,1.02,8.94,4289.88,,489.45,,0.1141
2017/1/27,4418.35,1.03,9.04,4289.66,,488.76,,0.1139
2017/2/3,4357.64,1.02,8.92,4272.2,,488.52,,0.1143
2017/2/10,4483.03,1.05,9.2,4269.55,,487.29,,0.1141
2017/2/17,4522.12,1.07,9.36,4226.28,,483.13,,0.1143
2017/2/24,4548.95,1.08,9.44,4211.99,,481.88,,0.1144
2017/3/3,4469.28,1.05,9.2,4256.46,,485.79,,0.1141
2017/3/10,4456.78,1.04,9.14,4285.37,,487.61,,0.1138
2017/3/17,4541.88,1.08,9.42,4205.44,,482.15,,0.1146
2017/3/24,4552.18,1.08,9.4,4214.98,,484.27,,0.1149
2017/3/31,4484.51,1.08,9.37,4152.32,,478.6,,0.1153
2017/4/7,4515.02,1.09,9.52,4142.22,,474.27,,0.1145
2017/4/14,4468.44,1.08,9.47,4137.44,,471.85,,0.114
2017/4/21,4433.36,1.07,9.36,4143.33,,473.65,,0.1143
2017/4/28,4452.07,1.06,9.19,4200.07,,484.45,,0.1153
2017/5/5,4364.12,1.01,8.98,4320.91,,485.98,,0.1125
2017/5/12,4463.56,1.04,9.22,4291.88,,484.12,,0.1128
2017/5/19,4473.69,1.04,9.23,4301.63,,484.69,,0.1127
2017/5/26,4643.0,1.07,9.54,4339.25,,486.69,,0.1122
2017/6/2,4625.91,1.08,9.58,4283.25,,482.87,,0.1127
2017/6/9,4669.82,1.08,9.56,4323.91,,488.47,,0.113
2017/6/16,4557.41,1.07,9.46,4259.26,,481.76,,0.1131
2017/6/23,4680.33,1.09,9.6,4293.88,,487.53,,0.1135
2017/6/30,4667.82,1.09,9.6,4282.4,,486.23,,0.1135
2017/7/7,4635.39,1.07,9.4,4332.14,,493.13,,0.1138
2017/7/14,4796.97,1.11,9.77,4321.59,,490.99,,0.1136
2017/7/21,4827.87,1.12,9.84,4310.6,,490.64,,0.1138
2017/7/28,4797.95,1.12,9.82,4283.88,,488.59,,0.1141
2017/8/4,4834.29,1.13,9.96,4278.13,,485.37,,0.1135
2017/8/11,4678.71,1.1,9.64,4253.37,,485.34,,0.1141
2017/8/18,4744.57,1.11,9.71,4274.39,,488.63,,0.1143
2017/8/25,4914.49,1.15,10.17,4273.47,,483.23,,0.1131
2017/9/1,4884.14,1.14,9.93,4284.33,4.47%,491.86,5.30%,0.1148
2017/9/8,4783.6,1.13,9.83,4233.27,3.49%,486.63,4.04%,0.115
2017/9/15,4814.79,1.12,9.75,4298.92,5.83%,493.82,5.92%,0.1149
2017/9/22,4847.57,1.12,9.8,4328.19,7.32%,494.65,7.17%,0.1143
2017/9/29,4799.87,1.1,9.67,4363.52,6.31%,496.37,5.97%,0.1138
2017/10/6,4956.01,1.15,10.04,4309.57,4.25%,493.63,4.31%,0.1145
2017/10/13,4972.6,1.15,10.11,4324.0,2.79%,491.85,2.31%,0.1137
2017/10/20,5043.45,1.16,10.15,4347.8,0.72%,496.89,2.43%,0.1143
2017/10/27,5151.52,1.17,10.11,4403.01,0.78%,509.55,4.02%,0.1157
2017/11/3,5083.04,1.11,9.8,4579.32,4.40%,518.68,4.49%,0.1133
2017/11/10,5206.38,1.13,9.96,4607.42,4.76%,522.73,5.34%,0.1135
2017/11/17,5221.43,1.13,9.9,4620.73,5.63%,527.42,6.99%,0.1141
2017/11/24,5292.47,1.14,10.02,4642.52,5.91%,528.19,7.40%,0.1138
2017/12/1,5079.3,1.1,9.69,4617.55,6.63%,524.18,5.31%,0.1135
2017/12/8,5091.48,1.1,9.63,4628.62,6.32%,528.71,6.42%,0.1142
2017/12/15,5087.84,1.11,9.73,4583.64,5.93%,522.9,5.34%,0.1141
2017/12/22,5194.46,1.14,9.96,4556.54,5.76%,521.53,6.07%,0.1145
2017/12/29,5171.24,1.14,10.01,4536.18,6.17%,516.61,5.85%,0.1139
2018/1/5,5328.99,1.19,10.42,4478.14,4.39%,511.42,4.49%,0.1142
2018/1/12,5489.33,1.23,10.71,4462.87,4.04%,512.54,4.87%,0.1148
2018/1/19,5695.58,1.28,11.2,4449.67,4.15%,508.53,4.10%,0.1143
2018/1/26,5821.95,1.33,11.66,4377.41,2.53%,499.31,2.47%,0.1141
2018/2/2,5680.17,1.31,11.49,4336.01,2.60%,494.36,2.32%,0.114
2018/2/9,5060.19,1.16,10.17,4362.23,3.57%,497.56,3.25%,0.1141
2018/2/15,5306.6,1.21,10.61,4385.62,3.03%,500.15,2.96%,0.114
2018/2/23,5417.46,1.24,10.84,4368.92,1.95%,499.77,2.49%,0.1144
2018/3/2,5225.61,1.19,10.44,4391.27,4.42%,500.54,3.81%,0.114
2018/3/9,5278.5,1.21,10.58,4362.4,3.50%,498.91,3.02%,0.1144
2018/3/16,5321.77,1.22,10.72,4362.11,5.05%,496.43,3.73%,0.1138
2018/3/23,5083.74,1.17,10.13,4345.08,4.90%,501.85,5.82%,0.1155
2018/3/30,4963.18,1.14,9.67,4353.67,5.23%,513.26,8.77%,0.1179
2018/4/6,4965.89,1.12,9.44,4433.83,7.01%,526.05,11.06%,0.1186
2018/4/13,5064.58,1.14,9.63,4442.61,5.77%,525.92,8.56%,0.1184
2018/4/20,4938.83,1.12,9.38,4409.67,2.05%,526.53,8.34%,0.1194
2018/4/27,4941.66,1.1,9.29,4492.42,4.67%,531.93,9.88%,0.1184
2018/5/4,4921.72,1.05,8.88,4687.35,8.97%,554.25,14.35%,0.1182
2018/5/11,5088.8,1.09,9.22,4668.62,7.59%,551.93,13.41%,0.1182
2018/5/18,5121.07,1.09,9.24,4698.23,9.69%,554.23,14.78%,0.118
2018/5/25,5001.31,1.06,8.96,4718.22,9.12%,558.18,14.27%,0.1183
2018/6/1,5009.74,1.06,8.97,4726.17,10.96%,558.5,15.93%,0.1182
2018/6/8,5055.15,1.07,9.04,4724.44,10.03%,559.2,14.70%,0.1184
2018/6/15,5013.66,1.1,9.14,4557.87,6.43%,548.54,12.81%,0.1204
2018/6/22,4860.98,1.05,8.75,4629.5,6.86%,555.54,12.66%,0.12
2018/6/29,4695.08,1.02,8.46,4603.02,6.51%,554.97,13.03%,0.1206
2018/7/6,4498.81,0.98,8.12,4590.62,6.50%,554.04,12.92%,0.1207
2018/7/13,4653.24,1.0,8.32,4653.24,8.62%,559.28,14.47%,0.1202
2018/7/20,4690.83,1.0,8.29,4690.83,9.65%,565.84,16.58%,0.1206
2018/7/27,4821.74,1.03,8.57,4681.3,10.06%,562.63,15.92%,0.1202
2018/8/3,4620.2,0.99,8.23,4666.87,9.18%,561.39,14.89%,0.1203
2018/8/10,4775.01,1.02,8.44,4681.38,9.55%,565.76,17.08%,0.1209
2018/8/17,4531.12,0.97,8.05,4671.26,9.03%,562.87,14.44%,0.1205
2018/8/24,4683.91,1.0,8.22,4683.91,10.65%,569.82,17.09%,0.1217
2018/8/31,4687.32,1.03,8.11,4550.8,5.86%,577.97,17.04%,0.127
2018/9/7,4576.34,1.01,7.93,4531.03,4.69%,577.09,16.67%,0.1274
2018/9/14,4560.69,1.01,7.88,4515.53,3.48%,578.77,16.60%,0.1282
2018/9/21,4853.5,1.06,8.32,4578.77,6.25%,583.35,18.18%,0.1274
2018/9/28,4899.61,1.07,8.37,4579.07,5.90%,585.38,19.02%,0.1278
2018/10/5,4810.32,1.04,8.14,4625.31,6.38%,590.95,18.93%,0.1278
