date,cp,pb,pe,B,B Grow,E,E Grow,ROE,ps,div,S,total div
2014/12/29,4705.86,8.7943,50.6911,535.1,,92.83,,0.1735,11.3596,0.0015,414.26,7.06
2015/1/2,4627.73,8.6215,49.6865,536.77,,93.14,,0.1735,11.1359,0.0015,415.57,6.94
2015/1/9,4808.9,9.0104,51.9643,533.71,,92.54,,0.1734,11.6067,0.0015,414.32,7.21
2015/1/16,4621.25,8.4568,48.7344,546.45,,94.83,,0.1735,10.8913,0.0016,424.31,7.39
2015/1/23,4907.14,9.0694,52.2652,541.07,,93.89,,0.1735,11.6802,0.0015,420.12,7.36
2015/1/30,4693.45,8.49,48.9495,552.82,,95.88,,0.1734,10.9355,0.0016,429.19,7.51
2015/2/6,4715.32,8.4776,48.8934,556.21,,96.44,,0.1734,10.9205,0.0016,431.79,7.54
2015/2/13,4693.72,8.3157,47.9571,564.44,,97.87,,0.1734,10.7118,0.0014,438.18,6.57
2015/2/20,4720.5,8.3341,48.0616,566.41,,98.22,,0.1734,10.7354,0.0014,439.71,6.61
2015/2/27,4653.89,8.3509,48.1192,557.29,,96.72,,0.1735,10.7487,0.0014,432.97,6.52
2015/3/6,4703.11,8.3938,50.0875,560.31,,93.9,,0.1676,10.7241,0.0013,438.56,6.11
2015/3/13,4574.1,8.1454,48.5985,561.56,,94.12,,0.1676,10.4067,0.0013,439.53,5.95
2015/3/20,4800.04,8.43,49.8586,569.4,,96.27,,0.1691,10.7516,0.0015,446.45,7.2
2015/3/27,4831.31,8.399,53.9151,575.22,,89.61,,0.1558,10.6908,0.0015,451.91,7.25
2015/4/3,4899.41,8.2618,52.5508,593.02,,93.23,,0.1572,10.3409,0.0014,473.79,6.86
2015/4/10,5277.9,8.8438,56.2467,596.79,,93.83,,0.1572,11.069,0.0013,476.82,6.86
2015/4/17,5180.87,8.6944,55.4701,595.89,,93.4,,0.1567,10.8227,0.0014,478.7,7.25
2015/4/24,5374.44,8.3681,66.6676,642.25,,80.62,,0.1255,9.207,0.0013,583.73,6.99
2015/5/1,5274.6,8.0101,78.5838,658.49,,67.12,,0.1019,8.6869,0.0013,607.19,6.86
2015/5/8,5234.08,7.9923,78.4116,654.89,,66.75,,0.1019,8.6676,0.0013,603.87,6.8
2015/5/15,5389.33,8.128,80.3202,663.06,,67.1,,0.1012,8.8767,0.0013,607.13,7.01
2015/5/22,5559.92,8.2896,83.7264,670.71,,66.41,,0.099,9.0764,0.0011,612.57,6.12
2015/5/29,5362.23,8.1644,82.3759,656.78,,65.09,,0.0991,8.9334,0.0011,600.25,5.9
2015/6/5,5538.76,8.1628,82.346,678.54,,67.26,,0.0991,8.9316,0.0011,620.13,6.09
2015/6/12,5646.59,8.2236,83.0967,686.63,,67.95,,0.099,8.9961,0.0011,627.67,6.21
2015/6/19,5495.05,8.115,99.2302,677.15,,55.38,,0.0818,8.9542,0.0014,613.68,7.69
2015/6/26,5395.18,8.3957,96.7468,642.61,,55.77,,0.0868,8.4833,0.0014,635.98,7.55
2015/7/3,5239.3,8.0314,92.5661,652.35,,56.6,,0.0868,8.1152,0.0015,645.62,7.86
2015/7/10,5079.01,7.7213,88.9599,657.79,,57.09,,0.0868,7.8020000000000005,0.0015,650.99,7.62
2015/7/17,5247.7,7.9164,91.2174,662.89,,57.53,,0.0868,7.9991,0.0015,656.04,7.87
2015/7/24,5254.97,8.0733,93.0221,650.91,,56.49,,0.0868,8.1576,0.0015,644.18,7.88
2015/7/31,4889.59,7.5804,87.3057,645.03,,56.01,,0.0868,7.6584,0.0015,638.46,7.33
2015/8/7,4929.16,7.5392,86.8389,653.8,,56.76,,0.0868,7.6167,0.0016,647.15,7.89
2015/8/14,4827.11,6.6223,80.0641,728.92,,60.29,,0.0827,7.2243,0.0016,668.18,7.72
2015/8/21,4372.77,6.1026,73.5493,716.54,,59.45,,0.083,6.6713,0.0018,655.46,7.87
2015/8/28,4476.86,6.1272,74.1828,730.65,,60.35,,0.0826,6.6958,0.0018,668.61,8.06
2015/9/4,4149.22,5.8273,70.0622,712.03,,59.22,,0.0832,6.3701,0.0019,651.36,7.88
2015/9/11,4239.25,5.731,68.9146,739.71,,61.51,,0.0832,6.2648,0.0019,676.68,8.05
2015/9/18,4341.01,6.0103,72.2698,722.26,,60.07,,0.0832,6.5701,0.0018,660.72,7.81
2015/9/25,4135.85,5.6389,67.8295,733.45,,60.97,,0.0831,6.164,0.0019,670.97,7.86
2015/10/2,4409.18,5.7243,68.821,770.26,,64.07,,0.0832,6.2575,0.002,704.62,8.82
2015/10/9,4409.18,6.2045,74.6306,710.64,,59.08,,0.0831,6.7823,0.0018,650.1,7.94
2015/10/16,4696.5,6.442,77.4201,729.04,,60.66,,0.0832,7.0422,0.0017,666.91,7.98
2015/10/23,4832.63,6.4985,78.171,743.65,,61.82,,0.0831,7.1037,0.0017,680.3,8.22
2015/10/30,5243.88,6.8269,83.1687,768.12,,63.05,,0.0821,7.5753,0.0016,692.23,8.39
2015/11/6,5544.05,7.2087,87.6808,769.08,,63.23,,0.0822,7.9998,0.0015,693.02,8.32
2015/11/13,5256.01,6.8924,82.9727,762.58,,63.35,,0.0831,7.6963,0.0016,682.93,8.41
2015/11/20,5634.93,6.9523,83.9251,810.51,,67.14,,0.0828,7.7479,0.0015,727.28,8.45
2015/11/27,5634.93,7.0687,85.3083,797.17,,66.05,,0.0829,7.8728,0.0015,715.75,8.45
2015/12/4,5726.8,7.1186,85.8459,804.48,,66.71,,0.0829,7.9261,0.0015,722.52,8.59
2015/12/11,5466.76,7.1027,85.5803,769.67,43.84%,63.88,-31.19%,0.083,7.9086,0.0015,691.24,8.2
2015/12/18,5642.59,7.1477,87.1296,789.43,47.07%,64.76,-30.47%,0.082,7.9384,0.0015,710.8,8.46
2015/12/25,5677.82,7.1757,87.4535,791.26,48.26%,64.92,-29.84%,0.0821,7.9696,0.0015,712.43,8.52
2016/1/1,5581.23,7.06,86.039,790.54,44.67%,64.87,-31.59%,0.0821,7.8412,0.0015,711.78,8.37
2016/1/8,5154.72,6.4486,78.6097,799.35,47.74%,65.57,-30.16%,0.082,7.1593,0.0017,720.0,8.76
2016/1/15,4939.55,6.3311,77.3436,780.2,41.13%,63.87,-33.39%,0.0819,7.0281,0.0017,702.83,8.4
2016/1/22,5026.36,6.2469,76.2747,804.62,44.66%,65.9,-31.67%,0.0819,6.9348,0.0018,724.8,9.05
2016/1/29,4956.5,6.1124,74.6606,810.89,43.66%,66.39,-32.17%,0.0819,6.7865,0.0018,730.35,8.92
2016/2/5,4631.37,5.794,73.3976,799.34,41.12%,63.1,-35.76%,0.0789,6.6684,0.0018,694.52,8.34
2016/2/12,4496.72,5.357,67.8369,839.41,50.62%,66.29,-31.46%,0.079,6.1655,0.002,729.34,8.99
2016/2/19,4855.01,5.8353,73.8184,832.01,48.49%,65.77,-29.96%,0.079,6.7161,0.0018,722.89,8.74
2016/2/26,4889.47,5.8263,73.6868,839.21,49.44%,66.35,-29.50%,0.0791,6.7058,0.0019,729.14,9.29
2016/3/4,5039.25,6.0919,73.8647,827.2,45.28%,68.22,-29.14%,0.0825,7.0011,0.0018,719.78,9.07
2016/3/11,5134.67,6.1565,74.5271,834.02,44.99%,68.9,-23.11%,0.0826,7.0662,0.0018,726.65,9.24
2016/3/18,5290.51,6.3323,76.3902,835.48,40.89%,69.26,-25.72%,0.0829,7.271,0.002,727.62,10.58
2016/3/25,5293.79,6.3789,76.5921,829.89,39.06%,69.12,-26.34%,0.0833,7.303,0.002,724.88,10.59
2016/4/1,5347.6,6.481,78.0949,825.12,38.47%,68.48,-26.69%,0.083,7.4303,0.0019,719.7,10.16
2016/4/8,5317.55,6.5598,75.8839,810.63,26.22%,70.07,-13.08%,0.0864,7.3987,0.0019,718.71,10.1
2016/4/15,5550.18,6.4222,114.0698,864.22,31.24%,48.66,-27.51%,0.0563,7.2597,0.0019,764.52,10.55
2016/4/22,5493.44,6.4635,100.29,849.92,29.78%,54.78,-17.94%,0.0644,6.5084,0.0019,844.05,10.44
2016/4/29,5339.29,5.7786,92.6188,923.98,39.35%,57.65,-14.08%,0.0624,5.9176,0.0019,902.27,10.14
2016/5/6,5203.8,5.6717,77.9645,917.5,36.80%,66.75,0.51%,0.0727,5.7429,0.0019,906.13,9.89
2016/5/13,5030.09,5.5611,76.4766,904.51,37.72%,65.77,1.04%,0.0727,5.4964,0.002,915.16,10.06
2016/5/20,5159.92,5.5309,79.4114,932.93,37.49%,64.98,-3.40%,0.0696,5.4591,0.002,945.2,10.32
2016/5/27,5473.31,5.7675,42.3073,948.99,38.21%,129.37,90.38%,0.1363,5.5115,0.0019,993.07,10.4
2016/6/3,5298.07,5.7410000000000005,41.633,922.85,36.28%,127.26,129.80%,0.1379,5.4834,0.0019,966.2,10.07
2016/6/10,5159.02,5.7327,41.5586,899.93,40.04%,124.14,122.61%,0.1379,5.4773,0.0019,941.89,9.8
2016/6/17,5096.48,5.6093,40.7354,908.58,39.28%,125.11,121.04%,0.1377,5.3626,0.002,950.37,10.19
2016/6/24,5172.05,5.7207,41.5526,904.09,37.44%,124.47,118.01%,0.1377,5.4666,0.0019,946.12,9.83
2016/7/1,5363.74,5.7737,41.9663,929.0,40.14%,127.81,122.17%,0.1376,5.5158,0.0019,972.43,10.19
2016/7/8,5345.67,5.7596,41.8574,928.13,42.59%,127.71,126.07%,0.1376,5.5026,0.0019,971.48,10.16
2016/7/15,5530.5,5.9752,43.4272,925.58,43.49%,127.35,127.39%,0.1376,5.7085,0.0018,968.82,9.95
2016/7/22,5593.71,6.0127,44.1323,930.32,42.29%,126.75,123.30%,0.1362,5.7742,0.0018,968.74,10.07
2016/7/29,5552.06,6.0322,44.3999,920.4,26.27%,125.05,107.41%,0.1359,5.7987,0.0018,957.47,9.99
2016/8/5,5651.7,6.0271,44.3363,937.71,30.87%,127.47,114.41%,0.1359,5.795,0.0018,975.27,10.17
2016/8/12,6003.53,6.2131,63.2126,966.27,32.25%,94.97,57.37%,0.0983,5.8751,0.0017,1021.86,10.21
2016/8/19,6181.01,6.4786,64.5046,954.07,33.99%,95.82,61.80%,0.1004,6.1341,0.0017,1007.65,10.51
2016/8/26,6164.28,6.3939,64.5207,964.09,30.33%,95.54,55.31%,0.0991,6.051,0.0017,1018.72,10.48
2016/9/2,6291.45,6.5562,66.1075,959.62,32.86%,95.17,58.44%,0.0992,6.195,0.0017,1015.57,10.7
2016/9/9,6354.7,6.9454,69.428,914.95,24.75%,91.53,50.11%,0.1,6.5699,0.0016,967.24,10.17
2016/9/16,6495.35,6.9501,69.4826,934.57,21.33%,93.48,45.91%,0.1,6.5743,0.0016,987.99,10.39
2016/9/23,6726.41,7.2475,72.4403,928.1,30.60%,92.85,57.17%,0.1,6.9361,0.0016,969.77,10.76
2016/9/30,6556.82,7.0333,70.2985,932.25,27.87%,93.27,53.75%,0.1,6.7311,0.0016,974.11,10.49
2016/10/7,6634.24,7.1683,71.667,925.5,24.45%,92.57,49.74%,0.1,6.8599,0.0016,967.1,10.61
2016/10/14,6540.42,6.9062,69.0644,947.04,23.29%,94.7,50.20%,0.1,6.6102,0.0015,989.44,9.81
2016/10/21,6662.67,7.0147,70.1437,949.82,23.50%,94.99,50.22%,0.1,6.7142,0.0015,992.33,9.99
2016/10/28,6568.29,6.8918,68.92,953.06,24.98%,95.3,50.45%,0.1,6.5964,0.0016,995.74,10.51
2016/11/4,6203.19,6.4057,85.6305,968.39,19.48%,72.44,7.89%,0.0748,6.1966,0.0016,1001.06,9.93
2016/11/11,6088.11,6.2888,83.9848,968.09,21.44%,72.49,9.74%,0.0749,6.0841,0.0017,1000.66,10.35
2016/11/18,6183.21,6.1371,79.9126,1007.51,25.24%,77.37,15.99%,0.0768,5.8737,0.0017,1052.69,10.51
2016/11/25,6209.62,6.0727,78.9402,1022.55,32.85%,78.66,23.14%,0.0769,5.8094,0.0017,1068.89,10.56
2016/12/2,6040.98,5.9599,77.4543,1013.6,28.40%,77.99,20.43%,0.0769,5.6979,0.0018,1060.21,10.87
2016/12/9,6178.61,6.0118,78.0143,1027.75,29.89%,79.2,21.99%,0.0771,5.7486,0.0017,1074.8,10.5
2016/12/16,5957.11,5.8766,74.9758,1013.7,28.23%,79.45,22.48%,0.0784,5.5661,0.0017,1070.25,10.13
2016/12/23,5881.36,5.7639,73.5785,1020.38,27.65%,79.93,21.90%,0.0783,5.4591,0.0017,1077.35,10.0
2016/12/30,5945.34,5.9087,75.4471,1006.2,28.97%,78.8,23.39%,0.0783,5.596,0.0016,1062.43,9.51
2017/1/6,6251.54,6.2226,79.2593,1004.65,24.86%,78.87,19.69%,0.0785,5.8951,0.0016,1060.46,10.0
2017/1/13,6352.63,6.3232,80.3749,1004.65,23.89%,79.04,19.06%,0.0787,5.9895,0.0015,1060.63,9.53
2017/1/20,6306.57,6.3279,80.4742,996.63,24.68%,78.37,24.20%,0.0786,5.9937,0.0015,1052.2,9.46
2017/1/27,6491.51,6.4485,76.6106,1006.67,19.93%,84.73,27.83%,0.0842,6.0916,0.0015,1065.65,9.74
2017/2/3,6474.19,6.4138,76.2381,1009.42,21.32%,84.92,29.12%,0.0841,6.0584,0.0015,1068.63,9.71
2017/2/10,6661.74,6.5126,77.3194,1022.9,21.89%,86.16,29.85%,0.0842,6.1527,0.0015,1082.73,9.99
2017/2/17,6787.96,6.6528,79.006,1020.32,23.35%,85.92,25.94%,0.0842,6.2849,0.0015,1080.04,10.18
2017/2/24,6782.41,6.6748,79.3102,1016.12,21.83%,85.52,24.12%,0.0842,6.3053,0.0015,1075.67,10.17
2017/3/3,6785.72,6.6629,44.5355,1018.43,21.90%,152.37,120.00%,0.1496,6.4667,0.0015,1049.33,10.18
2017/3/10,6850.08,6.7245,44.9538,1018.67,22.75%,152.38,120.47%,0.1496,6.526,0.0015,1049.66,10.28
2017/3/17,7038.73,6.9407,46.3918,1014.12,22.91%,151.72,121.57%,0.1496,6.7363,0.0014,1044.9,9.85
2017/3/24,6998.07,6.9534,45.8721,1006.42,24.15%,152.56,117.70%,0.1516,6.7136,0.0016,1042.37,11.2
2017/3/31,6994.0,6.9559,45.8979,1005.48,16.35%,152.38,213.18%,0.1516,6.7089,0.0016,1042.5,11.19
2017/4/7,7061.48,6.9172,58.285,1020.86,20.11%,121.15,121.18%,0.1187,6.7360000000000015,0.0016,1048.32,11.3
2017/4/14,7048.82,6.7988,62.0806,1036.77,12.21%,113.54,96.96%,0.1095,6.7773,0.0016,1040.06,11.28
2017/4/21,7243.58,6.9415,63.5542,1043.52,13.73%,113.97,70.76%,0.1092,6.7959,0.0016,1065.88,11.59
2017/4/28,7426.83,7.0346,60.2261,1055.76,16.72%,123.32,87.49%,0.1168,6.8141,0.0015,1089.92,11.14
2017/5/5,7471.74,6.9599,57.4196,1073.54,15.07%,130.13,100.26%,0.1212,6.6463,0.0015,1124.2,11.21
2017/5/12,7893.86,7.3137,59.7657,1079.33,13.73%,132.08,2.09%,0.1224,6.8446,0.0014,1153.3,11.05
2017/5/19,8094.99,7.3279999999999985,58.9076,1104.67,19.70%,137.42,7.99%,0.1244,6.8816,0.0014,1176.32,11.33
2017/5/26,8130.81,7.5194,60.3384,1081.31,20.16%,134.75,8.55%,0.1246,7.0507,0.0014,1153.19,11.38
2017/6/2,7976.88,7.4104,59.4656,1076.44,18.48%,134.14,7.22%,0.1246,6.9506,0.0014,1147.65,11.17
2017/6/9,8128.98,7.9119,63.5136,1027.44,13.64%,127.99,2.83%,0.1246,7.4202,0.0013,1095.52,10.57
2017/6/16,7900.76,7.4086,57.5609,1066.43,14.79%,137.26,7.39%,0.1287,7.0455,0.0014,1121.39,11.06
2017/6/23,8351.45,7.7291,60.0543,1080.52,16.42%,139.06,8.89%,0.1287,7.35,0.0013,1136.25,10.86
2017/6/30,8056.91,7.6224,59.1582,1057.0,14.20%,136.19,6.94%,0.1288,7.2426,0.0013,1112.43,10.47
2017/7/7,8053.49,7.5433,58.5428,1067.63,14.76%,137.57,8.53%,0.1289,7.1675,0.0014,1123.61,11.27
2017/7/14,8515.17,7.9497,61.6998,1071.13,16.38%,138.01,10.37%,0.1288,7.5534,0.0013,1127.33,11.07
2017/7/21,8663.77,8.1783,63.4585,1059.36,12.97%,136.53,7.10%,0.1289,7.7716,0.0013,1114.8,11.26
2017/7/28,9072.85,8.3668,64.9379,1084.39,12.22%,139.72,47.11%,0.1288,7.9497,0.0012,1141.28,10.89
2017/8/4,9099.15,8.4879,65.8498,1072.01,12.36%,138.18,44.20%,0.1289,8.0626,0.0012,1128.56,10.92
2017/8/11,8897.3,8.4361,65.4445,1054.67,9.40%,135.95,42.30%,0.1289,8.0136,0.0012,1110.28,10.68
2017/8/18,9007.46,8.0949,59.8136,1112.73,15.96%,150.59,58.23%,0.1353,7.7076,0.0013,1168.65,11.71
2017/8/25,9110.09,8.3838,61.4316,1086.63,18.76%,148.3,62.02%,0.1365,7.9768,0.0013,1142.07,11.84
2017/9/1,9080.58,8.3036,60.8598,1093.57,17.01%,149.2,59.61%,0.1364,7.8859,0.0013,1151.5,11.8
2017/9/8,8912.6,8.2819,60.6507,1076.15,15.95%,146.95,58.26%,0.1366,7.8678,0.0013,1132.79,11.59
2017/9/15,9369.22,8.6134,63.0825,1087.75,16.68%,148.52,59.24%,0.1365,8.1827,0.0013,1145.0,12.18
2017/9/22,9465.98,8.6602,63.4061,1093.04,18.10%,149.29,61.27%,0.1366,8.2281,0.0013,1150.45,12.31
2017/9/29,9338.07,8.3738,61.2435,1115.15,17.75%,152.47,61.01%,0.1367,7.9451,0.0013,1175.32,12.14
2017/10/6,9611.48,8.7351,63.918,1100.33,15.85%,150.37,58.31%,0.1367,8.2891,0.0013,1159.53,12.49
2017/10/13,9616.44,8.7649,64.1479,1097.15,15.12%,149.91,57.30%,0.1366,8.3168,0.0012,1156.27,11.54
2017/10/20,9598.08,8.7308,63.875,1099.34,13.52%,150.26,107.43%,0.1367,8.2857,0.0013,1158.39,12.48
2017/10/27,9275.48,8.4659,61.9316,1095.63,13.17%,149.77,106.61%,0.1367,8.0346,0.0013,1154.44,12.06
2017/11/3,9536.53,8.6633,60.0586,1100.8,9.26%,158.79,105.22%,0.1442,8.2428,0.0012,1156.95,11.44
2017/11/10,9724.79,8.9046,61.7616,1092.11,6.80%,157.46,100.17%,0.1442,8.4704,0.0012,1148.09,11.67
2017/11/17,9998.41,8.8723,58.7869,1126.92,11.18%,170.08,118.07%,0.1509,8.2187,0.0012,1216.54,12.0
2017/11/24,10116.99,9.0967,60.2696,1112.16,8.21%,167.86,111.95%,0.1509,8.4298,0.0011,1200.15,11.13
2017/12/1,9429.07,8.4842,56.1516,1111.37,9.63%,167.92,111.35%,0.1511,7.8576,0.0012,1199.99,11.31
2017/12/8,9496.56,8.4722,56.0927,1120.91,9.85%,169.3,111.80%,0.151,7.8509,0.0012,1209.61,11.4
