date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2007/1/15,1986.54,2.2737,55.4146,873.7,,35.85,,0.041
2007/1/19,2159.64,2.4539,59.9278,880.08,,36.04,,0.041
2007/1/26,2186.27,2.4817,59.7785,880.96,,36.57,,0.042
2007/2/2,2127.1,2.4349,57.6565,873.59,,36.89,,0.042
2007/2/9,2287.38,2.6171,61.0845,874.01,,37.45,,0.043
2007/2/16,2541.41,2.9011,66.7384,876.02,,38.08,,0.043
2007/3/2,2503.68,2.9098,64.5675,860.43,,38.78,,0.045
2007/3/9,2638.05,3.0494,67.7484,865.1,,38.94,,0.045
2007/3/16,2710.86,3.1382,66.9603,863.83,,40.48,,0.047
2007/3/23,2898.0,3.3724,70.018,859.33,,41.39,,0.048
2007/3/30,2926.06,3.3793,67.637,865.88,,43.26,,0.05
2007/4/6,3182.8,3.6735,75.3674,866.42,,42.23,,0.049
2007/4/13,3358.63,3.8691,76.4088,868.06,,43.96,,0.051
2007/4/20,3614.39,4.1561,77.3885,869.66,,46.7,,0.054
2007/4/27,3845.81,4.3529,78.9389,883.51,,48.72,,0.055
2007/4/30,3903.69,4.3947,83.6961,888.27,,46.64,,0.053
2007/5/11,4109.4,4.6208,85.709,889.33,,47.95,,0.054
2007/5/18,4235.19,4.7662,87.73299999999998,888.59,,48.27,,0.054
2007/5/25,4649.86,5.2042,94.8129,893.48,,49.04,,0.055
2007/6/1,3960.44,4.3038,82.205,920.22,,48.18,,0.052
2007/6/8,4002.87,4.2999,85.5598,930.92,,46.78,,0.05
2007/6/15,4316.53,4.5794,92.4518,942.6,,46.69,,0.05
2007/6/22,4123.21,4.3485,88.2267,948.19,,46.73,,0.049
2007/6/29,3585.49,3.705,77.6954,967.74,,46.15,,0.048
2007/7/6,3591.38,3.6830000000000003,73.2416,975.12,,49.03,,0.05
2007/7/13,3655.84,3.748,73.6736,975.41,,49.62,,0.051
2007/7/20,3788.74,3.8617,75.9618,981.11,,49.88,,0.051
2007/7/27,4269.77,4.3582,82.6523,979.71,,51.66,,0.053
2007/8/3,4408.05,4.426,84.6044,995.94,,52.1,,0.052
2007/8/10,4348.81,4.3393,82.2853,1002.19,,52.85,,0.053
2007/8/17,4390.88,4.4015,80.262,997.59,,54.71,,0.055
2007/8/24,4742.95,4.6955,86.1781,1010.11,,55.04,,0.054
2007/8/31,4897.64,4.8393,91.1835,1012.06,,53.71,,0.053
2007/9/7,4939.23,4.8718,92.4809,1013.84,,53.41,,0.053
2007/9/14,4936.69,4.8580000000000005,91.1797,1016.2,,54.14,,0.053
2007/9/21,5028.84,4.9321,93.0523,1019.61,,54.04,,0.053
2007/9/28,5083.65,4.96,95.0009,1024.93,,53.51,,0.052
2007/10/12,4891.39,4.7055,91.3153,1039.5,,53.57,,0.052
2007/10/19,4813.95,4.6021,88.4702,1046.03,,54.41,,0.052
2007/10/26,4228.95,3.9178,75.6798,1079.42,,55.88,,0.052
2007/11/2,4329.63,3.9648,76.3841,1092.02,,56.68,,0.052
2007/11/9,4153.19,3.8849,72.1369,1069.06,,57.57,,0.054
2007/11/16,4217.23,3.9524,72.7992,1067.0,,57.93,,0.054
2007/11/23,4193.98,3.9347,72.5591,1065.9,,57.8,,0.054
2007/11/30,4122.93,3.9082,71.523,1054.94,,57.64,,0.055
2007/12/7,4362.22,4.12,76.2519,1058.79,,57.21,,0.054
2007/12/14,4499.53,4.2554,78.8387,1057.37,,57.07,,0.054
2007/12/21,4691.53,4.4378,83.6937,1057.17,,56.06,,0.053
2007/12/28,4947.6,4.6546,87.2709,1062.95,,56.69,,0.053
2008/1/4,5243.03,4.8952,77.3821,1071.06,,67.76,,0.063
2008/1/11,5376.8,4.9633,79.0604,1083.31,23.99%,68.01,89.71%,0.063
2008/1/18,5317.45,4.9388,78.1504,1076.67,22.34%,68.04,88.81%,0.063
2008/1/25,5096.69,4.676,74.5285,1089.97,23.73%,68.39,86.99%,0.063
2008/2/1,4456.93,4.0752,65.7208,1093.67,25.19%,67.82,83.82%,0.062
2008/2/5,4839.0,4.4184,70.8045,1095.19,25.31%,68.34,82.51%,0.062
2008/2/15,4886.02,4.4791,71.2696,1090.85,24.52%,68.56,80.03%,0.063
2008/2/22,5029.2,4.6019,72.4413,1092.85,27.01%,69.42,79.04%,0.064
2008/2/29,5057.62,4.6524,72.2234,1087.1,25.66%,70.03,79.84%,0.064
2008/3/7,5115.92,4.7081,72.2456,1086.62,25.79%,70.81,74.91%,0.065
2008/3/14,4662.32,4.2827,64.5941,1088.64,26.68%,72.18,74.39%,0.066
2008/3/21,4405.86,4.0104,60.6289,1098.61,26.88%,72.67,67.98%,0.066
2008/3/28,4241.45,3.8303,56.5877,1107.34,27.81%,74.95,77.49%,0.068
2008/4/3,3588.76,3.2053,47.678000000000004,1119.63,28.98%,75.27,71.24%,0.067
2008/4/11,3862.36,3.4132,51.3508,1131.59,30.12%,75.22,61.04%,0.066
2008/4/18,3338.27,2.8789999999999996,42.9047,1159.52,31.24%,77.81,59.71%,0.067
2008/4/25,3756.33,3.2486,48.0341,1156.29,30.17%,78.2,67.67%,0.068
2008/4/30,3903.18,3.3893,52.7762,1151.62,29.49%,73.96,54.25%,0.064
2008/5/9,3986.24,3.4408,54.5769,1158.52,30.38%,73.04,51.30%,0.063
2008/5/16,4071.91,3.534,55.7249,1152.21,28.96%,73.07,49.00%,0.063
2008/5/23,3829.65,3.3368,51.7652,1147.7,24.72%,73.98,53.56%,0.064
2008/5/30,3755.63,3.2663,50.3656,1149.81,23.51%,74.57,59.38%,0.065
2008/6/6,3629.92,3.1728,48.883,1144.07,21.37%,74.26,59.04%,0.065
2008/6/13,3045.1,2.6232,40.223,1160.83,22.43%,75.71,61.99%,0.065
2008/6/20,2764.28,2.3563,36.2839,1173.14,21.22%,76.18,65.09%,0.065
2008/6/27,2792.71,2.3695,36.5554,1178.61,20.87%,76.4,55.80%,0.065
2008/7/4,2941.08,2.5056,32.3701,1173.8,20.34%,90.86,83.10%,0.077
2008/7/11,3132.73,2.6892,35.0977,1164.93,18.74%,89.26,78.96%,0.077
2008/7/18,3015.8,2.5849,33.8081,1166.7,19.09%,89.2,72.68%,0.076
2008/7/25,3172.17,2.7416,35.7417,1157.05,16.18%,88.75,70.34%,0.077
2008/8/1,3063.81,2.6627,34.9493,1150.64,14.81%,87.66,65.87%,0.076
2008/8/8,2711.96,2.3468,31.3041,1155.6,15.84%,86.63,58.36%,0.075
2008/8/15,2473.72,2.1159,28.8944,1169.11,15.74%,85.61,55.56%,0.073
2008/8/22,2382.52,2.0399,27.921999999999997,1167.96,15.40%,85.33,58.86%,0.073
2008/8/29,2307.16,1.9893,27.4697,1159.78,14.40%,83.99,57.26%,0.072
2008/9/5,2148.74,1.8757,25.6642,1145.57,12.73%,83.73,54.64%,0.073
2008/9/12,2038.66,1.7828,24.2109,1143.52,12.15%,84.2,55.81%,0.074
2008/9/19,2086.83,1.7995,24.680999999999997,1159.67,13.15%,84.55,58.01%,0.073
2008/9/26,2136.0,1.8315,25.358,1166.26,12.19%,84.23,57.25%,0.072
2008/10/10,1837.4,1.5674,21.5875,1172.26,12.07%,85.11,56.42%,0.073
2008/10/17,1726.4,1.4715,20.3067,1173.22,8.69%,85.02,52.14%,0.072
2008/10/24,1741.18,1.4865,21.149,1171.33,7.26%,82.33,45.25%,0.07
2008/10/31,1562.02,1.3248,20.1268,1179.06,10.29%,77.61,34.80%,0.066
2008/11/7,1561.22,1.3367,20.1189,1167.97,9.46%,77.6,33.96%,0.066
2008/11/14,1867.48,1.6123,24.4533,1158.27,8.67%,76.37,32.12%,0.066
2008/11/21,1921.04,1.659,24.726999999999997,1157.95,9.76%,77.69,34.77%,0.067
2008/11/28,1841.45,1.5801,23.5608,1165.4,10.07%,78.16,36.62%,0.067
2008/12/5,2098.66,1.8043,27.2103,1163.14,10.00%,77.13,35.14%,0.066
2008/12/12,2031.99,1.7382,26.1613,1169.02,10.58%,77.67,38.56%,0.066
2008/12/19,2194.99,1.8758,28.5276,1170.16,10.09%,76.94,35.72%,0.066
2008/12/26,1983.76,1.6799,25.3321,1180.88,10.25%,78.31,15.58%,0.066
2008/12/31,1939.43,1.6261,24.5837,1192.69,10.10%,78.89,16.00%,0.066
2009/1/9,2107.77,1.8019,26.088,1169.75,8.65%,80.79,18.74%,0.069
2009/1/16,2195.63,1.8835,27.4165,1165.72,6.95%,80.08,17.11%,0.069
2009/1/23,2238.08,1.915,27.9727,1168.71,6.86%,80.01,17.98%,0.068
