date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2014/4/15,1626.412,4.8749,50.0443,333.63,,32.5,,0.097
2014/4/18,1642.5739999999994,4.8716,49.7584,337.17,,33.01,,0.098
2014/4/25,1536.501,4.4616,44.9447,344.38,,34.19,,0.099
2014/4/30,1535.31,4.3968,44.24800000000001,349.19,,34.7,,0.099
2014/5/9,1502.706,4.3029,43.253,349.23,,34.74,,0.099
2014/5/16,1488.919,4.26,43.0692,349.51,,34.57,,0.099
2014/5/23,1554.3010000000006,4.4696,45.0764,347.75,,34.48,,0.099
2014/5/30,1567.194,4.5318,44.437,345.82,,35.27,,0.102
2014/6/6,1615.546,4.675,45.8288,345.57,,35.25,,0.102
2014/6/13,1642.369,4.748,46.8436,345.91,,35.06,,0.101
2014/6/20,1574.95,4.5867,46.17,343.37,,34.11,,0.099
2014/6/27,1640.486,4.7936,47.8056,342.22,,34.32,,0.1
2014/7/4,1661.057,4.8603,48.5324,341.76,,34.23,,0.1
2014/7/11,1609.7579999999994,4.7137,46.9045,341.51,,34.32,,0.1
2014/7/18,1529.021,4.4911,44.6091,340.46,,34.28,,0.101
2014/7/25,1518.0279999999998,4.457,44.23,340.59,,34.32,,0.101
2014/8/1,1556.418,4.5678,44.7567,340.74,,34.78,,0.102
2014/8/8,1609.9620000000002,4.7229,46.3786,340.88,,34.71,,0.102
2014/8/15,1621.47,4.7394,46.3254,342.13,,35.0,,0.102
2014/8/22,1749.124,5.08,50.8994,344.32,,34.36,,0.1
2014/8/29,1699.13,4.9028,48.494,346.56,,35.04,,0.101
2014/9/5,1779.001,5.1289,50.6851,346.86,,35.1,,0.101
2014/9/12,1801.65,5.192,51.3089,347.01,,35.11,,0.101
2014/9/19,1754.03,5.065,50.0542,346.3,,35.04,,0.101
2014/9/26,1777.866,5.0829,50.5602,349.77,,35.16,,0.101
2014/9/30,1803.977,5.1652,51.3785,349.26,,35.11,,0.101
2014/10/10,1812.527,5.1665,51.2915,350.82,,35.34,,0.101
2014/10/17,1777.922,5.0744,50.3634,350.37,,35.3,,0.101
2014/10/24,1736.116,4.9144,48.6482,353.27,,35.69,,0.101
2014/10/31,1767.874,4.8602,48.7017,363.75,,36.3,,0.1
2014/11/7,1768.5555,4.787,48.9066,369.45,,36.16,,0.098
2014/11/14,1709.724,4.5996,46.9912,371.71,,36.38,,0.098
2014/11/21,1819.472,4.8845,49.8561,372.5,,36.49,,0.098
2014/11/28,1876.068,4.9239,50.8939,381.01,,36.86,,0.097
2014/12/5,1906.98,4.9894,51.5716,382.21,,36.98,,0.097
2014/12/12,2018.94,5.3012,54.6268,380.85,,36.96,,0.097
2014/12/19,1958.4,5.2126,52.8471,375.71,,37.06,,0.099
2014/12/26,1927.51,5.1389,52.1005,375.08,,37.0,,0.099
2014/12/31,1829.76,4.8589,49.3699,376.58,,37.06,,0.098
2015/1/9,1927.9,5.0954,51.7722,378.36,,37.24,,0.098
2015/1/16,2078.31,5.4359,55.3852,382.33,,37.52,,0.098
2015/1/23,2118.01,5.4997,56.6327,385.11,,37.4,,0.097
2015/1/30,2135.54,5.5495,57.147,384.82,,37.37,,0.097
2015/2/6,2225.23,5.7854,59.5761,384.63,,37.35,,0.097
2015/2/13,2379.43,6.1777,63.9705,385.16,,37.2,,0.097
2015/2/17,2504.43,6.4946,67.1754,385.62,,37.28,,0.097
2015/2/27,2507.35,6.4945,67.175,386.07,,37.33,,0.097
2015/3/6,2473.19,6.4581,66.7699,382.96,,37.04,,0.097
2015/3/13,2602.81,6.8157,70.4265,381.88,,36.96,,0.097
2015/3/20,2828.53,7.3736,76.0046,383.6,,37.22,,0.097
2015/3/27,2896.405,7.3407,74.9308,394.57,18.27%,38.65,18.94%,0.098
2015/4/3,3026.31,7.6665,78.5074,394.74,17.07%,38.55,16.77%,0.098
2015/4/10,3025.21,7.6023,77.756,397.93,15.55%,38.91,13.81%,0.098
2015/4/17,2938.81,7.2973,72.6881,402.73,15.33%,40.43,16.52%,0.1
2015/4/24,3374.28,8.1529,81.6307,413.87,18.51%,41.34,18.98%,0.1
2015/4/30,3568.24,8.317,86.2556,429.03,22.75%,41.37,19.66%,0.096
2015/5/8,3576.7,8.3879,87.029,426.41,22.62%,41.1,19.19%,0.096
2015/5/15,3906.64,8.9485,96.2617,436.57,26.24%,40.58,15.07%,0.093
2015/5/22,4274.51,9.4196,106.5883,453.79,31.32%,40.1,13.76%,0.088
2015/5/29,4172.29,9.1617,103.6463,455.41,31.66%,40.26,14.82%,0.088
2015/6/5,4580.33,10.4545,116.8507,438.12,27.59%,39.2,14.91%,0.089
2015/6/12,4713.62,10.8167,120.6899,435.77,27.34%,39.06,13.81%,0.09
2015/6/19,4018.38,9.3007,107.2976,432.05,26.42%,37.45,9.42%,0.087
2015/6/26,3434.46,7.9281,91.4548,433.2,26.85%,37.55,9.42%,0.087
2015/7/3,3000.28,6.9156,79.7041,433.84,27.43%,37.64,9.82%,0.087
2015/7/10,2896.43,6.6885,77.003,433.05,27.14%,37.61,9.60%,0.087
2015/7/17,3153.6,7.3487,84.5587,429.14,25.94%,37.29,7.25%,0.087
2015/7/24,3306.93,7.7336,88.7879,427.61,25.44%,37.25,7.29%,0.087
2015/7/31,3022.03,7.0161,80.2518,430.73,25.90%,37.66,7.59%,0.087
