date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2012/9/28,877.91,2.15,38.81,408.33,,22.62,,0.0554
2012/10/12,889.33,2.18,39.21,407.95,,22.68,,0.0556
2012/10/19,898.42,2.2,39.2,408.37,,22.92,,0.0561
2012/10/26,865.07,2.11,38.66,409.99,,22.38,,0.0546
2012/11/2,881.77,2.14,45.08,412.04,,19.56,,0.0475
2012/11/9,851.31,2.06,44.05,413.26,,19.33,,0.0468
2012/11/16,831.36,2.0,43.64,415.68,,19.05,,0.0458
2012/11/23,832.16,2.01,43.51,414.01,,19.13,,0.0462
2012/11/30,775.24,1.86,40.89,416.8,,18.96,,0.0455
2012/12/7,807.48,1.93,42.89,418.38,,18.83,,0.045
2012/12/14,840.66,2.01,44.27,418.24,,18.99,,0.0454
2012/12/21,854.79,2.05,44.76,416.97,,19.1,,0.0458
2012/12/28,886.64,2.12,47.09,418.23,,18.83,,0.045
2013/1/4,897.58,2.16,41.92,415.55,,21.41,,0.0515
2013/1/11,916.11,2.21,41.85,414.53,,21.89,,0.0528
2013/1/18,966.88,2.32,44.96,416.76,,21.51,,0.0516
2013/1/25,926.91,2.21,43.21,419.42,,21.45,,0.0511
2013/2/1,959.5,2.29,45.69,419.0,,21.0,,0.0501
2013/2/8,984.95,2.33,47.03,422.73,,20.94,,0.0495
2013/2/22,993.62,2.34,46.99,424.62,,21.15,,0.0498
2013/3/1,1059.71,2.48,49.39,427.3,,21.46,,0.0502
2013/3/8,1031.38,2.43,48.52,424.44,,21.26,,0.0501
2013/3/15,1005.8,2.34,48.0,429.83,,20.95,,0.0488
2013/3/22,1042.68,2.42,50.75,430.86,,20.55,,0.0477
2013/3/29,993.3,2.28,50.5,435.66,,19.67,,0.0451
2013/4/3,970.86,2.23,48.55,435.36,,20.0,,0.0459
2013/4/12,971.65,2.24,47.51,433.77,,20.45,,0.0471
2013/4/19,1005.4,2.29,56.8,439.04,,17.7,,0.0403
2013/4/26,963.83,2.21,66.83,436.12,,14.42,,0.0331
2013/5/3,993.47,2.3,139.75,431.94,,7.11,,0.0165
2013/5/10,1056.98,2.43,174.52,434.97,,6.06,,0.0139
2013/5/17,1104.63,2.53,178.25,436.61,,6.2,,0.0142
2013/5/24,1159.36,2.67,174.18,434.22,,6.66,,0.0153
2013/5/31,1175.05,2.69,177.54,436.82,,6.62,,0.0152
2013/6/7,1099.19,2.54,153.35,432.75,,7.17,,0.0166
2013/6/14,1107.91,2.53,157.02,437.91,,7.06,,0.0161
2013/6/21,1057.51,2.43,137.93,435.19,,7.67,,0.0176
2013/6/28,1004.94,2.26,141.71,444.66,,7.09,,0.0159
2013/7/5,1032.27,2.47,48.43,417.92,,21.31,,0.051
2013/7/12,1038.74,2.48,48.67,418.85,,21.34,,0.051
2013/7/19,1034.26,2.47,47.7,418.73,,21.68,,0.0518
2013/7/26,1073.56,2.55,49.07,421.0,,21.88,,0.052
2013/8/2,1096.77,2.6,48.84,421.83,,22.46,,0.0532
2013/8/9,1109.16,2.63,48.29,421.73,,22.97,,0.0545
2013/8/16,1085.6,2.59,52.35,419.15,,20.74,,0.0495
2013/8/23,1104.1,2.61,50.99,423.03,,21.65,,0.0512
2013/8/30,1084.69,2.58,49.88,420.42,,21.75,,0.0517
2013/9/6,1128.82,2.67,52.48,422.78,,21.51,,0.0509
2013/9/13,1138.87,2.71,53.16,420.25,,21.42,,0.051
2013/9/18,1134.23,2.69,52.5,421.65,,21.6,,0.0512
2013/9/27,1135.23,2.69,51.19,422.02,,22.18,,0.0525
2013/9/30,1149.76,2.71,51.68,424.27,3.90%,22.25,-1.64%,0.0524
2013/10/11,1209.25,2.84,53.88,425.79,4.37%,22.44,-1.06%,0.0527
2013/10/18,1222.12,2.84,54.24,430.32,5.38%,22.53,-1.70%,0.0524
2013/10/25,1209.96,2.79,53.84,433.68,5.78%,22.47,0.40%,0.0518
2013/11/1,1147.17,2.63,52.89,436.19,5.86%,21.69,10.89%,0.0497
