date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2015/1/23,2424.07,3.52,17.26,688.66,,140.44,,0.2039
2015/1/30,2416.16,3.49,17.09,692.31,,141.38,,0.2042
2015/2/6,2301.2,3.38,16.56,680.83,,138.96,,0.2041
2015/2/13,2414.71,3.53,17.3,684.05,,139.58,,0.204
2015/2/17,2398.99,3.52,17.23,681.53,,139.23,,0.2043
2015/2/27,2444.82,3.6,17.65,679.12,,138.52,,0.204
2015/3/6,2401.61,3.5,17.14,686.17,,140.12,,0.2042
2015/3/13,2449.57,3.59,17.58,682.33,,139.34,,0.2042
2015/3/20,2561.73,3.7,18.15,692.36,,141.14,,0.2039
2015/3/27,2665.45,3.8,18.62,701.43,,143.15,,0.2041
2015/4/3,2692.25,3.85,19.46,699.29,,138.35,,0.1978
2015/4/10,2785.95,3.98,20.11,699.99,,138.54,,0.1979
2015/4/17,3006.57,4.37,22.08,688.0,,136.17,,0.1979
2015/4/24,3116.01,4.32,22.29,721.3,,139.79,,0.1938
2015/4/30,3012.11,4.03,21.73,747.42,,138.62,,0.1855
2015/5/8,2938.63,3.98,21.41,738.35,,137.26,,0.1859
2015/5/15,2894.07,3.89,20.87,743.98,,138.67,,0.1864
2015/5/22,3142.78,4.29,23.05,732.58,,136.35,,0.1861
2015/5/29,3136.11,4.22,22.63,743.15,,138.58,,0.1865
2015/6/5,3278.14,4.26,22.86,769.52,,143.4,,0.1864
2015/6/12,3585.18,4.59,24.65,781.08,,145.44,,0.1862
2015/6/19,3170.21,4.16,20.99,762.07,,151.03,,0.1982
2015/6/26,3285.21,4.29,21.64,765.78,,151.81,,0.1982
2015/7/3,2900.69,4.05,20.42,716.22,,142.05,,0.1983
2015/7/10,2999.19,4.33,21.86,692.65,,137.2,,0.1981
2015/7/17,2989.8,4.34,21.16,688.89,,141.29,,0.2051
2015/7/24,2998.99,4.25,20.7,705.64,,144.88,,0.2053
2015/7/31,2831.62,4.02,19.55,704.38,,144.84,,0.2056
2015/8/7,2877.83,4.05,19.73,710.58,,145.86,,0.2053
2015/8/14,2962.23,4.11,20.02,720.74,,147.96,,0.2053
2015/8/21,2616.03,3.73,17.97,701.35,,145.58,,0.2076
2015/8/28,2507.35,3.6,17.93,696.49,,139.84,,0.2008
2015/9/2,2436.03,3.59,17.92,678.56,,135.94,,0.2003
2015/9/11,2461.55,3.56,17.79,691.45,,138.37,,0.2001
2015/9/18,2390.55,3.56,17.77,671.5,,134.53,,0.2003
2015/9/25,2400.98,3.52,17.57,682.1,,136.65,,0.2003
2015/9/30,2407.38,3.5,17.47,687.82,,137.8,,0.2003
2015/10/9,2495.51,3.61,18.05,691.28,,138.26,,0.2
2015/10/16,2592.25,3.71,18.51,698.72,,140.05,,0.2004
2015/10/23,2632.53,3.72,18.99,707.67,,138.63,,0.1959
2015/10/30,2677.6,3.73,19.16,717.86,,139.75,,0.1947
2015/11/6,2843.43,3.83,19.76,742.41,,143.9,,0.1938
2015/11/13,2760.48,3.75,19.33,736.13,,142.81,,0.194
2015/11/20,2795.34,3.76,19.41,743.44,,144.02,,0.1937
2015/11/27,2639.18,3.6,18.56,733.11,,142.2,,0.194
2015/12/4,2758.61,3.75,19.37,735.63,,142.42,,0.1936
2015/12/11,2672.77,3.65,18.94,732.27,,141.12,,0.1927
2015/12/18,2842.1,3.93,20.45,723.18,,138.98,,0.1922
2015/12/25,2942.25,4.06,21.15,724.69,,139.11,,0.192
2015/12/31,2965.07,4.03,20.97,735.75,,141.4,,0.1922
2016/1/8,2657.5,3.7,19.26,718.24,,137.98,,0.1921
2016/1/15,2445.71,3.49,18.19,700.78,1.76%,134.45,-4.27%,0.1919
2016/1/22,2457.91,3.52,18.34,698.27,0.86%,134.02,-5.21%,0.1919
2016/1/29,2390.23,3.45,17.99,692.82,1.76%,132.86,-4.39%,0.1918
2016/2/5,2409.1,3.5,18.22,688.31,0.62%,132.22,-5.27%,0.1921
2016/2/19,2406.67,3.48,18.13,691.57,1.47%,132.75,-4.66%,0.1919
2016/2/26,2431.79,3.58,18.64,679.27,0.02%,130.46,-5.82%,0.1921
2016/3/4,2598.74,3.89,20.27,668.06,-2.64%,128.21,-8.50%,0.1919
2016/3/11,2567.77,3.8,19.8,675.73,-0.97%,129.69,-6.93%,0.1919
2016/3/18,2638.96,3.83,19.95,689.02,-0.48%,132.28,-6.28%,0.192
2016/3/25,2760.07,3.96,21.57,696.99,-0.63%,127.96,-10.61%,0.1836
2016/4/1,2770.81,3.94,21.34,703.25,0.57%,129.84,-6.15%,0.1846
2016/4/8,2746.86,3.93,21.32,698.95,-0.15%,128.84,-7.00%,0.1843
2016/4/15,2779.36,3.93,21.33,707.22,2.79%,130.3,-4.31%,0.1842
2016/4/22,2726.27,3.79,20.8,719.33,-0.27%,131.07,-6.24%,0.1822
2016/4/29,2829.51,3.72,20.14,760.62,1.77%,140.49,1.35%,0.1847
2016/5/6,2903.43,3.79,20.52,766.08,3.76%,141.49,3.09%,0.1847
2016/5/13,2950.7,3.82,20.7,772.43,3.83%,142.55,2.79%,0.1845
