date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2008/5/30,3734.0,3.05,23.77,1224.26,,157.09,,0.1283
2008/6/6,3603.0,2.97,22.97,1213.13,,156.86,,0.1293
2008/6/13,3096.0,2.49,19.33,1243.37,,160.17,,0.1288
2008/6/20,2903.0,2.29,17.62,1267.69,,164.76,,0.13
2008/6/27,2825.0,2.26,17.18,1250.0,,164.44,,0.1315
2008/7/4,2772.0,2.29,17.24,1210.48,,160.79,,0.1328
2008/7/11,2971.0,2.48,18.7,1197.98,,158.88,,0.1326
2008/7/18,2821.0,2.36,17.82,1195.34,,158.31,,0.1324
2008/7/25,2909.0,2.47,18.63,1177.73,,156.15,,0.1326
2008/8/1,2777.88,2.35,17.77,1182.08,,156.32,,0.1322
2008/8/8,2455.95,2.07,15.73,1186.45,,156.13,,0.1316
2008/8/15,2368.55,1.93,14.67,1227.23,,161.46,,0.1316
2008/8/22,2273.84,1.88,13.9,1209.49,,163.59,,0.1353
2008/8/29,2233.28,1.83,13.79,1220.37,,161.95,,0.1327
2008/9/5,2088.46,1.72,12.7,1214.22,,164.45,,0.1354
2008/9/12,2024.08,1.66,12.16,1219.33,,166.45,,0.1365
2008/9/19,2079.88,1.7,12.53,1223.46,,165.99,,0.1357
2008/9/26,2203.04,1.77,13.2,1244.66,,166.9,,0.1341
2008/10/10,1875.45,1.51,11.06,1242.02,,169.57,,0.1365
2008/10/17,1774.74,1.42,10.38,1249.82,,170.98,,0.1368
2008/10/24,1748.09,1.4,10.6,1248.64,,164.91,,0.1321
2008/10/31,1615.56,1.25,9.83,1292.45,,164.35,,0.1272
2008/11/7,1617.39,1.25,9.81,1293.91,,164.87,,0.1274
2008/11/14,1872.43,1.5,11.97,1248.29,,156.43,,0.1253
2008/11/21,1839.84,1.49,11.68,1234.79,,157.52,,0.1276
2008/11/28,1798.44,1.45,11.31,1240.3,,159.01,,0.1282
2008/12/5,1969.9,1.62,12.75,1215.99,,154.5,,0.1271
2008/12/12,1902.68,1.55,12.33,1227.54,,154.31,,0.1257
2008/12/19,2001.14,1.64,13.09,1220.21,,152.88,,0.1253
2008/12/26,1804.81,1.47,11.74,1227.76,,153.73,,0.1252
2008/12/31,1711.02,1.41,11.26,1213.49,,151.96,,0.1252
2009/1/9,1822.57,1.61,11.58,1132.03,,157.39,,0.139
2009/1/16,1885.97,1.69,12.14,1115.96,,155.35,,0.1392
2009/1/23,1918.79,1.73,12.48,1109.13,,153.75,,0.1386
2009/2/6,2143.17,1.93,13.94,1110.45,,153.74,,0.1385
2009/2/13,2328.57,2.12,15.22,1098.38,,152.99,,0.1393
2009/2/20,2330.67,2.1,15.28,1109.84,,152.53,,0.1374
2009/2/27,2038.24,1.85,13.43,1101.75,,151.77,,0.1378
2009/3/6,2196.22,2.01,14.85,1092.65,,147.89,,0.1354
2009/3/13,2111.7,1.93,14.62,1094.15,,144.44,,0.132
2009/3/20,2337.32,2.11,16.23,1107.73,,144.01,,0.13
2009/3/27,2437.81,2.19,17.44,1113.16,,139.78,,0.1256
2009/4/3,2464.08,2.24,19.78,1100.04,,124.57,,0.1132
2009/4/10,2500.34,2.26,20.05,1106.35,,124.71,,0.1127
2009/4/17,2587.04,2.35,22.95,1100.87,,112.73,,0.1024
2009/4/24,2501.48,2.28,24.66,1097.14,,101.44,,0.0925
2009/4/30,2513.34,2.27,34.54,1107.2,,72.77,,0.0657
2009/5/8,2657.41,2.4,36.27,1107.25,,73.27,,0.0662
2009/5/15,2680.08,2.42,36.42,1107.47,,73.59,,0.0664
2009/5/22,2659.98,2.39,35.56,1112.96,,74.8,,0.0672
2009/5/27,2656.95,2.4,35.57,1107.06,-9.57%,74.7,-52.45%,0.0675
2009/6/5,2812.59,2.51,37.03,1120.55,-7.63%,75.95,-51.58%,0.0678
2009/6/12,2730.47,2.47,36.52,1105.45,-11.09%,74.77,-53.32%,0.0676
2009/6/19,2807.65,2.55,38.09,1101.04,-13.15%,73.71,-55.26%,0.0669
2009/6/26,2883.28,2.61,38.01,1104.7,-11.62%,75.86,-53.87%,0.0687
2009/7/3,2981.11,2.68,39.07,1112.35,-8.11%,76.3,-52.55%,0.0686
2009/7/10,3139.72,2.83,40.41,1109.44,-7.39%,77.7,-51.09%,0.07
2009/7/17,3330.01,2.97,41.5,1121.22,-6.20%,80.24,-49.31%,0.0716
2009/7/24,3463.41,3.05,42.65,1135.54,-3.58%,81.21,-47.99%,0.0715
2009/7/31,3618.04,3.13,42.4,1155.92,-2.21%,85.33,-45.41%,0.0738
2009/8/7,3489.27,3.09,43.74,1129.21,-4.82%,79.77,-48.91%,0.0706
2009/8/14,3274.83,2.85,40.36,1149.06,-6.37%,81.14,-49.74%,0.0706
2009/8/21,3128.59,2.71,42.42,1154.46,-4.55%,73.75,-54.91%,0.0639
2009/8/28,3019.75,2.61,49.87,1156.99,-5.19%,60.55,-62.61%,0.0523
