date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2009/10/30,4959.72,2.57,15.52,1929.85,,319.57,,0.1656
2009/11/6,5258.74,2.66,16.14,1976.97,,325.82,,0.1648
2009/11/13,5249.53,2.67,16.19,1966.12,,324.25,,0.1649
2009/11/20,5342.23,2.76,16.73,1935.59,,319.32,,0.165
2009/11/27,4893.46,2.54,15.62,1926.56,,313.28,,0.1626
2009/12/4,5246.56,2.71,16.61,1936.0,,315.87,,0.1632
2009/12/11,5103.88,2.63,16.14,1940.64,,316.23,,0.1629
2009/12/18,5026.84,2.59,15.91,1940.86,,315.95,,0.1628
2009/12/25,4898.06,2.56,15.73,1913.3,,311.38,,0.1627
2009/12/31,5279.09,2.74,16.8,1926.68,,314.23,,0.1631
2010/1/8,5037.19,2.64,16.19,1908.03,,311.13,,0.1631
2010/1/15,4812.98,2.56,15.69,1880.07,,306.75,,0.1632
2010/1/22,4955.75,2.6,15.93,1906.06,,311.1,,0.1632
2010/1/29,4576.79,2.45,15.04,1868.08,,304.31,,0.1629
2010/2/5,4594.07,2.44,14.99,1882.82,,306.48,,0.1628
2010/2/12,4678.54,2.48,15.23,1886.51,,307.19,,0.1628
2010/2/26,4712.33,2.48,15.19,1900.13,,310.23,,0.1633
2010/3/5,4721.09,2.47,15.09,1911.37,,312.86,,0.1637
2010/3/12,4755.91,2.48,14.99,1917.71,,317.27,,0.1654
2010/3/19,4812.53,2.47,15.08,1948.39,,319.13,,0.1638
2010/3/26,4823.28,2.44,14.2,1976.75,,339.67,,0.1718
2010/4/2,4993.86,2.47,14.08,2021.81,,354.68,,0.1754
2010/4/9,4917.0,2.44,13.97,2015.16,,351.97,,0.1747
2010/4/16,4791.86,2.39,13.6,2004.96,,352.34,,0.1757
2010/4/23,4346.71,2.21,12.51,1966.84,,347.46,,0.1767
2010/4/30,4380.94,2.11,11.66,2076.27,,375.72,,0.181
2010/5/7,4053.74,2.01,11.07,2016.79,,366.19,,0.1816
2010/5/14,4176.6,2.06,11.34,2027.48,,368.31,,0.1817
2010/5/21,4097.19,2.01,11.1,2038.4,,369.12,,0.1811
2010/5/28,4102.07,2.04,11.03,2010.82,,371.9,,0.185
2010/6/4,3886.97,1.97,10.55,1973.08,,368.43,,0.1867
2010/6/11,3831.86,1.94,10.42,1975.19,,367.74,,0.1862
2010/6/18,3854.03,1.94,10.41,1986.61,,370.22,,0.1864
2010/6/25,3986.18,1.99,10.71,2003.11,,372.19,,0.1858
2010/7/2,3808.6,1.91,10.26,1994.03,,371.21,,0.1862
2010/7/9,3971.43,2.0,10.58,1985.72,,375.37,,0.189
2010/7/16,3946.68,1.98,10.43,1993.27,,378.4,,0.1898
2010/7/23,4153.7,2.08,10.94,1996.97,,379.68,,0.1901
2010/7/30,4203.49,2.09,11.01,2011.24,,381.79,,0.1898
2010/8/6,4143.14,2.06,10.86,2011.23,,381.5,,0.1897
2010/8/13,4016.73,1.99,10.47,2018.46,,383.64,,0.1901
2010/8/20,4094.93,2.01,10.48,2037.28,,390.74,,0.1918
2010/8/27,3978.48,1.91,9.77,2082.97,,407.21,,0.1955
2010/9/3,3968.99,1.9,9.71,2088.94,,408.75,,0.1957
2010/9/10,3868.7,1.87,9.57,2068.82,,404.25,,0.1954
2010/9/17,3700.03,1.81,9.25,2044.22,,400.0,,0.1957
2010/9/21,3720.39,1.82,9.3,2044.17,,400.04,,0.1957
2010/9/30,3751.74,1.85,9.43,2027.97,,397.85,,0.1962
2010/10/8,3878.0,1.89,9.64,2051.85,,402.28,,0.1961
2010/10/15,4377.27,2.1,10.88,2084.41,,402.32,,0.193
2010/10/22,4275.53,2.04,10.58,2095.85,,404.11,,0.1928
2010/10/29,4180.86,1.91,9.98,2188.93,13.42%,418.92,31.09%,0.1914
2010/11/5,4361.04,1.93,10.21,2259.61,14.30%,427.13,31.10%,0.189
2010/11/12,4012.72,1.85,9.89,2169.04,10.32%,405.74,25.13%,0.1871
2010/11/19,3938.05,1.85,9.92,2128.68,9.98%,396.98,24.32%,0.1865
2010/11/26,3836.88,1.75,9.52,2192.5,13.80%,403.03,28.65%,0.1838
2010/12/3,3820.13,1.76,9.57,2170.53,12.11%,399.18,26.38%,0.1839
2010/12/10,3783.07,1.74,9.42,2174.18,12.03%,401.6,27.00%,0.1847
2010/12/17,3779.0,1.73,9.4,2184.39,12.55%,402.02,27.24%,0.184
2010/12/24,3815.75,1.73,9.38,2205.64,15.28%,406.8,30.64%,0.1844
2010/12/31,3715.21,1.71,9.28,2172.64,12.77%,400.35,27.40%,0.1843
2011/1/7,3872.04,1.74,9.72,2225.31,16.63%,398.36,28.04%,0.179
2011/1/14,3854.47,1.75,9.77,2202.55,17.15%,394.52,28.61%,0.1791
2011/1/21,3754.96,1.71,9.52,2195.88,15.21%,394.43,26.79%,0.1796
2011/1/28,3747.01,1.71,9.5,2191.23,17.30%,394.42,29.61%,0.18
2011/2/1,3789.5,1.73,9.62,2190.46,16.34%,393.92,28.53%,0.1798
2011/2/11,3793.96,1.73,9.65,2193.04,16.25%,393.16,27.98%,0.1793
2011/2/18,3872.95,1.76,9.79,2200.54,15.81%,395.6,27.52%,0.1798
2011/2/25,3788.67,1.73,9.64,2189.98,14.58%,393.02,25.62%,0.1795
2011/3/4,4009.67,1.79,9.95,2240.04,16.81%,402.98,27.01%,0.1799
2011/3/11,3907.94,1.76,9.79,2220.42,13.96%,399.18,25.08%,0.1798
2011/3/18,3854.47,1.74,9.68,2215.21,12.06%,398.19,17.23%,0.1798
2011/3/25,4027.22,1.79,9.95,2249.84,11.28%,404.75,14.12%,0.1799
2011/4/1,4160.78,1.74,9.61,2391.25,18.66%,432.96,23.01%,0.1811
2011/4/8,4272.11,1.78,9.78,2400.06,19.71%,436.82,23.98%,0.182
2011/4/15,4373.67,1.83,10.06,2389.98,21.51%,434.76,25.13%,0.1819
2011/4/22,4218.95,1.77,9.76,2383.59,14.80%,432.27,15.05%,0.1814
2011/4/29,4211.06,1.68,9.1,2506.58,24.29%,462.75,26.37%,0.1846
2011/5/6,4078.4,1.65,8.95,2471.76,21.91%,455.69,23.72%,0.1844
2011/5/13,4076.05,1.65,8.93,2470.33,21.19%,456.44,23.66%,0.1848
2011/5/20,4131.53,1.66,8.96,2488.87,23.77%,461.11,23.99%,0.1853
2011/5/27,3971.68,1.59,8.62,2497.91,26.60%,460.75,25.06%,0.1845
2011/6/3,3868.41,1.59,8.58,2432.96,23.18%,450.86,22.60%,0.1853
2011/6/10,3789.49,1.58,8.44,2398.41,20.73%,448.99,21.28%,0.1872
2011/6/17,3722.98,1.58,8.26,2356.32,17.63%,450.72,21.10%,0.1913
2011/6/24,3899.31,1.67,8.59,2334.92,17.10%,453.94,22.29%,0.1944
2011/7/1,3784.43,1.63,8.4,2321.74,16.92%,450.53,20.02%,0.194
2011/7/8,3870.45,1.63,8.41,2374.51,19.13%,460.22,21.62%,0.1938
2011/7/15,3862.12,1.63,8.44,2369.4,18.65%,457.6,20.52%,0.1931
2011/7/22,3750.87,1.61,8.31,2329.73,15.84%,451.37,18.22%,0.1937
2011/7/29,3674.0,1.58,8.18,2325.32,15.62%,449.14,17.73%,0.1932
2011/8/5,3527.89,1.53,7.95,2305.81,14.24%,443.76,15.67%,0.1925
2011/8/12,3536.91,1.53,7.94,2311.71,13.47%,445.45,14.00%,0.1927
2011/8/19,3548.93,1.51,7.79,2350.28,12.83%,455.58,11.88%,0.1938
