date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/5,2982.66,4.23,52.94,705.12,,56.34,,0.0799
2011/8/12,2979.45,4.2,52.3,709.39,,56.97,,0.0803
2011/8/19,2915.6,4.09,50.08,712.86,,58.22,,0.0817
2011/8/26,3014.51,4.21,51.52,716.04,,58.51,,0.0817
2011/9/2,2895.0,4.03,49.9,718.36,,58.02,,0.0808
2011/9/9,2818.4,3.92,48.57,718.98,,58.03,,0.0807
2011/9/16,2797.49,3.89,48.25,719.15,,57.98,,0.0806
2011/9/23,2733.91,3.8,47.1,719.45,,58.04,,0.0807
2011/9/30,2562.38,3.52,45.09,727.95,,56.83,,0.0781
2011/10/14,2657.45,3.69,45.23,720.18,,58.75,,0.0816
2011/10/21,2449.72,3.38,41.61,724.77,,58.87,,0.0812
2011/10/28,2621.31,3.58,44.81,732.21,,58.5,,0.0799
2011/11/4,2801.66,3.83,49.15,731.5,,57.0,,0.0779
2011/11/11,2773.65,3.8,48.69,729.91,,56.97,,0.078
2011/11/18,2701.74,3.7,47.43,730.2,,56.96,,0.078
2011/11/25,2658.36,3.63,46.71,732.33,,56.91,,0.0777
2011/12/2,2555.27,3.49,44.91,732.17,,56.9,,0.0777
2011/12/9,2459.6,3.38,43.48,727.69,,56.57,,0.0777
2011/12/16,2340.77,3.23,41.54,724.7,,56.35,,0.0778
2011/12/23,2272.93,3.15,40.51,721.57,,56.11,,0.0778
2011/12/30,2219.02,3.07,39.48,722.81,,56.21,,0.0778
2012/1/6,2059.61,2.84,36.69,725.21,,56.14,,0.0774
2012/1/13,2141.29,2.95,38.07,725.86,,56.25,,0.0775
2012/1/20,2138.27,2.92,37.65,732.28,,56.79,,0.0776
2012/2/3,2235.21,3.04,39.31,735.27,,56.86,,0.0773
2012/2/10,2301.27,3.13,40.44,735.23,,56.91,,0.0774
2012/2/17,2379.91,3.24,41.55,734.54,,57.28,,0.078
2012/2/24,2501.59,3.41,43.27,733.6,,57.81,,0.0788
2012/3/2,2514.55,3.42,43.45,735.25,,57.87,,0.0787
2012/3/9,2563.43,3.48,44.2,736.62,,58.0,,0.0787
2012/3/16,2503.42,3.38,43.26,740.66,,57.87,,0.0781
2012/3/23,2406.07,3.25,41.51,740.33,,57.96,,0.0783
2012/3/30,2237.37,3.01,38.64,743.31,,57.9,,0.0779
2012/4/6,2336.64,3.13,40.42,746.53,,57.81,,0.0774
2012/4/13,2398.8,3.18,41.07,754.34,,58.41,,0.0774
2012/4/20,2437.87,3.21,41.61,759.46,,58.59,,0.0771
2012/4/27,2344.12,3.05,35.07,768.56,,66.84,,0.087
2012/5/4,2425.51,3.15,36.3,770.0,,66.82,,0.0868
2012/5/11,2418.61,3.14,36.36,770.26,,66.52,,0.0864
