date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/5,5838.31,4.96,36.6,1177.08,,159.52,,0.1355
2011/8/12,5894.61,4.99,36.81,1181.28,,160.14,,0.1356
2011/8/19,5737.48,4.83,36.0,1187.88,,159.37,,0.1342
2011/8/26,5841.67,4.85,36.12,1204.47,,161.73,,0.1343
2011/9/2,5630.22,4.65,34.3,1210.8,,164.15,,0.1356
2011/9/9,5476.37,4.54,33.47,1206.25,,163.62,,0.1356
2011/9/16,5409.45,4.48,33.06,1207.47,,163.63,,0.1355
2011/9/23,5276.56,4.37,32.2,1207.45,,163.87,,0.1357
2011/9/30,4984.52,4.13,30.49,1206.91,,163.48,,0.1355
2011/10/14,5146.69,4.26,31.42,1208.14,,163.8,,0.1356
2011/10/21,4816.24,3.97,29.68,1213.16,,162.27,,0.1338
2011/10/28,5163.21,4.11,29.64,1256.26,,174.2,,0.1387
2011/11/4,5383.94,4.24,31.07,1269.8,,173.28,,0.1365
2011/11/11,5353.65,4.22,30.93,1268.64,,173.09,,0.1364
2011/11/18,5239.41,4.15,30.39,1262.51,,172.41,,0.1366
2011/11/25,5220.05,4.12,30.17,1267.0,,173.02,,0.1366
2011/12/2,5255.33,4.14,30.32,1269.4,,173.33,,0.1365
2011/12/9,5019.97,3.96,29.0,1267.67,,173.1,,0.1366
2011/12/16,4763.12,3.75,27.52,1270.17,,173.08,,0.1363
2011/12/23,4666.86,3.68,26.94,1268.17,,173.23,,0.1366
2011/12/30,4500.14,3.56,26.08,1264.08,,172.55,,0.1365
2012/1/6,4165.84,3.31,24.64,1258.56,,169.07,,0.1343
2012/1/13,4261.68,3.3,25.2,1291.42,,169.11,,0.131
2012/1/20,4281.06,3.31,25.27,1293.37,,169.41,,0.131
2012/2/3,4374.35,3.38,25.81,1294.19,,169.48,,0.131
2012/2/10,4496.19,3.47,26.42,1295.73,,170.18,,0.1313
2012/2/17,4585.46,3.54,26.93,1295.33,,170.27,,0.1315
2012/2/24,4758.68,3.67,27.96,1296.64,,170.2,,0.1313
2012/3/2,4728.07,3.64,27.71,1298.92,,170.63,,0.1314
2012/3/9,4737.32,3.64,27.71,1301.46,,170.96,,0.1314
2012/3/16,4853.28,3.72,28.3,1304.65,,171.49,,0.1314
2012/3/23,4644.3,3.56,27.17,1304.58,,170.93,,0.131
2012/3/30,4342.62,3.29,25.62,1319.95,,169.5,,0.1284
2012/4/6,4459.85,3.38,26.42,1319.48,,168.81,,0.1279
2012/4/13,4572.04,3.46,27.13,1321.4,,168.52,,0.1275
2012/4/20,4623.35,3.49,27.91,1324.74,,165.65,,0.125
2012/4/27,4503.16,3.31,27.07,1360.47,,166.35,,0.1223
2012/5/4,4726.45,3.54,29.01,1335.16,,162.92,,0.122
2012/5/11,4776.66,3.6,29.35,1326.85,,162.75,,0.1227
2012/5/18,4654.41,3.51,28.62,1326.04,,162.63,,0.1226
2012/5/25,4630.12,3.5,28.52,1322.89,,162.35,,0.1227
2012/6/1,4791.42,3.63,29.49,1319.95,,162.48,,0.1231
2012/6/8,4715.75,3.59,29.03,1313.58,,162.44,,0.1237
2012/6/15,4982.06,3.81,30.64,1307.63,,162.6,,0.1243
2012/6/21,4900.4,3.75,30.16,1306.77,,162.48,,0.1243
2012/6/29,4967.99,3.81,30.6,1303.93,,162.35,,0.1245
2012/7/6,5083.99,4.0,31.16,1271.0,,163.16,,0.1284
2012/7/13,5149.1,4.06,31.62,1268.25,,162.84,,0.1284
2012/7/20,5015.93,3.96,30.93,1266.65,,162.17,,0.128
2012/7/27,4846.36,3.82,29.77,1268.68,,162.79,,0.1283
2012/8/3,4978.47,3.92,30.56,1270.02,,162.91,,0.1283
2012/8/10,5158.37,4.05,31.31,1273.67,8.21%,164.75,3.28%,0.1294
2012/8/17,4982.82,3.89,30.02,1280.93,8.44%,165.98,3.65%,0.1296
2012/8/24,5026.0,3.87,30.28,1298.71,9.33%,165.98,4.15%,0.1278
2012/8/31,4773.17,3.63,29.29,1314.92,9.17%,162.96,0.76%,0.1239
2012/9/7,5024.08,3.82,30.84,1315.2,8.62%,162.91,-0.75%,0.1239
2012/9/14,5029.44,3.82,30.84,1316.61,9.15%,163.08,-0.33%,0.1239
2012/9/21,4782.4,3.63,29.29,1317.47,9.11%,163.28,-0.21%,0.1239
2012/9/28,4874.37,3.7,29.82,1317.4,9.11%,163.46,-0.25%,0.1241
2012/10/12,4994.23,3.79,30.59,1317.74,9.18%,163.26,-0.13%,0.1239
2012/10/19,5092.8,3.82,31.4,1333.19,10.35%,162.19,-0.98%,0.1217
2012/10/26,4897.49,3.63,29.61,1349.17,11.21%,165.4,1.93%,0.1226
2012/11/2,5056.42,3.69,31.9,1370.3,9.08%,158.51,-9.01%,0.1157
2012/11/9,4879.37,3.56,30.8,1370.61,7.94%,158.42,-8.58%,0.1156
2012/11/16,4734.49,3.46,29.92,1368.35,7.86%,158.24,-8.58%,0.1156
