date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/5,3928.05,3.21,22.98,1223.69,,170.93,,0.1397
2011/8/12,3910.62,3.18,22.73,1229.75,,172.05,,0.1399
2011/8/19,3808.16,3.08,22.06,1236.42,,172.63,,0.1396
2011/8/26,3902.38,3.15,22.55,1238.85,,173.05,,0.1397
2011/9/2,3778.15,3.02,21.57,1251.04,,175.16,,0.14
2011/9/9,3669.34,2.94,20.97,1248.07,,174.98,,0.1402
2011/9/16,3645.17,2.92,20.87,1248.35,,174.66,,0.1399
2011/9/23,3573.89,2.86,20.44,1249.61,,174.85,,0.1399
2011/9/30,3421.83,2.75,19.62,1244.3,,174.41,,0.1402
2011/10/14,3504.42,2.82,20.13,1242.7,,174.09,,0.1401
2011/10/21,3259.92,2.63,18.71,1239.51,,174.23,,0.1406
2011/10/28,3542.98,2.77,19.91,1279.05,,177.95,,0.1391
2011/11/4,3650.77,2.83,20.45,1290.02,,178.52,,0.1384
2011/11/11,3562.62,2.76,19.91,1290.8,,178.94,,0.1386
2011/11/18,3463.13,2.69,19.41,1287.41,,178.42,,0.1386
2011/11/25,3398.24,2.63,19.01,1292.11,,178.76,,0.1383
2011/12/2,3305.23,2.56,18.46,1291.11,,179.05,,0.1387
2011/12/9,3187.11,2.47,17.95,1290.33,,177.55,,0.1376
2011/12/16,3052.05,2.37,17.29,1287.78,,176.52,,0.1371
2011/12/23,3000.39,2.34,17.02,1282.22,,176.29,,0.1375
2011/12/30,2975.52,2.26,17.15,1316.6,,173.5,,0.1318
2012/1/6,2841.46,2.19,16.98,1297.47,,167.34,,0.129
2012/1/13,2928.04,2.25,17.48,1301.35,,167.51,,0.1287
2012/1/20,3020.65,2.33,18.07,1296.42,,167.16,,0.1289
2012/2/3,3059.98,2.34,18.28,1307.68,,167.39,,0.128
2012/2/10,3113.92,2.39,18.64,1302.9,,167.06,,0.1282
2012/2/17,3174.04,2.43,18.97,1306.19,,167.32,,0.1281
2012/2/24,3340.21,2.56,19.99,1304.77,,167.09,,0.1281
2012/3/2,3408.72,2.59,20.32,1316.11,,167.75,,0.1275
2012/3/9,3470.87,2.63,20.62,1319.72,,168.33,,0.1275
2012/3/16,3411.02,2.57,20.15,1327.25,,169.28,,0.1275
2012/3/23,3278.33,2.46,19.28,1332.65,,170.04,,0.1276
2012/3/30,3109.9,2.34,18.13,1329.02,,171.53,,0.1291
2012/4/6,3213.45,2.41,18.68,1333.38,,172.03,,0.129
2012/4/13,3315.32,2.48,19.18,1336.82,,172.85,,0.1293
2012/4/20,3350.36,2.48,19.48,1350.95,,171.99,,0.1273
