date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/5,7058.6,6.61,41.53,1067.87,,169.96,,0.1592
2011/8/12,7297.54,6.82,42.28,1070.02,,172.6,,0.1613
2011/8/19,7128.03,6.27,40.38,1136.85,,176.52,,0.1553
2011/8/26,7196.74,6.26,40.21,1149.64,,178.98,,0.1557
2011/9/2,7003.16,6.08,38.71,1151.84,,180.91,,0.1571
2011/9/9,6841.17,5.86,37.97,1167.44,,180.17,,0.1543
2011/9/16,6771.44,5.79,37.52,1169.51,,180.48,,0.1543
2011/9/23,6559.52,5.62,36.38,1167.17,,180.31,,0.1545
2011/9/30,6272.68,5.4,34.97,1161.61,,179.37,,0.1544
2011/10/14,6376.75,5.49,35.55,1161.52,,179.37,,0.1544
2011/10/21,6157.71,5.26,33.7,1170.67,,182.72,,0.1561
2011/10/28,6576.24,5.49,34.92,1197.86,,188.32,,0.1572
2011/11/4,6785.94,5.46,35.22,1242.85,,192.67,,0.155
2011/11/11,6721.55,5.4,34.87,1244.73,,192.76,,0.1549
2011/11/18,6574.01,5.28,34.1,1245.08,,192.79,,0.1548
2011/11/25,6775.78,5.43,35.34,1247.84,,191.73,,0.1537
2011/12/2,6696.94,5.36,34.98,1249.43,,191.45,,0.1532
2011/12/9,6311.43,5.06,33.03,1247.32,,191.08,,0.1532
2011/12/16,6040.35,4.87,31.94,1240.32,,189.12,,0.1525
2011/12/23,5867.98,4.74,31.11,1237.97,,188.62,,0.1524
2011/12/30,5712.13,4.61,30.3,1239.07,,188.52,,0.1521
2012/1/6,5370.66,4.28,28.41,1254.83,,189.04,,0.1507
2012/1/13,5526.76,4.4,29.17,1256.08,,189.47,,0.1508
2012/1/20,5531.75,4.38,29.07,1262.96,,190.29,,0.1507
2012/2/3,5642.12,4.45,29.52,1267.89,,191.13,,0.1507
2012/2/10,5824.53,4.59,30.42,1268.96,,191.47,,0.1509
2012/2/17,5893.74,4.64,30.78,1270.2,,191.48,,0.1507
2012/2/24,6139.79,4.83,32.43,1271.18,,189.32,,0.1489
2012/3/2,6236.02,4.8,32.95,1299.17,,189.26,,0.1457
2012/3/9,6348.24,4.87,33.35,1303.54,,190.35,,0.146
2012/3/16,6575.88,5.05,34.39,1302.15,,191.21,,0.1468
2012/3/23,6324.5,4.89,33.04,1293.35,,191.42,,0.148
2012/3/30,5882.36,4.5,30.51,1307.19,,192.8,,0.1475
2012/4/6,6179.72,4.72,31.98,1309.26,,193.24,,0.1476
2012/4/13,6252.93,4.75,31.47,1316.41,,198.69,,0.1509
2012/4/20,6245.34,4.79,31.34,1303.83,,199.28,,0.1528
2012/4/27,6308.65,4.65,28.12,1356.7,,224.35,,0.1654
2012/5/4,6557.34,4.85,29.81,1352.03,,219.97,,0.1627
2012/5/11,6476.32,4.78,29.45,1354.88,,219.91,,0.1623
2012/5/18,6277.8,4.66,28.51,1347.17,,220.2,,0.1635
2012/5/25,6210.58,4.6,28.14,1350.13,,220.7,,0.1635
2012/6/1,6412.02,4.79,29.16,1338.63,,219.89,,0.1643
2012/6/8,6207.77,4.66,28.3,1332.14,,219.36,,0.1647
2012/6/15,6384.93,4.82,29.13,1324.67,,219.19,,0.1655
2012/6/21,6264.36,4.75,28.62,1318.81,,218.88,,0.166
2012/6/29,6263.46,4.75,28.6,1318.62,,219.0,,0.1661
2012/7/6,6574.35,5.06,29.07,1299.28,,226.16,,0.1741
2012/7/13,6688.43,5.17,29.49,1293.7,,226.8,,0.1753
2012/7/20,6372.71,4.92,28.0,1295.27,,227.6,,0.1757
2012/7/27,6242.81,4.84,27.5,1289.84,,227.01,,0.176
2012/8/3,6191.53,4.54,27.78,1363.77,,222.88,,0.1634
2012/8/10,6411.32,4.68,27.97,1369.94,28.29%,229.22,34.86%,0.1673
2012/8/17,6092.18,4.36,26.63,1397.29,30.59%,228.77,32.54%,0.1637
2012/8/24,6105.7,4.29,26.04,1423.24,25.19%,234.47,32.83%,0.1647
2012/8/31,5786.47,4.04,24.45,1432.29,24.59%,236.67,32.23%,0.1652
2012/9/7,6126.4,4.27,25.92,1434.75,24.56%,236.36,30.65%,0.1647
2012/9/14,6111.19,4.26,25.84,1434.55,22.88%,236.5,31.26%,0.1649
2012/9/21,5746.17,4.0,24.28,1436.54,22.83%,236.66,31.13%,0.1647
2012/9/28,5970.05,4.17,25.31,1431.67,22.66%,235.88,30.82%,0.1648
2012/10/12,5991.08,4.19,25.4,1429.85,23.09%,235.87,31.50%,0.165
2012/10/19,6170.54,4.27,26.03,1445.09,24.41%,237.05,32.16%,0.164
2012/10/26,5905.29,4.21,23.61,1402.68,19.82%,250.12,36.89%,0.1783
2012/11/2,6047.51,4.2,23.49,1439.88,20.20%,257.45,36.71%,0.1788
2012/11/9,5797.66,4.02,22.51,1442.2,16.04%,257.56,33.68%,0.1786
2012/11/16,5535.59,3.84,21.46,1441.56,15.81%,257.95,33.82%,0.1789
2012/11/23,5398.56,3.75,20.97,1439.62,15.62%,257.44,33.54%,0.1788
2012/11/30,5110.12,3.57,19.96,1431.41,14.71%,256.02,33.53%,0.1789
2012/12/7,5109.67,3.53,19.75,1447.5,15.85%,258.72,35.14%,0.1787
2012/12/14,5296.33,3.66,20.47,1447.08,16.02%,258.74,35.41%,0.1788
2012/12/21,5397.31,3.73,20.88,1447.0,16.66%,258.49,36.68%,0.1786
2012/12/28,5578.48,3.85,21.54,1448.96,17.04%,258.98,37.30%,0.1787
2013/1/4,5566.92,3.84,21.31,1449.72,17.00%,261.24,38.57%,0.1802
2013/1/11,5715.79,3.91,22.0,1461.84,16.50%,259.81,37.43%,0.1777
2013/1/18,5911.0,4.01,22.54,1474.06,17.35%,262.24,38.41%,0.1779
2013/1/25,5628.88,3.79,21.44,1485.19,17.60%,262.54,37.97%,0.1768
2013/2/1,5685.38,3.8,21.46,1496.15,18.00%,264.93,38.61%,0.1771
2013/2/8,5853.32,3.91,22.14,1497.01,17.97%,264.38,38.08%,0.1766
2013/2/22,5908.07,3.96,22.39,1491.94,17.46%,263.87,37.81%,0.1769
2013/3/1,5808.74,3.87,21.9,1500.97,18.08%,265.24,40.10%,0.1767
2013/3/8,5885.48,3.94,22.27,1493.78,14.98%,264.28,39.64%,0.1769
2013/3/15,5667.64,3.76,21.38,1507.35,15.64%,265.09,39.26%,0.1759
2013/3/22,5707.8,3.75,21.35,1522.08,16.89%,267.34,39.81%,0.1756
2013/3/29,5546.5,3.58,20.64,1549.3,19.79%,268.73,40.39%,0.1734
2013/4/3,5414.25,3.47,19.91,1560.3,19.36%,271.94,41.04%,0.1743
2013/4/12,5491.1,3.53,20.24,1555.55,18.81%,271.3,40.40%,0.1744
2013/4/19,5567.13,3.54,20.47,1572.64,19.46%,271.97,36.88%,0.1729
2013/4/26,5347.36,3.27,19.08,1635.28,25.42%,280.26,40.64%,0.1714
2013/5/3,5385.2,3.27,19.64,1646.85,21.39%,274.2,22.22%,0.1665
2013/5/10,5611.58,3.4,20.7,1650.46,22.07%,271.09,23.24%,0.1643
2013/5/17,5681.84,3.45,20.95,1646.91,21.55%,271.21,23.33%,0.1647
2013/5/24,5748.1,3.5,21.24,1642.31,21.91%,270.63,22.90%,0.1648
2013/5/31,5771.65,3.53,21.35,1635.03,21.10%,270.33,22.49%,0.1653
2013/6/7,5522.39,3.48,20.47,1586.89,18.55%,269.78,22.69%,0.17
2013/6/14,5436.21,3.43,20.13,1584.9,18.97%,270.06,23.11%,0.1704
2013/6/21,5407.99,3.41,20.02,1585.92,19.72%,270.13,23.24%,0.1703
2013/6/28,5140.45,3.26,19.09,1576.83,19.56%,269.27,23.02%,0.1708
2013/7/5,5375.33,3.4,19.89,1580.98,19.90%,270.25,23.40%,0.1709
2013/7/12,5423.21,3.42,20.0,1585.73,22.05%,271.16,19.90%,0.171
2013/7/19,5232.14,3.27,19.27,1600.04,23.68%,271.52,19.71%,0.1697
2013/7/26,5354.77,3.35,19.63,1598.44,23.41%,272.79,19.85%,0.1707
2013/8/2,5372.43,3.39,19.76,1584.79,22.87%,271.88,19.77%,0.1716
2013/8/9,5520.8,3.46,20.0,1595.61,17.00%,276.04,23.85%,0.173
2013/8/16,5416.44,3.37,19.55,1607.25,17.32%,277.06,20.87%,0.1724
2013/8/23,5462.47,3.38,19.85,1616.12,15.66%,275.19,20.29%,0.1703
2013/8/30,5451.28,3.35,20.0,1627.25,14.33%,272.56,16.24%,0.1675
2013/9/6,5584.5,3.33,20.09,1677.03,17.09%,277.97,17.45%,0.1658
2013/9/13,5736.17,3.42,20.67,1677.24,16.90%,277.51,17.41%,0.1655
2013/9/18,5598.02,3.34,20.16,1676.05,16.83%,277.68,17.41%,0.1657
2013/9/27,5687.83,3.4,20.51,1672.89,16.45%,277.32,17.18%,0.1658
2013/9/30,5761.56,3.44,20.75,1674.87,16.99%,277.67,17.72%,0.1658
2013/10/11,5954.61,3.55,21.4,1677.35,17.31%,278.25,17.97%,0.1659
2013/10/18,6031.79,3.55,21.48,1699.1,17.58%,280.81,18.46%,0.1653
2013/10/25,5742.37,3.37,20.73,1703.97,21.48%,277.01,10.75%,0.1626
2013/11/1,5534.65,3.21,20.92,1724.19,19.75%,264.56,2.76%,0.1534
2013/11/8,5406.98,3.13,20.44,1727.47,19.78%,264.53,2.71%,0.1531
2013/11/15,5651.38,3.27,21.38,1728.25,19.89%,264.33,2.47%,0.1529
2013/11/22,5682.48,3.29,21.5,1727.2,19.98%,264.3,2.66%,0.153
2013/11/29,5801.75,3.36,21.97,1726.71,20.63%,264.08,3.15%,0.1529
2013/12/6,5783.14,3.35,21.95,1726.31,19.26%,263.47,1.84%,0.1526
2013/12/13,5764.33,3.33,21.83,1731.03,19.62%,264.06,2.06%,0.1525
2013/12/20,5541.55,3.2,20.99,1731.73,19.68%,264.01,2.13%,0.1525
2013/12/27,5594.94,3.25,21.3,1721.52,18.81%,262.67,1.43%,0.1526
2014/1/3,5598.91,3.26,21.37,1717.46,18.47%,262.0,0.29%,0.1526
2014/1/10,5379.35,3.12,20.55,1724.15,17.94%,261.77,0.75%,0.1518
2014/1/17,5361.81,3.13,20.56,1713.04,16.21%,260.79,-0.56%,0.1522
2014/1/24,5524.66,3.22,21.19,1715.73,15.52%,260.72,-0.69%,0.152
2014/1/30,5306.07,3.09,20.38,1717.17,14.77%,260.36,-1.73%,0.1516
2014/2/7,5376.07,3.13,20.6,1717.59,14.73%,260.97,-1.29%,0.1519
2014/2/14,5641.31,3.29,21.62,1714.68,14.93%,260.93,-1.11%,0.1522
