date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/2,3342.868,2.6092,45.8873,1281.19,,72.85,,0.057
2011/8/5,3272.8059999999996,2.5383,44.6394,1289.37,,73.32,,0.057
2011/8/12,3189.7940000000012,2.4382,42.6498,1308.26,,74.79,,0.057
2011/8/19,3123.191,2.3689,41.4576,1318.41,,75.33,,0.057
2011/8/26,3270.1679999999997,2.4927,42.2592,1311.9,,77.38,,0.059
2011/9/2,3154.565,2.4323,41.5484,1296.95,,75.93,,0.059
2011/9/9,3058.888,2.3605,40.2971,1295.86,,75.91,,0.059
2011/9/16,3118.81,2.4303,41.4873,1283.3,,75.18,,0.059
2011/9/23,3078.497000000001,2.421,41.3246,1271.58,,74.5,,0.059
2011/9/30,2894.647,2.3155,39.5214,1250.12,,73.24,,0.059
2011/10/14,2945.33,2.3413,39.9623,1257.99,,73.7,,0.059
2011/10/21,2732.4590000000007,2.1907,37.1805,1247.3,,73.49,,0.059
2011/10/28,2935.834000000001,2.3325,40.3729,1258.66,,72.72,,0.058
2011/11/4,3126.243,2.4722,42.4949,1264.56,,73.57,,0.058
2011/11/11,3092.037000000001,2.4008,41.2675,1287.92,,74.93,,0.058
2011/11/18,3028.59,2.3834,40.9688,1270.7,,73.92,,0.058
2011/11/25,3008.369,2.3678,40.6991,1270.53,,73.92,,0.058
2011/12/2,2861.732,2.2788,39.1696,1255.81,,73.06,,0.058
2011/12/9,2806.567,2.2406,38.5656,1252.6,,72.77,,0.058
2011/12/16,2633.4640000000004,2.1141,36.3868,1245.67,,72.37,,0.058
2011/12/23,2581.85,2.127,36.6103,1213.85,,70.52,,0.058
2011/12/30,2535.951,2.1042,36.2692,1205.19,,69.92,,0.058
2012/1/6,2344.14,1.9882,34.0931,1179.03,,68.76,,0.058
2012/1/13,2431.22,2.0328,34.8581,1196.0,,69.75,,0.058
2012/1/20,2415.868,2.0154,34.5595,1198.7,,69.9,,0.058
2012/2/3,2482.855,2.0140000000000002,34.5368,1232.8,,71.89,,0.058
2012/2/10,2544.455,2.0548,35.2355,1238.3,,72.21,,0.058
2012/2/17,2629.754000000001,2.1088,36.1614,1247.04,,72.72,,0.058
2012/2/24,2762.687,2.199,37.9566,1256.34,,72.79,,0.058
2012/3/2,2771.597,2.1958,37.8199,1262.23,,73.28,,0.058
2012/3/9,2844.2659999999996,2.2038,37.957,1290.62,,74.93,,0.058
2012/3/16,2810.335,2.1867,37.8258,1285.19,,74.3,,0.058
2012/3/23,2703.143,2.1078,36.5055,1282.45,,74.05,,0.058
2012/3/30,2542.694,1.9786,38.4221,1285.1,,66.18,,0.051
2012/4/6,2637.625,2.0229,39.3398,1303.88,,67.05,,0.051
2012/4/13,2700.597,2.0625,39.3961,1309.38,,68.55,,0.052
2012/4/20,2758.158,2.1059,40.88800000000001,1309.73,,67.46,,0.052
2012/4/27,2675.687,2.0351,38.7091,1314.77,,69.12,,0.053
2012/5/4,2749.792,2.0926,39.9661,1314.06,,68.8,,0.052
2012/5/11,2703.14,2.0427,38.9766,1323.32,,69.35,,0.052
2012/5/18,2626.792,1.9896,37.9362,1320.26,,69.24,,0.052
2012/5/25,2597.706,1.9611,37.3612,1324.62,,69.53,,0.052
2012/6/1,2654.265,1.9929,37.9078,1331.86,,70.02,,0.053
2012/6/8,2510.07,1.8921,35.9902,1326.61,,69.74,,0.053
2012/6/15,2519.493,1.9105,36.3075,1318.76,,69.39,,0.053
2012/6/21,2526.995,1.9045,36.1745,1326.85,,69.86,,0.053
2012/6/29,2403.1,1.8167,34.4988,1322.78,,69.66,,0.053
2012/7/6,2408.28,1.8279,34.602,1317.51,,69.6,,0.053
2012/7/13,2330.47,1.7458,33.0473,1334.9,,70.52,,0.053
2012/7/20,2289.64,1.7217,32.6095,1329.87,,70.21,,0.053
2012/7/27,2281.12,1.7184,32.6516,1327.47,3.61%,69.86,-4.10%,0.053
2012/8/3,2267.23,1.6997,32.3189,1333.9,3.45%,70.15,-4.32%,0.053
2012/8/10,2359.96,1.7513,33.385,1347.55,3.00%,70.69,-5.48%,0.052
2012/8/17,2283.72,1.7011,32.2658,1342.5,1.83%,70.78,-6.05%,0.053
2012/8/24,2304.11,1.7245,35.335,1336.1,1.85%,65.21,-15.73%,0.049
2012/8/31,2249.73,1.6609,34.4036,1354.52,4.44%,65.39,-13.87%,0.048
2012/9/7,2391.57,1.7516,36.2815,1365.36,5.36%,65.92,-13.16%,0.048
2012/9/14,2425.02,1.7626,36.5089,1375.82,7.21%,66.42,-11.64%,0.048
2012/9/21,2280.0,1.6514,34.2072,1380.65,8.58%,66.65,-10.53%,0.048
