date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/8/5,3363.61,1.71,9.54,1967.02,,352.58,,0.1792
2011/8/12,3354.64,1.7,9.48,1973.32,,353.86,,0.1793
2011/8/19,3317.24,1.68,9.25,1974.55,,358.62,,0.1816
2011/8/26,3472.39,1.67,9.11,2079.28,,381.16,,0.1833
2011/9/2,3354.75,1.62,8.82,2070.83,,380.36,,0.1837
2011/9/9,3333.15,1.62,8.83,2057.5,,377.48,,0.1835
2011/9/16,3317.2,1.61,8.77,2060.37,,378.24,,0.1836
2011/9/23,3211.4,1.57,8.55,2045.48,,375.6,,0.1836
2011/9/30,3081.99,1.53,8.31,2014.37,,370.88,,0.1841
2011/10/14,3223.91,1.6,8.73,2014.94,,369.29,,0.1833
2011/10/21,3113.29,1.57,8.53,1982.99,,364.98,,0.1841
2011/10/28,3355.69,1.62,8.76,2071.41,,383.07,,0.1849
2011/11/4,3396.57,1.63,8.79,2083.79,,386.41,,0.1854
2011/11/11,3296.57,1.59,8.58,2073.31,,384.22,,0.1853
2011/11/18,3177.96,1.55,8.37,2050.3,,379.68,,0.1852
2011/11/25,3126.87,1.53,8.28,2043.71,,377.64,,0.1848
2011/12/2,3167.46,1.55,8.37,2043.52,,378.43,,0.1852
2011/12/9,3172.82,1.55,8.33,2046.98,,380.89,,0.1861
2011/12/16,3068.9,1.51,8.15,2032.38,,376.55,,0.1853
2011/12/23,3026.12,1.5,8.08,2017.41,,374.52,,0.1856
2011/12/30,3019.14,1.51,8.13,1999.43,,371.36,,0.1857
2012/1/6,3005.21,1.51,8.16,1990.21,,368.29,,0.185
2012/1/13,3119.48,1.55,8.37,2012.57,,372.7,,0.1852
2012/1/20,3290.02,1.61,8.68,2043.49,,379.03,,0.1855
2012/2/3,3300.3,1.62,8.73,2037.22,,378.04,,0.1856
2012/2/10,3308.94,1.62,8.7,2042.56,,380.34,,0.1862
2012/2/17,3288.54,1.61,8.66,2042.57,,379.74,,0.1859
2012/2/24,3441.1,1.65,8.91,2085.52,,386.21,,0.1852
2012/3/2,3487.2,1.66,8.96,2100.72,,389.2,,0.1853
2012/3/9,3437.81,1.63,8.78,2109.09,,391.55,,0.1856
2012/3/16,3349.27,1.6,8.6,2093.29,,389.45,,0.186
2012/3/23,3274.6,1.55,8.45,2112.65,,387.53,,0.1834
2012/3/30,3232.91,1.5,8.33,2155.27,,388.1,,0.1801
2012/4/6,3296.9,1.5,8.36,2197.93,,394.37,,0.1794
2012/4/13,3396.32,1.53,8.56,2219.82,,396.77,,0.1787
2012/4/20,3492.61,1.56,8.75,2238.85,,399.16,,0.1783
2012/4/27,3495.74,1.54,8.67,2269.96,,403.2,,0.1776
2012/5/4,3581.22,1.5,8.55,2387.48,,418.86,,0.1754
2012/5/11,3459.3,1.47,8.36,2353.27,,413.79,,0.1758
2012/5/18,3406.23,1.43,8.18,2381.98,,416.41,,0.1748
2012/5/25,3409.94,1.43,8.14,2384.57,,418.91,,0.1757
2012/6/1,3489.63,1.45,8.27,2406.64,,421.96,,0.1753
2012/6/8,3344.02,1.41,8.03,2371.65,,416.44,,0.1756
2012/6/15,3426.29,1.45,8.09,2362.96,,423.52,,0.1792
2012/6/21,3355.49,1.44,7.95,2330.2,,422.07,,0.1811
2012/6/29,3323.87,1.45,7.9,2292.32,,420.74,,0.1835
2012/7/6,3336.94,1.47,8.04,2270.03,,415.04,,0.1828
2012/7/13,3272.82,1.43,7.85,2288.69,,416.92,,0.1822
2012/7/20,3237.56,1.43,7.84,2264.03,,412.95,,0.1824
2012/7/27,3154.77,1.4,7.68,2253.41,,410.78,,0.1823
2012/8/3,3160.42,1.41,7.74,2241.43,,408.32,,0.1822
