date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2014/6/6,5328.32,3.2,27.72,1665.1,,192.22,,0.1154
2014/6/13,5423.95,3.26,28.11,1663.79,,192.95,,0.116
2014/6/20,5253.68,3.32,26.53,1582.43,,198.03,,0.1251
2014/6/27,5385.81,3.4,27.04,1584.06,,199.18,,0.1257
2014/7/4,5513.99,3.5,27.71,1575.43,,198.99,,0.1263
2014/7/11,5368.2,3.43,27.03,1565.07,,198.6,,0.1269
2014/7/18,5315.36,3.44,27.02,1545.16,,196.72,,0.1273
2014/7/25,5376.77,3.51,27.46,1531.84,,195.8,,0.1278
2014/8/1,5577.12,3.62,28.38,1540.64,,196.52,,0.1276
2014/8/8,5623.05,3.65,28.5,1540.56,,197.3,,0.1281
2014/8/15,5713.78,3.71,28.81,1540.1,,198.33,,0.1288
2014/8/22,5902.67,3.76,29.48,1569.86,,200.23,,0.1275
2014/8/29,5782.48,3.62,28.26,1597.37,,204.62,,0.1281
2014/9/5,6019.51,3.78,29.6,1592.46,,203.36,,0.1277
2014/9/12,6083.18,3.82,29.77,1592.46,,204.34,,0.1283
2014/9/19,6070.89,3.83,29.8,1585.09,,203.72,,0.1285
2014/9/26,6105.2,3.84,29.81,1589.9,,204.8,,0.1288
2014/9/30,6161.51,3.87,30.03,1592.12,,205.18,,0.1289
2014/10/10,6235.66,3.92,30.5,1590.73,,204.45,,0.1285
2014/10/17,6154.61,3.87,30.15,1590.34,,204.13,,0.1284
2014/10/24,6040.49,3.76,29.23,1606.51,,206.65,,0.1286
2014/10/31,6247.98,3.79,29.84,1648.54,,209.38,,0.127
2014/11/7,6175.19,3.74,29.32,1651.12,,210.61,,0.1276
2014/11/14,6163.93,3.76,29.67,1639.34,,207.75,,0.1267
2014/11/21,6304.62,3.83,30.13,1646.11,,209.25,,0.1271
2014/11/28,6566.53,3.97,31.2,1654.04,,210.47,,0.1272
2014/12/5,6704.3,4.08,32.26,1643.21,,207.82,,0.1265
2014/12/12,6903.56,4.21,33.29,1639.8,,207.38,,0.1265
2014/12/19,6752.46,4.14,30.85,1631.03,,218.88,,0.1342
2014/12/26,6723.85,4.15,31.03,1620.2,,216.69,,0.1337
2014/12/31,6630.09,4.12,30.9,1609.25,,214.57,,0.1333
2015/1/9,6838.65,4.22,31.74,1620.53,,215.46,,0.133
2015/1/16,7091.08,4.35,32.76,1630.13,,216.46,,0.1328
2015/1/23,7261.25,4.41,33.36,1646.54,,217.66,,0.1322
2015/1/30,7226.56,4.4,33.09,1642.4,,218.39,,0.133
2015/2/6,7219.43,4.35,32.56,1659.64,,221.73,,0.1336
2015/2/13,7642.09,4.6,34.44,1661.32,,221.9,,0.1336
2015/2/17,7928.33,4.74,35.64,1672.64,,222.46,,0.133
2015/2/27,7946.59,4.73,36.01,1680.04,,220.68,,0.1314
2015/3/6,8002.2,4.77,36.27,1677.61,,220.63,,0.1315
2015/3/13,8326.33,4.92,37.55,1692.34,,221.74,,0.131
2015/3/20,8951.76,5.21,39.02,1718.19,,229.41,,0.1335
2015/3/27,9237.44,5.28,40.0,1749.52,,230.94,,0.132
2015/4/3,9659.14,5.44,41.64,1775.58,,231.97,,0.1306
2015/4/10,9832.52,5.56,42.6,1768.44,,230.81,,0.1305
2015/4/17,9737.53,5.5,42.41,1770.46,,229.6,,0.1297
2015/4/24,10351.67,5.63,44.12,1838.66,,234.63,,0.1276
2015/4/30,10482.46,5.36,42.73,1955.68,,245.32,,0.1254
2015/5/8,10442.59,5.31,42.19,1966.59,,247.51,,0.1259
2015/5/15,11110.77,5.57,43.96,1994.75,,252.75,,0.1267
2015/5/22,12115.61,6.0,47.76,2019.27,,253.68,,0.1256
2015/5/29,12099.0,6.02,47.62,2009.8,20.70%,254.07,32.18%,0.1264
2015/6/5,13049.39,6.46,50.68,2020.03,21.41%,257.49,33.44%,0.1275
2015/6/12,13519.17,6.77,52.87,1996.92,26.19%,255.71,29.13%,0.128
2015/6/19,11638.98,5.85,48.22,1989.57,25.60%,241.37,21.18%,0.1213
2015/6/26,10455.76,5.26,43.73,1987.79,26.17%,239.1,20.16%,0.1203
2015/7/3,9327.88,4.56,38.86,2045.59,30.70%,240.04,20.86%,0.1173
2015/7/10,9314.39,4.54,38.78,2051.63,32.78%,240.19,22.10%,0.1171
2015/7/17,10125.86,5.0,42.19,2025.17,32.20%,240.01,22.57%,0.1185
2015/7/24,10385.01,5.16,43.18,2012.6,30.63%,240.51,22.38%,0.1195
2015/7/31,9566.25,4.7,39.4,2035.37,32.12%,242.8,23.06%,0.1193
2015/8/7,9797.74,4.87,40.98,2011.86,30.63%,239.09,20.55%,0.1188
2015/8/14,10284.25,5.16,42.09,1993.07,26.96%,244.34,22.03%,0.1226
2015/8/21,9103.49,4.49,36.76,2027.5,26.93%,247.65,21.03%,0.1221
2015/8/28,8483.49,4.1,33.07,2069.14,29.93%,256.53,26.15%,0.124
2015/9/2,8063.71,3.88,31.41,2078.28,30.51%,256.72,25.64%,0.1235
2015/9/11,8339.83,3.99,32.21,2090.18,31.87%,258.92,27.10%,0.1239
2015/9/18,8039.19,3.8,30.93,2115.58,33.06%,259.92,26.91%,0.1229
2015/9/25,8075.71,3.81,30.98,2119.61,33.13%,260.67,27.05%,0.123
2015/9/30,8116.08,3.8,30.69,2135.81,34.27%,264.45,29.35%,0.1238
2015/10/9,8508.46,4.01,32.31,2121.81,33.42%,263.34,29.00%,0.1241
2015/10/16,9078.36,4.28,34.27,2121.11,32.03%,264.91,28.19%,0.1249
2015/10/23,9398.13,4.41,35.42,2131.1,29.27%,265.33,26.72%,0.1245
2015/10/30,9220.29,4.32,34.84,2134.33,29.27%,264.65,25.66%,0.124
2015/11/6,9753.96,4.59,36.95,2125.05,29.63%,263.98,27.07%,0.1242
2015/11/13,9664.57,4.53,36.43,2133.46,29.61%,265.29,26.78%,0.1243
2015/11/20,9840.44,4.6,36.95,2139.23,29.33%,266.32,26.54%,0.1245
2015/11/27,9450.07,4.37,35.39,2162.49,31.60%,267.03,28.49%,0.1235
2015/12/4,9726.8,4.52,36.75,2151.95,31.23%,264.67,27.63%,0.123
2015/12/11,9611.31,4.44,36.31,2164.71,32.72%,264.7,20.93%,0.1223
2015/12/18,10114.89,5.12,40.65,1975.56,21.93%,248.83,14.83%,0.126
2015/12/25,10228.15,5.22,41.58,1959.42,21.76%,245.99,14.64%,0.1255
2015/12/31,9919.09,5.02,40.26,1975.91,21.93%,246.38,14.35%,0.1247
2016/1/8,8490.63,4.3,35.16,1974.57,21.13%,241.49,11.56%,0.1223
2016/1/15,7840.18,3.89,32.29,2015.47,22.41%,242.81,11.55%,0.1205
2016/1/22,7854.84,3.92,32.19,2003.79,22.00%,244.01,11.73%,0.1218
2016/1/29,7372.44,3.65,30.44,2019.85,21.70%,242.2,9.23%,0.1199
2016/2/5,7655.19,3.73,31.34,2052.33,23.54%,244.26,10.08%,0.119
