date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2011/3/18,8075.21,5.37,46.87,1503.76,,172.29,,0.1146
2011/3/25,8044.13,5.33,46.55,1509.22,,172.81,,0.1145
2011/4/1,7750.26,5.08,45.17,1525.64,,171.58,,0.1125
2011/4/8,7880.39,5.14,45.71,1533.15,,172.4,,0.1124
2011/4/15,7965.6,5.18,46.69,1537.76,,170.61,,0.1109
2011/4/22,8020.92,5.17,47.09,1551.44,,170.33,,0.1098
2011/4/29,7505.48,4.74,43.98,1583.43,,170.66,,0.1078
2011/5/6,7653.27,4.8,45.04,1594.43,,169.92,,0.1066
2011/5/13,7627.49,4.8,44.56,1589.06,,171.17,,0.1077
2011/5/20,7628.75,4.8,44.66,1589.32,,170.82,,0.1075
2011/5/27,6902.45,4.34,40.78,1590.43,,169.26,,0.1064
2011/6/3,7061.28,4.44,41.75,1590.38,,169.13,,0.1063
2011/6/10,7017.73,4.4,41.33,1594.94,,169.8,,0.1065
2011/6/17,6741.14,4.25,39.54,1586.15,,170.49,,0.1075
2011/6/24,6989.91,4.41,40.99,1585.01,,170.53,,0.1076
2011/7/1,7157.71,4.59,42.24,1559.41,,169.45,,0.1087
2011/7/8,7416.51,4.77,43.7,1554.82,,169.71,,0.1092
2011/7/15,7888.07,5.08,46.63,1552.77,,169.16,,0.1089
2011/7/22,7738.52,4.96,45.66,1560.19,,169.48,,0.1086
2011/7/29,7494.85,4.8,44.27,1561.43,,169.3,,0.1084
2011/8/5,7356.5,4.66,42.63,1578.65,,172.57,,0.1093
2011/8/12,7369.46,4.59,42.86,1605.55,,171.94,,0.1071
2011/8/19,7207.4,4.42,41.7,1630.63,,172.84,,0.106
2011/8/26,7429.5,4.53,42.75,1640.07,,173.79,,0.106
2011/9/2,7168.93,4.33,40.76,1655.64,,175.88,,0.1062
2011/9/9,6966.91,4.22,39.66,1650.93,,175.67,,0.1064
2011/9/16,6887.23,4.18,39.15,1647.66,,175.92,,0.1068
2011/9/23,6710.06,4.07,38.34,1648.66,,175.01,,0.1062
2011/9/30,6330.93,3.84,36.46,1648.68,,173.64,,0.1053
2011/10/14,6550.44,3.97,37.68,1649.98,,173.84,,0.1054
2011/10/21,6059.68,3.64,35.55,1664.75,,170.46,,0.1024
2011/10/28,6485.29,3.81,36.53,1702.18,,177.53,,0.1043
