date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2001/10/5,1749.88,0.71,5.29,2464.62,,330.79,,0.1342
2001/10/12,1691.18,0.7,5.19,2415.97,,325.85,,0.1349
2001/10/19,1684.46,0.69,5.08,2441.25,,331.59,,0.1358
2001/10/26,1775.92,0.72,5.3,2466.56,,335.08,,0.1358
2001/11/2,1846.12,0.74,5.47,2494.76,,337.5,,0.1353
2001/11/9,1844.39,0.74,5.45,2492.42,,338.42,,0.1358
2001/11/16,1776.43,0.69,5.11,2574.54,,347.64,,0.135
2001/11/23,1852.93,0.72,5.34,2573.51,,346.99,,0.1348
2001/11/30,1789.82,0.7,5.18,2556.89,,345.53,,0.1351
2001/12/7,1777.89,0.7,5.21,2539.84,,341.25,,0.1344
2001/12/14,1717.58,0.69,5.08,2489.25,,338.11,,0.1358
2001/12/21,1714.35,0.68,5.06,2521.1,,338.8,,0.1344
2001/12/28,1747.97,0.7,5.16,2497.1,,338.75,,0.1357
2002/1/4,1816.89,0.7,5.97,2595.56,,304.34,,0.1173
2002/1/11,1807.77,0.7,5.97,2582.53,,302.81,,0.1173
2002/1/18,1837.32,0.71,5.99,2587.77,,306.73,,0.1185
2002/1/25,1882.39,0.72,6.09,2614.43,,309.1,,0.1182
2002/2/1,1891.63,0.72,6.13,2627.26,,308.59,,0.1175
2002/2/8,1929.94,0.73,6.22,2643.75,,310.28,,0.1174
2002/2/15,1992.25,0.75,6.36,2656.33,,313.25,,0.1179
2002/2/22,2011.25,0.75,6.35,2681.67,,316.73,,0.1181
2002/3/1,1966.66,0.75,6.52,2622.21,,301.63,,0.115
2002/3/8,2049.01,0.79,6.89,2593.68,,297.39,,0.1147
2002/3/15,2091.26,0.81,6.95,2581.8,,300.9,,0.1165
2002/3/22,2053.9,0.8,6.86,2567.38,,299.4,,0.1166
2002/3/28,2034.69,0.8,6.84,2543.36,,297.47,,0.117
2002/4/4,2094.54,0.8,7.36,2618.18,,284.58,,0.1087
2002/4/12,2088.53,0.79,7.2,2643.71,,290.07,,0.1097
2002/4/19,2124.89,0.8,7.32,2656.11,,290.29,,0.1093
2002/4/26,2077.67,0.79,7.27,2629.96,,285.79,,0.1087
