date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2012/11/2,4782.26,3.88,30.99,1232.54,,154.32,,0.1252
2012/11/9,4599.6,3.74,29.83,1229.84,,154.19,,0.1254
2012/11/16,4456.6,3.62,28.91,1231.1,,154.15,,0.1252
2012/11/23,4378.94,3.56,28.43,1230.04,,154.03,,0.1252
2012/11/30,4192.17,3.41,27.25,1229.38,,153.84,,0.1251
2012/12/7,4300.65,3.5,27.91,1228.76,,154.09,,0.1254
2012/12/14,4390.69,3.58,28.56,1226.45,,153.74,,0.1254
2012/12/21,4356.37,3.56,28.42,1223.7,,153.29,,0.1253
2012/12/28,4568.92,3.72,29.82,1228.2,,153.22,,0.1247
2013/1/4,4504.69,3.7,28.85,1217.48,,156.14,,0.1282
2013/1/11,4691.54,3.84,30.0,1221.76,,156.38,,0.128
2013/1/18,5063.69,4.15,32.39,1220.17,,156.33,,0.1281
2013/1/25,5061.54,4.15,32.36,1219.65,,156.41,,0.1282
2013/2/1,5161.57,4.22,32.93,1223.12,,156.74,,0.1282
2013/2/8,5416.57,4.4,34.49,1231.04,,157.05,,0.1276
2013/2/22,5451.69,4.44,34.63,1227.86,,157.43,,0.1282
2013/3/1,5595.54,4.54,35.36,1232.5,,158.24,,0.1284
2013/3/8,5518.07,4.48,34.78,1231.71,,158.66,,0.1288
2013/3/15,5507.96,4.44,34.13,1240.53,,161.38,,0.1301
2013/3/22,5681.46,4.57,35.07,1243.21,,162.0,,0.1303
2013/3/29,5635.37,4.45,34.8,1266.38,,161.94,,0.1279
2013/4/3,5450.45,4.28,33.26,1273.47,,163.87,,0.1287
2013/4/12,5313.33,4.17,32.36,1274.18,,164.19,,0.1289
2013/4/19,5501.44,4.31,34.01,1276.44,,161.76,,0.1267
2013/4/26,5420.89,4.15,33.28,1306.24,,162.89,,0.1247
2013/5/3,5628.82,4.25,33.19,1324.43,,169.59,,0.1281
2013/5/10,5766.51,4.37,33.98,1319.57,,169.7,,0.1286
2013/5/17,5843.56,4.43,34.44,1319.09,,169.67,,0.1286
2013/5/24,5805.53,4.35,34.65,1334.6,,167.55,,0.1255
2013/5/31,6025.14,4.51,35.96,1335.95,,167.55,,0.1254
2013/6/7,5665.02,4.26,33.8,1329.82,,167.6,,0.126
2013/6/14,5713.81,4.3,34.05,1328.79,,167.81,,0.1263
2013/6/21,5584.71,4.23,33.38,1320.26,,167.31,,0.1267
2013/6/28,5397.63,4.07,32.39,1326.2,,166.64,,0.1257
2013/7/5,5680.97,4.41,34.13,1288.2,,166.45,,0.1292
2013/7/12,5850.79,4.54,35.13,1288.72,,166.55,,0.1292
2013/7/19,5788.34,4.5,34.91,1286.3,,165.81,,0.1289
2013/7/26,6038.98,4.71,36.43,1282.16,,165.77,,0.1293
2013/8/2,6014.93,4.68,36.2,1285.24,,166.16,,0.1293
2013/8/9,6217.59,4.88,37.27,1274.1,,166.83,,0.1309
2013/8/16,5847.67,4.56,34.82,1282.38,,167.94,,0.131
2013/8/23,5976.27,4.64,35.01,1287.99,,170.7,,0.1325
2013/8/30,5817.27,4.46,33.45,1304.32,,173.91,,0.1333
2013/9/6,5911.33,4.59,34.06,1287.87,,173.56,,0.1348
2013/9/13,5844.26,4.54,33.68,1287.28,,173.52,,0.1348
2013/9/18,5896.02,4.57,33.95,1290.16,,173.67,,0.1346
2013/9/27,6204.18,4.83,35.86,1284.51,,173.01,,0.1347
2013/9/30,6224.31,4.85,36.0,1283.36,,172.9,,0.1347
2013/10/11,6226.17,4.86,36.08,1281.1,,172.57,,0.1347
2013/10/18,6122.53,4.77,35.52,1283.55,,172.37,,0.1343
2013/10/25,5926.76,4.59,34.15,1291.23,,173.55,,0.1344
2013/11/1,5778.09,4.33,31.93,1334.43,8.27%,180.96,17.27%,0.1356
2013/11/8,5482.29,4.1,30.26,1337.14,8.73%,181.17,17.50%,0.1355
2013/11/15,5742.41,4.3,31.71,1335.44,8.48%,181.09,17.47%,0.1356
2013/11/22,5754.53,4.3,31.73,1338.26,8.80%,181.36,17.75%,0.1355
2013/11/29,5925.44,4.44,32.73,1334.56,8.56%,181.04,17.68%,0.1357
2013/12/6,5898.05,4.42,32.66,1334.4,8.60%,180.59,17.20%,0.1353
2013/12/13,5883.74,4.42,32.66,1331.16,8.54%,180.15,17.18%,0.1353
2013/12/20,5785.75,4.37,32.23,1323.97,8.19%,179.51,17.11%,0.1356
2013/12/27,5939.71,4.48,33.21,1325.83,7.95%,178.85,16.73%,0.1349
2014/1/3,6062.39,4.6,33.84,1317.91,8.25%,179.15,14.73%,0.1359
2014/1/10,5884.73,4.46,32.83,1319.45,8.00%,179.25,14.62%,0.1359
2014/1/17,5882.2,4.45,32.85,1321.84,8.33%,179.06,14.54%,0.1355
2014/1/24,6038.28,4.56,33.66,1324.18,8.57%,179.39,14.69%,0.1355
2014/1/30,6030.42,4.54,33.55,1328.29,8.60%,179.74,14.67%,0.1353
2014/2/7,6041.21,4.55,33.59,1327.74,7.86%,179.85,14.52%,0.1355
2014/2/14,6280.75,4.74,35.01,1325.05,7.92%,179.4,13.96%,0.1354
2014/2/21,6347.53,4.76,35.43,1333.51,8.20%,179.16,13.21%,0.1343
2014/2/28,6092.07,4.58,34.04,1330.15,7.99%,178.97,12.80%,0.1345
