date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2009/2/27,2078.83,2.23,14.17,932.21,,146.71,,0.1574
2009/3/6,2195.2,2.32,14.72,946.21,,149.13,,0.1576
2009/3/13,2125.55,2.26,14.39,940.51,,147.71,,0.1571
2009/3/20,2253.33,2.38,15.24,946.78,,147.86,,0.1562
2009/3/27,2366.38,2.42,16.29,977.84,,145.27,,0.1486
2009/4/3,2421.09,2.45,16.71,988.2,,144.89,,0.1466
2009/4/10,2404.99,2.45,16.75,981.63,,143.58,,0.1463
2009/4/17,2458.25,2.5,17.77,983.3,,138.34,,0.1407
2009/4/24,2397.2,2.45,18.47,978.45,,129.79,,0.1326
2009/4/30,2429.19,2.41,20.82,1007.96,,116.68,,0.1158
2009/5/8,2597.19,2.55,22.1,1018.51,,117.52,,0.1154
2009/5/15,2605.43,2.58,22.3,1009.86,,116.84,,0.1157
2009/5/22,2542.35,2.52,21.83,1008.87,,116.46,,0.1154
2009/5/27,2559.3,2.57,22.22,995.84,,115.18,,0.1157
2009/6/5,2754.57,2.75,23.35,1001.66,,117.97,,0.1178
2009/6/12,2734.93,2.78,23.48,983.79,,116.48,,0.1184
2009/6/19,2888.73,2.95,24.82,979.23,,116.39,,0.1189
2009/6/26,2978.33,3.06,25.44,973.31,,117.07,,0.1203
2009/7/3,3138.44,3.27,26.77,959.77,,117.24,,0.1222
2009/7/10,3203.0,3.25,26.6,985.54,,120.41,,0.1222
2009/7/17,3333.52,3.32,27.12,1004.07,,122.92,,0.1224
2009/7/24,3481.37,3.57,29.11,975.17,,119.59,,0.1226
2009/7/31,3663.86,3.63,29.59,1009.33,,123.82,,0.1227
2009/8/7,3412.97,3.41,27.84,1000.87,,122.59,,0.1225
2009/8/14,3187.06,3.19,26.03,999.08,,122.44,,0.1226
2009/8/21,3045.97,3.08,25.83,988.95,,117.92,,0.1192
2009/8/28,2809.38,2.88,24.18,975.48,,116.19,,0.1191
2009/9/4,2851.48,2.86,24.37,997.02,,117.01,,0.1174
2009/9/11,2993.76,2.98,25.44,1004.62,,117.68,,0.1171
2009/9/18,2918.26,2.94,24.91,992.61,,117.15,,0.118
2009/9/25,2787.24,2.84,24.04,981.42,,115.94,,0.1181
2009/9/30,2732.03,2.79,23.7,979.22,,115.28,,0.1177
2009/10/9,2867.37,2.92,24.76,981.98,,115.81,,0.1179
2009/10/16,2937.9,2.97,25.19,989.19,,116.63,,0.1179
2009/10/23,3082.77,3.09,26.06,997.66,,118.3,,0.1186
2009/10/30,2940.41,2.86,23.98,1028.12,,122.62,,0.1193
2009/11/6,3122.27,3.0,24.94,1040.76,,125.19,,0.1203
2009/11/13,3139.7,2.99,24.92,1050.07,,125.99,,0.12
2009/11/20,3230.0,3.09,25.76,1045.31,,125.39,,0.12
2009/11/27,3009.49,2.88,24.08,1044.96,,124.98,,0.1196
2009/12/4,3273.5,3.09,25.89,1059.39,,126.44,,0.1194
2009/12/11,3191.43,3.0,25.14,1063.81,,126.95,,0.1193
2009/12/18,3078.61,2.93,24.5,1050.72,,125.66,,0.1196
2009/12/25,3069.03,2.93,24.49,1047.45,,125.32,,0.1196
2009/12/31,3251.24,3.09,25.82,1052.18,,125.92,,0.1197
2010/1/8,3127.45,2.98,24.87,1049.48,,125.75,,0.1198
2010/1/15,3075.08,2.95,24.66,1042.4,,124.7,,0.1196
2010/1/22,2987.51,2.89,24.1,1033.74,,123.96,,0.1199
2010/1/29,2807.44,2.74,22.96,1024.61,,122.28,,0.1193
2010/2/5,2757.0,2.69,22.58,1024.91,,122.1,,0.1191
2010/2/12,2852.22,2.77,23.18,1029.68,,123.05,,0.1195
2010/2/26,2848.82,2.75,23.07,1035.93,11.13%,123.49,-15.83%,0.1192
2010/3/5,2837.9,2.73,22.83,1039.52,9.86%,124.31,-16.65%,0.1196
2010/3/12,2850.85,2.74,22.92,1040.46,10.63%,124.38,-15.79%,0.1195
2010/3/19,2884.82,2.76,23.09,1045.22,10.40%,124.94,-15.50%,0.1195
2010/3/26,2847.22,2.71,22.68,1050.63,7.44%,125.54,-13.58%,0.1195
2010/4/2,2944.11,2.77,22.37,1062.86,7.55%,131.61,-9.16%,0.1238
2010/4/9,2900.17,2.7,21.5,1074.14,9.42%,134.89,-6.05%,0.1256
2010/4/16,2861.28,2.68,21.3,1067.64,8.58%,134.33,-2.89%,0.1258
2010/4/23,2642.03,2.49,18.5,1061.06,8.44%,142.81,10.03%,0.1346
2010/4/30,2624.57,2.36,16.25,1112.11,10.33%,161.51,38.43%,0.1452
2010/5/7,2402.91,2.18,15.02,1102.25,8.22%,159.98,36.13%,0.1451
2010/5/14,2455.03,2.23,15.32,1100.91,9.02%,160.25,37.16%,0.1456
2010/5/21,2370.77,2.15,14.78,1102.68,9.30%,160.4,37.73%,0.1455
2010/5/28,2394.7,2.2,14.92,1088.5,9.31%,160.5,39.35%,0.1475
2010/6/4,2294.79,2.13,14.33,1077.37,7.56%,160.14,35.75%,0.1486
2010/6/11,2277.04,2.12,14.24,1074.08,9.18%,159.9,37.28%,0.1489
2010/6/18,2263.54,2.11,14.14,1072.77,9.55%,160.08,37.54%,0.1492
2010/6/25,2311.66,2.16,14.47,1070.21,9.96%,159.76,36.46%,0.1493
2010/7/2,2211.36,2.07,13.29,1068.29,11.31%,166.39,41.93%,0.1558
2010/7/9,2287.1,2.15,13.62,1063.77,7.94%,167.92,39.45%,0.1579
2010/7/16,2255.01,2.1,13.31,1073.81,6.95%,169.42,37.83%,0.1578
2010/7/23,2376.34,2.21,13.98,1075.27,10.26%,169.98,42.13%,0.1581
2010/7/30,2432.02,2.25,14.22,1080.9,7.09%,171.03,38.13%,0.1582
2010/8/6,2411.25,2.23,14.13,1081.28,8.03%,170.65,39.20%,0.1578
2010/8/13,2357.45,2.16,13.68,1091.41,9.24%,172.33,40.75%,0.1579
2010/8/20,2394.81,2.19,13.77,1093.52,10.57%,173.92,47.48%,0.159
2010/8/27,2340.97,2.1,13.03,1114.75,14.28%,179.66,54.63%,0.1612
2010/9/3,2345.08,2.09,12.87,1122.05,12.54%,182.21,55.73%,0.1624
