date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2001/1/5,15447.6104,2.9666,58.7661,5207.18,,262.87,,0.0505
2001/1/12,15295.4199,2.9035,57.5148,5267.92,,265.94,,0.0505
2001/1/19,15933.5498,3.015,59.7116,5284.76,,266.84,,0.0505
2001/1/23,16044.21,3.0512,60.4345,5258.33,,265.48,,0.0505
2001/2/2,16071.29,3.0424,60.2509,5282.44,,266.74,,0.0505
2001/2/9,15873.2803,2.999,59.3784,5292.86,,267.32,,0.0505
2001/2/16,15630.3096,2.9571,58.5268,5285.69,,267.06,,0.0505
2001/2/23,15280.5596,2.8909,57.1911,5285.74,,267.18,,0.0505
2001/3/2,13966.4297,2.6554,52.5153,5259.63,,265.95,,0.0506
2001/3/9,14194.3496,2.6857,53.113,5285.16,,267.25,,0.0506
2001/3/16,13522.04,2.5541,50.5229,5294.25,,267.64,,0.0506
2001/3/23,12583.3604,2.2325,41.63399999999999,5636.44,,302.24,,0.0536
2001/3/30,12760.6396,2.2318,41.6146,5717.64,,306.64,,0.0536
2001/4/6,12386.6104,2.1298,37.3074,5815.86,,332.01,,0.0571
2001/4/12,12989.4697,2.2256,38.9858,5836.39,,333.18,,0.0571
2001/4/20,13448.1299,2.2987,40.2661,5850.32,,333.98,,0.0571
2001/4/27,13386.04,2.283,39.9918,5863.36,,334.72,,0.0571
2001/5/4,13390.9902,2.289,40.0957,5850.15,,333.98,,0.0571
2001/5/11,13636.6104,2.3215,40.665,5874.05,,335.34,,0.0571
2001/5/18,13459.1797,2.2972,40.2403,5858.95,,334.47,,0.0571
2001/5/25,13753.9902,2.3425,41.0339,5871.5,,335.19,,0.0571
2001/6/1,13141.3799,2.2991,39.6581,5715.88,,331.37,,0.058
2001/6/8,13808.8896,2.4138,41.6371,5720.81,,331.65,,0.058
2001/6/15,13102.5,2.2847,39.4086,5734.89,,332.48,,0.058
2001/6/22,13174.0195,2.2848,39.4109,5765.94,,334.27,,0.058
2001/6/29,13042.5303,2.2587,38.9611,5774.35,,334.76,,0.058
2001/7/5,12999.4805,2.0707,55.7415,6277.82,,233.21,,0.0371
2001/7/13,12612.79,2.0078,54.0497,6281.9,,233.36,,0.0371
2001/7/20,12301.6797,1.9588,52.7287,6280.21,,233.3,,0.0371
2001/7/27,12182.1699,1.9311,51.9835,6308.41,,234.35,,0.0371
2001/8/3,12269.0801,1.9535,45.0468,6280.56,,272.36,,0.0434
2001/8/10,11765.8096,1.8699,43.1193,6292.21,,272.87,,0.0434
2001/8/17,11754.8096,1.8742,43.218,6271.91,,271.99,,0.0434
2001/8/24,11110.2998,1.769,40.8067,6280.55,,272.27,,0.0434
2001/8/31,11090.4805,1.755,40.4838,6319.36,,273.95,,0.0434
2001/9/7,10384.2002,1.6531,38.1327,6281.65,,272.32,,0.0434
2001/9/14,9655.4502,1.5378,35.4742,6278.74,,272.18,,0.0433
2001/9/21,8934.2002,1.4476,32.8807,6171.73,,271.72,,0.044
2001/9/28,9950.7002,1.6078,36.5208,6189.02,,272.47,,0.044
2001/10/5,10277.3799,1.6843,38.0159,6101.87,,270.34,,0.0443
2001/10/12,10274.1299,1.685,38.0313,6097.41,,270.15,,0.0443
2001/10/19,9825.8398,1.6136,36.42,6089.39,,269.79,,0.0443
2001/10/26,10404.7402,1.7072,38.5342,6094.62,,270.01,,0.0443
2001/11/2,10186.0596,1.6683,37.6564,6105.65,,270.5,,0.0443
2001/11/9,10609.25,1.7405,39.284,6095.52,,270.07,,0.0443
2001/11/16,11287.3701,1.8587,41.9523,6072.72,,269.05,,0.0443
2001/11/23,11322.3604,1.8628,42.0451,6078.14,,269.29,,0.0443
2001/11/30,11279.25,1.8503,41.7635,6095.9,,270.07,,0.0443
2001/12/7,11832.1797,1.9427,43.8491,6090.59,,269.84,,0.0443
2001/12/14,11466.1104,1.8815,42.4677,6094.13,,270.0,,0.0443
2001/12/21,11158.0996,1.8337,41.3881,6085.02,16.86%,269.6,2.56%,0.0443
2001/12/28,11431.5898,1.8769,42.3627,6090.68,15.62%,269.85,1.47%,0.0443
2002/1/4,11702.1504,1.9257,16.5616,6076.83,14.99%,706.58,164.79%,0.1163
2002/1/11,11166.46,1.8384,15.8114,6074.01,15.51%,706.23,166.02%,0.1163
2002/1/18,10972.96,1.8043,15.5175,6081.56,15.13%,707.13,165.10%,0.1163
2002/1/25,10772.96,1.7697,15.2201,6087.45,15.01%,707.81,164.78%,0.1163
2002/2/1,10691.25,1.7525,15.072,6100.57,15.42%,709.35,165.61%,0.1163
2002/2/8,10518.9902,1.7224,14.8138,6107.17,15.54%,710.08,165.76%,0.1163
2002/2/15,10961.8799,1.7905,15.3993,6122.25,16.40%,711.84,167.66%,0.1163
2002/2/22,10664.9404,1.7431,14.9917,6118.38,15.77%,711.39,166.19%,0.1163
2002/3/1,10425.3096,1.7041,14.6557,6117.78,15.56%,711.35,165.78%,0.1163
2002/3/8,11233.2305,1.8338,15.7715,6125.66,8.68%,712.25,135.66%,0.1163
2002/3/15,11210.25,1.8248,15.6937,6143.28,7.44%,714.32,132.95%,0.1163
2002/3/22,10863.0703,1.773,15.2484,6126.94,5.35%,712.41,114.57%,0.1163
2002/3/28,11032.9199,1.8002,15.4829,6128.72,5.01%,712.59,113.87%,0.1163
2002/4/4,10831.3701,1.7667,15.1943,6130.85,4.80%,712.86,113.44%,0.1163
2002/4/12,10710.4805,1.7408,14.8721,6152.62,4.93%,720.17,115.16%,0.1171
2002/4/19,11252.1797,1.8197,18.5803,6183.54,5.70%,605.6,81.33%,0.0979
2002/4/26,11385.0801,1.8449,18.7522,6171.11,5.06%,607.13,81.05%,0.0984
2002/5/3,11797.2197,1.8732,19.6926,6297.9,7.49%,599.07,79.11%,0.0951
2002/5/10,11645.9004,1.8481,19.4948,6301.55,7.32%,597.38,78.22%,0.0948
2002/5/17,11974.6104,1.897,20.0105,6312.39,10.44%,598.42,80.59%,0.0948
2002/5/24,11626.7803,1.8404,19.4136,6317.53,10.43%,598.9,80.58%,0.0948
2002/5/31,11301.9404,1.7849,18.8283,6331.97,10.41%,600.26,80.54%,0.0948
2002/6/7,11284.71,1.7827,18.8052,6330.12,9.78%,600.08,79.52%,0.0948
2002/6/14,10955.5195,1.7324,18.1262,6323.9,9.52%,604.4,80.55%,0.0956
2002/6/21,10591.8604,1.6747,17.523,6324.63,0.75%,604.45,159.19%,0.0956
2002/6/28,10598.5498,1.6723,17.4978,6337.71,0.89%,605.71,159.56%,0.0956
2002/7/5,10806.1602,1.7035,17.945,6343.5,1.01%,602.18,158.11%,0.0949
2002/7/12,10648.2998,1.6769,17.6643,6349.99,0.66%,602.81,157.23%,0.0949
2002/7/19,10325.46,1.6267,17.1353,6347.49,1.07%,602.58,121.24%,0.0949
2002/7/26,9773.1201,1.5331,16.1501,6374.74,1.31%,605.14,121.77%,0.0949
2002/8/2,9991.7197,1.5681,16.4988,6371.86,1.59%,605.6,122.66%,0.095
2002/8/9,10014.0596,1.5369,16.6849,6515.75,3.74%,600.19,120.44%,0.0921
2002/8/16,10265.04,1.5721,17.0674,6529.51,3.33%,601.44,119.55%,0.0921
2002/8/23,10245.6904,1.569,17.0379,6530.08,3.95%,601.35,120.83%,0.0921
2002/8/30,10043.8701,1.5153,16.4243,6628.3,5.57%,611.53,124.67%,0.0923
2002/9/6,9720.8604,1.4639,15.8563,6640.39,7.59%,613.06,125.63%,0.0923
2002/9/13,9650.9697,1.4549,15.8697,6633.42,7.18%,608.14,123.20%,0.0917
2002/9/20,9328.2197,1.3987,15.3794,6669.21,9.30%,606.54,124.36%,0.0909
2002/9/27,9294.46,1.3936,15.3232,6669.39,9.38%,606.56,124.53%,0.0909
2002/10/4,9051.3701,1.3408,14.9496,6750.72,10.86%,605.46,124.42%,0.0897
2002/10/11,8965.7305,1.3269,14.7949,6756.9,10.87%,606.0,124.43%,0.0897
2002/10/18,9613.0703,1.4342,15.9097,6702.74,9.78%,604.23,123.37%,0.0901
2002/10/25,9722.54,1.455,16.1717,6682.16,9.62%,601.21,122.62%,0.09
2002/11/1,9407.6797,1.4051,15.6889,6695.38,10.25%,599.64,122.87%,0.0896
2002/11/8,9770.6797,1.462,16.3239,6683.09,9.95%,598.55,122.27%,0.0896
2002/11/15,9865.6504,1.4819,16.5459,6657.43,9.21%,596.26,120.78%,0.0896
2002/11/22,10065.3203,1.5089,16.847,6670.63,9.52%,597.45,121.41%,0.0896
2002/11/29,10069.8701,1.518,16.8952,6633.64,8.85%,596.02,120.75%,0.0898
2002/12/6,9973.75,1.5344,17.0722,6500.1,6.82%,584.21,116.70%,0.0899
2002/12/13,9728.4297,1.4909,16.5881,6525.21,7.13%,586.47,117.33%,0.0899
2002/12/20,9628.6904,1.4744,16.4044,6530.58,7.47%,586.96,-16.93%,0.0899
2002/12/27,9445.2598,1.4459,16.0883,6532.44,7.55%,587.09,-16.87%,0.0899
2003/1/3,9583.8496,1.4869,16.3949,6445.52,5.98%,584.56,-17.33%,0.0907
2003/1/10,9721.5,1.5047,16.5792,6460.76,6.13%,586.37,-17.16%,0.0908
2003/1/17,9614.5898,1.4912,16.4306,6447.55,5.69%,585.16,-17.51%,0.0908
2003/1/24,9460.5996,1.4702,16.1998,6434.91,5.37%,583.99,-17.76%,0.0908
2003/1/30,9258.9502,1.4377,15.8414,6440.11,5.19%,584.48,-17.89%,0.0908
2003/2/7,9150.9502,1.4174,15.6177,6456.15,5.52%,585.93,-17.64%,0.0908
2003/2/14,9201.7598,1.4246,15.6964,6459.19,5.58%,586.23,-17.59%,0.0908
2003/2/21,9250.8604,1.4308,15.765,6465.52,5.55%,586.8,-17.61%,0.0908
2003/2/28,9122.6602,1.4051,15.4819,6492.53,5.69%,589.25,-17.51%,0.0908
2003/3/7,8907.0996,1.3689,15.0897,6506.76,6.20%,590.28,-17.14%,0.0907
2003/3/14,8956.1699,1.3767,15.2677,6505.53,6.15%,586.61,-17.68%,0.0902
2003/3/21,9179.1904,1.4161,15.7096,6482.02,5.73%,584.3,-18.03%,0.0901
2003/3/28,8863.3604,1.3586,14.0627,6523.89,6.03%,630.27,-12.48%,0.0966
2003/4/4,8822.4502,1.3119,13.5261,6724.94,8.76%,652.25,7.70%,0.097
2003/4/11,8645.6504,1.2802,13.1623,6753.36,9.44%,656.85,8.19%,0.0973
2003/4/17,8579.1396,1.2674,13.0355,6769.09,7.48%,658.14,9.86%,0.0972
2003/4/25,8409.0098,1.2441,12.7685,6759.11,7.26%,658.57,10.24%,0.0974
2003/5/2,8808.1797,1.3073,13.4173,6737.69,6.74%,656.48,9.70%,0.0974
2003/5/9,9084.1602,1.3486,13.7382,6735.99,6.62%,661.23,10.41%,0.0982
2003/5/16,9093.1797,1.3523,13.7765,6724.23,6.19%,660.05,9.96%,0.0982
2003/5/23,9303.7305,1.3808,14.0671,6737.93,6.44%,661.38,10.21%,0.0982
