date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2005/4/8,1003.45,1.7311,19.18,579.66,,52.32,,0.0903
2005/4/15,974.08,1.6683,18.9805,583.88,,51.32,,0.0879
2005/4/22,939.1,1.5626,19.1501,600.99,,49.04,,0.0816
2005/4/29,932.4,1.5254,20.0213,611.25,,46.57,,0.0762
2005/5/13,887.54,1.4657,19.2013,605.54,,46.22,,0.0763
2005/5/20,882.76,1.4664,18.978,601.99,,46.51,,0.0773
2005/5/27,849.51,1.4305,18.1166,593.86,,46.89,,0.079
2005/6/3,818.03,1.3895,17.4468,588.72,,46.89,,0.0796
2005/6/10,894.56,1.507,18.8333,593.6,,47.5,,0.08
2005/6/17,880.34,1.4627,18.3124,601.86,,48.07,,0.0799
2005/6/24,898.3,1.4886,18.7949,603.45,,47.79,,0.0792
2005/7/1,859.49,1.4086,16.8222,610.17,,51.09,,0.0837
2005/7/8,829.49,1.3305,16.1003,623.44,,51.52,,0.0826
2005/7/15,841.0,1.3167,15.941,638.72,,52.76,,0.0826
2005/7/22,859.46,1.3358,16.1568,643.4,,53.19,,0.0827
2005/7/29,888.16,1.3911,16.8414,638.46,,52.74,,0.0826
2005/8/5,923.8,1.4725,18.0352,627.37,,51.22,,0.0816
2005/8/12,938.32,1.5059,18.4197,623.1,,50.94,,0.0818
2005/8/19,923.04,1.486,17.8647,621.16,,51.67,,0.0832
2005/8/26,928.26,1.5018,18.4732,618.1,,50.25,,0.0813
2005/9/2,947.87,1.5467,19.5134,612.83,,48.58,,0.0793
2005/9/9,949.07,1.5584,19.658,609.0,,48.28,,0.0793
2005/9/16,967.49,1.612,20.1537,600.18,,48.01,,0.08
2005/9/23,916.15,1.5062,19.0403,608.25,,48.12,,0.0791
2005/9/30,917.39,1.4942,19.1094,613.97,,48.01,,0.0782
2005/10/14,904.83,1.4786,18.9233,611.95,,47.82,,0.0781
2005/10/21,904.41,1.4704,18.9093,615.08,,47.83,,0.0778
2005/10/28,867.73,1.3461,18.328,644.63,,47.34,,0.0734
2005/11/4,878.36,1.3621,19.7397,644.86,,44.5,,0.069
2005/11/11,864.79,1.3291,19.1192,650.66,,45.23,,0.0695
2005/11/18,882.24,1.3613,19.4342,648.09,,45.4,,0.07
2005/11/25,884.1,1.3513,19.2628,654.26,,45.9,,0.0702
2005/12/2,869.94,1.318,19.0313,660.05,,45.71,,0.0693
2005/12/9,887.36,1.3308,19.376,666.79,,45.8,,0.0687
2005/12/16,902.56,1.3568,19.7663,665.21,,45.66,,0.0686
2005/12/23,915.89,1.3691,20.0052,668.97,,45.78,,0.0684
2005/12/30,923.45,1.3755,20.1416,671.36,,45.85,,0.0683
2006/1/6,970.03,1.4352,19.7311,675.88,,49.16,,0.0727
2006/1/13,978.81,1.474,20.0263,664.05,,48.88,,0.0736
2006/1/20,993.34,1.4952,20.4327,664.35,,48.62,,0.0732
2006/1/25,1009.6,1.5032,20.9386,671.63,,48.22,,0.0718
2006/2/10,1032.34,1.5489,21.3739,666.5,,48.3,,0.0725
2006/2/17,1020.37,1.4976,20.661,681.34,,49.39,,0.0725
2006/2/24,1049.44,1.5345,21.3033,683.9,,49.26,,0.072
2006/3/3,1041.68,1.513,21.1619,688.49,,49.22,,0.0715
2006/3/10,1008.9,1.4605,21.0171,690.79,,48.0,,0.0695
2006/3/17,1024.02,1.477,21.4443,693.31,,47.75,,0.0689
2006/3/24,1042.6,1.4934,21.8956,698.14,,47.62,,0.0682
2006/3/31,1061.09,1.4954,22.3318,709.57,,47.51,,0.067
2006/4/7,1103.15,1.5543,23.22300000000001,709.74,,47.5,,0.0669
2006/4/14,1118.61,1.569,24.2705,712.94,22.99%,46.09,-11.90%,0.0646
2006/4/21,1149.16,1.5401,26.0241,746.16,27.79%,44.16,-13.96%,0.0592
2006/4/28,1172.35,1.5218,30.0886,770.37,28.18%,38.96,-20.55%,0.0506
2006/5/12,1296.26,1.6859,36.2882,768.88,25.79%,35.72,-23.30%,0.0465
2006/5/19,1366.1,1.7894,37.7747,763.44,26.08%,36.16,-21.76%,0.0474
2006/5/26,1331.02,1.7595,36.55,756.48,25.66%,36.42,-21.71%,0.0481
2006/6/2,1390.12,1.8854,39.1313,737.31,24.16%,35.52,-24.24%,0.0482
2006/6/9,1294.19,1.7377,36.0294,744.77,26.51%,35.92,-23.39%,0.0482
2006/6/16,1318.01,1.7678,36.6494,745.57,25.60%,35.96,-24.29%,0.0482
2006/6/23,1339.45,1.7971,36.4312,745.34,23.84%,36.77,-23.52%,0.0493
2006/6/30,1393.96,1.865,38.6346,747.43,23.86%,36.08,-24.51%,0.0483
2006/7/7,1410.43,2.0688,32.1128,681.76,11.73%,43.92,-14.04%,0.0644
2006/7/14,1357.13,1.9698,31.0984,688.97,10.51%,43.64,-15.30%,0.0633
2006/7/21,1356.03,1.9802,30.8505,684.79,7.21%,43.95,-16.68%,0.0642
2006/7/28,1341.39,1.9542,30.7895,686.41,6.68%,43.57,-18.10%,0.0635
2006/8/4,1241.91,1.785,28.15,695.75,8.97%,44.12,-16.34%,0.0634
2006/8/11,1275.65,1.8278,28.7962,697.92,11.24%,44.3,-13.52%,0.0635
2006/8/18,1267.87,1.8022,26.8122,703.51,12.91%,47.29,-7.17%,0.0672
2006/8/25,1295.44,1.817,27.0999,712.96,14.78%,47.8,-7.48%,0.067
2006/9/1,1318.1,1.8453,27.4035,714.3,15.56%,48.1,-4.28%,0.0673
2006/9/8,1332.15,1.8557,27.3524,717.87,17.14%,48.7,0.26%,0.0678
2006/9/15,1362.32,1.8877,27.8753,721.68,18.50%,48.87,1.23%,0.0677
