date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2013/7/2,,2.3036,38.0267,,,,,0.061
2013/7/5,,2.3166,37.9997,,,,,0.061
2013/7/12,,2.3751,37.9073,,,,,0.063
2013/7/19,,2.3339,37.117,,,,,0.063
2013/7/26,,2.3444,38.4437,,,,,0.061
2013/8/2,,2.4056,38.6737,,,,,0.062
2013/8/9,,2.5,38.88,,,,,0.064
2013/8/16,,2.4863,40.4234,,,,,0.062
2013/8/23,,2.5095,42.0032,,,,,0.06
2013/8/30,,2.4792,47.5353,,,,,0.052
2013/9/6,,2.5398,46.8557,,,,,0.054
2013/9/13,,2.6293,49.1635,,,,,0.053
2013/9/18,,2.5889,48.6959,,,,,0.053
2013/9/27,,2.5863,47.5208,,,,,0.054
2013/9/30,,2.6111,47.8206,,,,,0.055
2013/10/11,,2.6972,46.6556,,,,,0.058
2013/10/18,,2.7096,48.0717,,,,,0.056
2013/10/25,,2.5610000000000004,45.4025,,,,,0.056
2013/11/1,,2.47,46.2963,,,,,0.053
2013/11/8,,2.4579,45.5311,,,,,0.054
2013/11/15,,2.5222,48.5093,,,,,0.052
2013/11/22,,2.6012,46.9021,,,,,0.055
2013/11/29,,2.6492,48.005,,,,,0.055
2013/12/6,,2.6497,48.5915,,,,,0.055
2013/12/13,,2.6674,49.1832,,,,,0.054
2013/12/20,,2.5243,21.6551,,,,,0.117
2013/12/27,,2.5748,21.9333,,,,,0.117
2014/1/3,,2.5677,21.9728,,,,,0.117
2014/1/10,,2.3985,20.7101,,,,,0.116
2014/1/17,,2.4085,20.7751,,,,,0.116
2014/1/24,,2.4928,21.3619,,,,,0.117
2014/1/30,,2.4092,20.6258,,,,,0.117
2014/2/7,,2.435,20.8034,,,,,0.117
2014/2/14,,2.5767,22.3305,,,,,0.115
2014/2/21,,2.555,22.2362,,,,,0.115
2014/2/28,,2.4715,21.5801,,,,,0.115
2014/3/7,,2.4946,22.1352,,,,,0.113
2014/3/14,,2.5023,22.5755,,,,,0.111
2014/3/21,,2.5324,21.8085,,,,,0.116
2014/3/28,,2.4631,20.8863,,,,,0.118
2014/4/4,,2.5091,21.4771,,,,,0.117
2014/4/11,,2.5856,22.2782,,,,,0.116
2014/4/18,,2.5795,22.9899,,,,,0.112
2014/4/25,,2.4555,23.0465,,,,,0.107
2014/4/30,,2.3719,26.4434,,,,,0.09
2014/5/9,,2.3566,26.2883,,,,,0.09
2014/5/16,,2.3949,26.3145,,,,,0.091
2014/5/23,,2.412,26.2595,,,,,0.092
2014/5/30,,2.4208,26.6996,,,,,0.091
2014/6/6,,2.4072,26.4421,,,,,0.091
2014/6/13,,2.4303,26.8967,,,,,0.09
2014/6/20,,2.3598,26.1115,,,,,0.09
2014/6/27,,2.4229,26.4033,,,,,0.092
2014/7/4,,2.5009,27.1164,,,,,0.092
2014/7/11,,2.4691,26.7963,,,,,0.092
2014/7/18,,2.5431,27.7822,,,,,0.092
2014/7/25,,2.5632,28.0019,,,,,0.092
2014/8/1,,2.6274,28.7073,,,,,0.092
2014/8/8,,2.6564,29.2633,,,,,0.091
2014/8/15,,2.7278,29.426,,,,,0.093
2014/8/22,,2.7573,29.8169,,,,,0.092
2014/8/29,,2.6757,28.9923,,,,,0.092
2014/9/5,,2.8008,30.8472,,,,,0.091
2014/9/12,,2.8375,31.4265,,,,,0.09
2014/9/19,,2.8883,31.6752,,,,,0.091
2014/9/26,,2.9224,32.0236,,,,,0.091
2014/9/30,,2.9688,32.3721,,,,,0.092
