date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2006/1/25,1270.83,1.7,10.99,747.55,,115.64,,0.1547
2006/2/10,1313.82,1.75,11.31,750.75,,116.16,,0.1547
2006/2/17,1312.57,1.73,11.27,758.71,,116.47,,0.1535
2006/2/24,1343.83,1.78,11.67,754.96,,115.15,,0.1525
2006/3/3,1317.52,1.74,11.46,757.2,,114.97,,0.1518
2006/3/10,1263.43,1.63,10.93,775.11,,115.59,,0.1491
2006/3/17,1302.68,1.62,11.85,804.12,,109.93,,0.1367
2006/3/24,1338.49,1.62,12.23,826.23,,109.44,,0.1325
2006/3/31,1389.01,1.67,12.71,831.74,,109.28,,0.1314
2006/4/7,1451.91,1.73,13.21,839.25,,109.91,,0.131
2006/4/14,1481.21,1.79,14.58,827.49,,101.59,,0.1228
2006/4/21,1521.48,1.83,15.28,831.41,,99.57,,0.1198
2006/4/28,1503.23,1.74,14.53,863.93,,103.46,,0.1198
2006/5/12,1606.3,1.84,15.49,872.99,,103.7,,0.1188
2006/5/19,1714.32,1.95,16.48,879.14,,104.02,,0.1183
2006/5/26,1700.36,1.88,16.14,904.45,,105.35,,0.1165
2006/6/2,1736.0,1.92,16.47,904.17,,105.4,,0.1166
2006/6/9,1640.68,1.82,15.68,901.47,,104.64,,0.1161
2006/6/16,1677.43,1.86,15.94,901.84,,105.23,,0.1167
2006/6/23,1678.22,1.86,16.36,902.27,,102.58,,0.1137
2006/6/30,1768.04,1.97,17.01,897.48,,103.94,,0.1158
2006/7/7,1786.91,2.0,17.14,893.46,,104.25,,0.1167
2006/7/14,1741.3,1.92,16.28,906.93,,106.96,,0.1179
2006/7/21,1737.04,1.92,16.18,904.71,,107.36,,0.1187
2006/7/28,1698.33,1.87,15.71,908.2,,108.11,,0.119
2006/8/4,1574.07,1.72,14.38,915.16,,109.46,,0.1196
2006/8/11,1613.31,1.75,14.95,921.89,,107.91,,0.1171
2006/8/18,1614.17,1.71,13.99,943.96,,115.38,,0.1222
2006/8/25,1640.24,1.72,13.95,953.63,,117.58,,0.1233
2006/9/1,1692.65,1.77,14.18,956.3,,119.37,,0.1248
2006/9/8,1683.24,1.75,14.06,961.85,,119.72,,0.1245
2006/9/15,1718.49,1.79,14.36,960.05,,119.67,,0.1247
2006/9/22,1739.11,1.8,14.42,966.17,,120.6,,0.1248
2006/9/29,1759.35,1.82,14.58,966.68,,120.67,,0.1248
2006/10/13,1787.4,1.87,15.02,955.83,,119.0,,0.1245
2006/10/20,1830.0,1.89,15.21,968.25,,120.32,,0.1243
2006/10/27,1841.09,1.88,14.87,979.3,,123.81,,0.1264
2006/11/3,1913.82,1.93,14.04,991.62,,136.31,,0.1375
2006/11/10,1918.9,1.92,14.01,999.43,,136.97,,0.137
2006/11/17,2003.78,2.0,14.54,1001.89,,137.81,,0.1376
2006/11/24,2083.34,2.08,15.11,1001.61,,137.88,,0.1377
