date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2013/12/19,4650.81,1.3635,8.7021,3410.94,,534.45,,0.157
2013/12/20,4529.74,1.3271,8.4607,3413.26,,535.39,,0.157
2013/12/27,4604.8,1.3378,8.5372,3442.07,,539.38,,0.157
2014/1/3,4556.92,1.3179,8.4243,3457.71,,540.93,,0.156
2014/1/10,4394.89,1.2671,8.1319,3468.46,,540.45,,0.156
2014/1/17,4368.97,1.2524,8.0337,3488.48,,543.83,,0.156
2014/1/24,4516.16,1.2891,8.2536,3503.34,,547.17,,0.156
2014/1/30,4512.02,1.28,8.177,3525.02,,551.79,,0.157
2014/2/7,4553.62,1.286,8.2039,3540.92,,555.06,,0.157
2014/2/14,4698.54,1.3285,8.4645,3536.73,,555.09,,0.157
2014/2/21,4709.11,1.3263,8.4536,3550.56,,557.05,,0.157
2014/2/28,4558.54,1.2842,8.1896,3549.71,,556.63,,0.157
2014/3/7,4567.1,1.2783,8.1659,3572.79,,559.29,,0.157
2014/3/14,4526.83,1.2589,8.0869,3595.86,,559.77,,0.156
2014/3/21,4599.69,1.2888,8.3945,3568.97,,547.94,,0.154
2014/3/28,4595.04,1.289,8.4968,3564.81,,540.8,,0.152
2014/4/4,4654.64,1.2872,8.5434,3616.1,,544.82,,0.151
2014/4/11,4828.21,1.3328,8.8542,3622.61,,545.3,,0.151
2014/4/18,4737.4,1.2982,8.676,3649.21,,546.04,,0.15
2014/4/25,4571.85,1.2564,8.4358,3638.85,,541.96,,0.149
2014/4/30,4575.46,1.2145,8.3805,3767.36,,545.97,,0.145
2014/5/9,4513.96,1.2085,8.3177,3735.18,,542.69,,0.145
2014/5/16,4557.93,1.2222,8.402000000000001,3729.28,,542.48,,0.145
2014/5/23,4551.87,1.2292,8.4146,3703.12,,540.95,,0.146
2014/5/30,4542.18,1.2264,8.4175,3703.67,,539.61,,0.146
2014/6/6,4513.37,1.2187,8.3554,3703.43,,540.17,,0.146
2014/6/13,4583.93,1.2394,8.4936,3698.51,,539.69,,0.146
2014/6/20,4476.14,1.2209,8.3203,3666.26,,537.98,,0.147
2014/6/27,4516.08,1.2358,8.3585,3654.38,,540.3,,0.148
2014/7/4,4589.37,1.2557,8.4527,3654.83,,542.95,,0.149
