date,cp,pb,pe,B,B Grow,E,E Grow,ROE
2013/7/19,499.6,1.75,33.09,285.49,,15.1,,0.0529
2013/7/26,519.99,1.83,34.51,284.15,,15.07,,0.053
2013/8/2,531.88,1.88,35.33,282.91,,15.05,,0.0532
2013/8/9,535.27,1.9,35.55,281.72,,15.06,,0.0534
2013/8/16,540.64,1.92,35.96,281.58,,15.03,,0.0534
2013/8/23,509.48,1.82,33.48,279.93,,15.22,,0.0544
2013/8/30,538.35,1.94,35.99,277.5,,14.96,,0.0539
2013/9/6,534.66,1.93,35.87,277.03,,14.91,,0.0538
2013/9/13,589.14,2.13,39.53,276.59,,14.9,,0.0539
2013/9/18,572.74,2.07,38.45,276.69,,14.9,,0.0538
2013/9/27,559.5,2.02,37.5,276.98,,14.92,,0.0539
2013/9/30,553.01,1.99,37.0,277.89,,14.95,,0.0538
2013/10/11,553.52,2.0,37.06,276.76,,14.94,,0.054
2013/10/18,545.22,1.96,36.41,278.17,,14.97,,0.0538
2013/10/25,529.21,1.9,35.04,278.53,,15.1,,0.0542
2013/11/1,540.96,1.87,29.84,289.28,,18.13,,0.0627
2013/11/8,501.85,1.74,27.7,288.42,,18.12,,0.0628
2013/11/15,521.01,1.8,28.73,289.45,,18.13,,0.0627
2013/11/22,547.63,1.9,30.31,288.23,,18.07,,0.0627
2013/11/29,563.18,1.95,31.41,288.81,,17.93,,0.0621
2013/12/6,582.03,2.01,32.42,289.57,,17.95,,0.062
2013/12/13,567.68,1.96,31.66,289.63,,17.93,,0.0619
2013/12/20,545.69,1.89,30.45,288.72,,17.92,,0.0621
2013/12/27,555.37,1.92,30.95,289.26,,17.94,,0.062
2014/1/3,546.38,1.89,30.48,289.09,,17.93,,0.062
2014/1/10,525.48,1.81,29.29,290.32,,17.94,,0.0618
2014/1/17,525.28,1.81,29.16,290.21,,18.01,,0.0621
2014/1/24,550.58,1.89,30.46,291.31,,18.08,,0.062
2014/1/30,536.37,1.85,29.72,289.93,,18.05,,0.0622
2014/2/7,540.46,1.86,29.94,290.57,,18.05,,0.0621
2014/2/14,551.13,1.9,30.56,290.07,,18.03,,0.0622
2014/2/21,514.49,1.77,28.55,290.67,,18.02,,0.062
2014/2/28,508.19,1.74,28.35,292.06,,17.93,,0.0614
2014/3/7,496.14,1.7,27.69,291.85,,17.92,,0.0614
2014/3/14,481.76,1.65,26.89,291.98,,17.92,,0.0614
2014/3/21,490.37,1.68,27.22,291.89,,18.02,,0.0617
2014/3/28,487.35,1.67,26.7,291.83,,18.25,,0.0625
2014/4/4,500.92,1.71,27.71,292.94,,18.08,,0.0617
2014/4/11,529.63,1.81,29.06,292.61,,18.23,,0.0623
2014/4/18,521.93,1.78,27.99,293.22,,18.65,,0.0636
2014/4/25,502.82,1.7,26.57,295.78,,18.92,,0.064
2014/4/30,503.73,1.68,25.78,299.84,,19.54,,0.0652
2014/5/9,514.06,1.71,26.27,300.62,,19.57,,0.0651
2014/5/16,505.93,1.69,25.86,299.37,,19.56,,0.0654
2014/5/23,503.71,1.68,25.78,299.83,,19.54,,0.0652
2014/5/30,499.75,1.66,26.06,301.05,,19.18,,0.0637
2014/6/6,492.58,1.63,25.71,302.2,,19.16,,0.0634
2014/6/13,501.0,1.66,26.13,301.81,,19.17,,0.0635
2014/6/20,483.88,1.61,25.29,300.55,,19.13,,0.0637
2014/6/27,489.67,1.63,25.56,300.41,,19.16,,0.0638
2014/7/4,495.89,1.65,25.86,300.54,,19.18,,0.0638
2014/7/11,489.81,1.64,25.57,298.66,4.62%,19.16,26.87%,0.0641
2014/7/18,495.82,1.67,25.93,296.9,4.49%,19.12,26.90%,0.0644
2014/7/25,527.94,1.77,27.51,298.27,5.43%,19.19,27.47%,0.0643
2014/8/1,554.01,1.85,28.92,299.46,6.30%,19.16,27.23%,0.064
