stockcode,highest_index
22374,1.044
159329,1.049
520830,1.04
873002,1
22325,1.249
22503,1.063
19630,1.097
17970,1.091
22512,1.055
4161,1.179
19230,1.055
25339,1.027
24393,1.057
159803,1.482
23073,1.323
25174,1.051
23242,1.124
24166,1.118
7813,1.273
26228,1.065
24237,1.195
8095,1.075
7204,1.184
159202,1.328
23763,1.163
23764,1.203
520520,1.237
24148,1.173
22170,1.928
165510,0.917
520580,1.064
21583,1.396
100050,1.409
8367,1.122
20621,1.61
7360,1.215
159519,1.813
24055,1.206
19155,1.348
2230,2.514
3972,1.14
513810,1.788
513170,1.663
159303,2.193
2287,1.166
159557,1.904
21658,1.883
20634,2.013
3385,1.119
274,1.481
19415,1.809
520500,2.142
21053,2.15
25162,1.264
2426,1.23
4419,1.141
2391,1.239
513950,1.656
873013,1.145
20743,1.248
10343,1.228
2286,1.26
11940,1.023
2400,1.24
19102,1.226
23373,1.205
2877,1.537
18155,1.84
18851,1.054
8751,1.095
159561,1.4
320017,1.819
183001,1.354
19710,1.164
21633,1.846
19075,1.354
21189,1.288
19936,1.796
5243,1.272
22647,1.436
22121,1.349
159687,1.633
150170,1.629
50030,1.753
20988,1.635
22680,1.455
513400,1.256
159529,1.336
23034,1.331
22005,1.768
159699,1.155
22523,1.178
513210,1.69
18064,1.608
17641,1.592
159518,1.107
513530,1.88
501300,1.099
18738,1.488
13328,1.5
159655,1.777
513350,1.157
17028,1.603
22681,1.933
513650,1.759
159612,1.811
19265,2.002
342,1.811
7729,1.37
20712,1.198
19441,1.562
1061,1.877
23422,1.169
23402,1.194
15299,1.889
160922,1.28
19736,1.397
18043,1.892
16055,1.954
18966,1.545
21773,1.224
22524,1.24
22525,1.28
21838,1.28
21000,1.371
16532,2.008
16452,2.132
19547,1.458
19172,1.62
18229,1.552
12920,2.629
159659,1.989
159513,1.55
21778,1.326
513110,2.13
159660,2.018
159696,1.718
513870,1.758
159501,1.734
513390,2.074
17894,1.424
159632,2.1
19454,2.257
22664,1.178
19524,1.541
18577,1.489
513140,1.692
3629,1.847
19174,1.663
513290,1.516
17091,2.469
19118,1.906
103,1.502
15203,2.201
11706,1.325
16199,1.576
519602,1.802
159509,1.979
18336,1.418
15884,1.858
513310,2.84
159823,1.147
17071,1.423
13363,1.55
164701,1.857
202801,1.367
16701,1.861
160719,2.103
320013,2.575
13404,1.108
164212,1.642
513970,1.064
18200,1.02
369,2.865
501226,2.042
17653,1.916
110011,13.518
15310,1.526
17436,2.389
12570,1.837
206006,1.096
12060,1.762
519696,5.022
513260,1.666
163813,1.085
17144,1.897
161128,6.194
19670,1.648
7280,1.999
43,5.957
290,1.638
161130,4.135
539001,3.222
519981,3.825
513800,1.738
513880,1.747
513520,1.882
501225,2.134
17730,2.733
513100,9.25
161126,2.008
513300,2.314
18078,1.556
834,5.908
20515,1.356
159941,5.556
513000,1.88
206011,1.587
486002,4.501
18523,1.32
513220,1.486
513730,1.459
6105,1.648
40046,7.657
270042,9.289
501312,2.132
160213,12.954
18432,1.302
486001,3.831
159502,1.318
16664,1.953
15204,1.494
7721,2.127
50025,5.514
15282,1.636
4999,1.284
164824,1.649
4998,1.287
13308,1.59
159688,1.247
614,2.1
513500,4.619
161125,2.96
162415,3.127
241001,2.393
8707,1.593
1092,1.52
6445,1.726
70031,1.834
6555,2.629
4877,2.875
6373,4.667
159822,1.26
118002,3.356
6282,1.788
11583,1.359
862001,1.108
513380,1.582
80006,1.982
1984,2.372
2891,3.269
539003,1.503
179,2.194
513890,1.315
159750,1.233
262001,3.703
161124,1.526
14438,1.229
96001,3.774
160140,1.415
50015,1.878
2423,2.88
161815,1.018
161620,1.274
8763,1.838
12584,1.669
6308,3.353
5613,1.461
539002,1.496
11420,1.411
513120,1.584
1668,4.763
159607,1.274
513030,1.915
12208,1.006
378546,1.372
161116,1.749
377016,1.247
100061,4.841
12379,1
501021,1.965
159605,1.277
378006,1.633
49,1.625
40021,2.496
41,1.64
17429,1.391
14424,1.17
16970,1.437
40018,3.118
9108,1.966
988,2.673
7455,3.489
161229,2.355
519601,3.391
513280,1.388
159615,1.417
460010,1.945
164705,1.447
12979,1.064
160924,1.131
71,1.66
13171,1.064
5699,1.765
13127,1.053
70012,1.368
159920,1.757
13402,1.116
110031,1.331
50020,0.623
934,3.091
8253,1.558
161831,1.274
457001,2.22
12804,1.103
989,2.422
513330,1.075
160717,0.948
100055,3.879
161127,2.268
12348,1.015
118001,1.842
159850,1.038
513360,1
159747,1.035
510900,1.414
3243,2.671
160644,1.737
159740,1.032
513130,1.036
10644,1.254
513580,1.028
159741,1.026
5534,2.595
159742,1.043
513060,1.243
513180,1.04
160416,1.856
9225,1.784
513010,1.034
164906,2.529
8284,1.983
2379,2.404
5698,2.28
270023,5.983
160125,2.123
6327,1.935
159892,1.026
513050,2.564
12535,1.034
1691,2.907
162719,2.681
163208,1.235
470888,1.89
165513,1.109
160723,1.75
161129,1.472
501018,1.48
162411,0.879
1481,1.031
160216,0.697
