2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,026357,2026-01-30,平安港股医疗优选股票（QDII）(026357),-14.41%,-14.41%,0.00%,16.83%
QDII,159100,2025-11-07,华夏布拉德斯科巴西伊博维斯帕ETF（QDII）(159100),-10.62%,-10.62%,0.00%,11.88%
QDII,520870,2025-11-07,易方达伊塔乌巴西IBOVESPA ETF（QDII）(520870),-10.50%,-10.50%,0.00%,11.73%
QDII,024393,2025-07-21,永赢恒生消费指数发起（QDII）(024393),-17.35%,-17.35%,0.00%,21.00%
QDII,023242,2025-03-07,中欧恒生消费指数发起（QDII）(023242),-18.62%,-18.62%,0.00%,22.89%
QDII,022503,2024-11-05,富国全球债券（QDII）E,-3.74%,-3.74%,0.00%,3.89%
QDII,022374,2024-10-30,富国亚洲收益债券（QDII）E,-2.96%,-2.96%,0.00%,3.05%
QDII,520520,2024-10-25,华泰柏瑞恒生消费ETF（QDII)(520520),-18.61%,-18.61%,0.00%,22.86%
QDII,019630,2023-09-26,银华美元债精选债券（QDII）D,-2.94%,-2.94%,0.00%,3.03%
QDII,017970,2023-05-23,摩根海外稳健配置混合(QDII-FOF)(017970),-2.48%,-2.48%,0.00%,2.55%
QDII,862001,2021-01-04,光大阳光香港精选混合（QDII）A,-58.71%,-58.71%,0.00%,142.20%
QDII,150169,2014-03-06,恒生A,0.00%,0.00%,0.00%,0.00%
QDII,022512,2024-11-06,南方亚洲美元收益债券（QDII）E（人民币）,-3.24%,-3.26%,0.02%,3.35%
QDII,150175,2014-04-09,恒中企A,0.00%,-0.18%,0.18%,0.00%
QDII,873002,2020-12-02,广发资管全球精选一年持有期债券（QDII）,-0.14%,-0.34%,0.20%,0.14%
QDII,026703,2026-03-27,长城港股价值优选股票（QDII）(026703),-0.85%,-1.52%,0.68%,0.86%
QDII,024055,2025-06-27,大成恒生医疗保健ETF发起式联接（QDII）(024055),-26.15%,-26.69%,0.73%,35.42%
QDII,159557,2024-05-10,嘉实恒生医疗保健ETF（QDII）(159557),-27.65%,-28.41%,1.05%,38.22%
QDII,159303,2024-06-21,恒生医疗ETF基金(159303),-27.84%,-28.65%,1.13%,38.58%
QDII,021658,2024-11-22,华安恒生生物科技指数发起式（QDII）(021658),-25.27%,-26.45%,1.58%,33.81%
QDII,025787,2026-01-30,大成港股恒信混合（QDII）(025787),-8.22%,-9.77%,1.68%,8.96%
QDII,020634,2024-03-01,汇添富恒生生物科技ETF发起式联接（QDII）(020634),-25.34%,-26.80%,1.96%,33.94%
QDII,021053,2024-04-25,南方恒生香港上市生物科技ETF发起联接（QDII）I,-25.72%,-27.27%,2.09%,34.62%
QDII,020743,2024-04-03,广发恒生消费ETF发起式联接（QDII）(020743),-18.96%,-20.65%,2.09%,23.39%
QDII,520500,2024-12-20,华泰柏瑞恒生创新药ETF(QDII)(520500),-31.51%,-32.99%,2.16%,46.00%
QDII,520580,2025-01-16,招商利安新兴亚洲精选ETF（QDII）(520580),-8.99%,-11.50%,2.76%,9.87%
QDII,019102,2023-11-03,景顺长城恒生消费ETF联接（QDII） (019102),-18.27%,-20.88%,3.19%,22.35%
QDII,023764,2025-03-31,华夏恒生互联网科技业ETF发起式联接（QDII）D,-29.26%,-31.55%,3.23%,41.37%
QDII,008095,2020-06-08,中银亚太精选债券（QDII）(008095),-2.45%,-5.85%,3.49%,2.51%
QDII,159202,2025-04-03,万家恒生互联网科技业ETF(QDII)(159202),-30.55%,-32.99%,3.52%,43.99%
QDII,019936,2024-02-08,华安恒生互联网科技业ETF发起式联接（QDII）(019936),-28.56%,-31.07%,3.52%,39.98%
QDII,025654,2025-10-17,富国医药精选混合（QDII）(025654),-7.65%,-11.23%,3.87%,8.29%
QDII,007204,2019-05-27,银华美元债精选债券(QDII)(007204),-2.82%,-6.65%,3.94%,2.91%
QDII,024166,2025-07-25,西部利得恒生科技指数（QDII）(024166),-25.80%,-28.74%,3.97%,34.77%
QDII,022680,2024-11-26,华泰柏瑞恒生科技ETF联接（QDII）I,-25.98%,-29.28%,4.46%,35.11%
QDII,023763,2025-03-31,华夏恒生科技ETF发起式联接（QDII）D,-26.41%,-29.72%,4.51%,35.88%
