2026/1/7,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,22374,2024/10/30,富国亚洲收益债券（QDII）E,-1.24%,-1.24%,0.00%,1.26%
QDII,159329,2024/7/5,南方基金南方东英沙特阿拉伯ETF（QDII）,-16.53%,-16.53%,0.00%,19.80%
QDII,520830,2024/7/5,沙特ETF,-16.80%,-16.80%,0.00%,20.19%
QDII,873002,2020/12/2,广发资管全球精选一年持有期债券（QDII）,-0.17%,-0.38%,0.21%,0.17%
QDII,22325,2025/3/13,长城中证港股通高股息指数发起（QDII）A,-8.57%,-9.09%,0.57%,9.37%
QDII,22503,2024/11/5,富国全球债券（QDII）E,-1.67%,-2.30%,0.64%,1.70%
QDII,19630,2023/9/26,银华美元债精选债券（QDII）D,-1.33%,-2.02%,0.70%,1.35%
QDII,17970,2023/5/23,摩根海外稳健配置混合(QDII-FOF)人民币A,-0.50%,-1.27%,0.77%,0.50%
QDII,22512,2024/11/6,南方亚洲美元收益债券（QDII）E（人民币）,-1.00%,-2.08%,1.09%,1.01%
QDII,4161,2017/9/13,国泰中国企业信用精选债券(QDII),-9.59%,-10.88%,1.43%,10.61%
QDII,19230,2024/4/26,广发全球稳健配置混合（QDII）A,-3.00%,-5.26%,2.33%,3.09%
QDII,25339,2025/8/26,招商普盛全球配置（QDII）人民币D,-0.77%,-3.23%,2.48%,0.78%
QDII,24393,2025/7/21,永赢恒生消费指数发起（QDII）A,-9.99%,-12.46%,2.74%,11.10%
QDII,159803,2020/4/27,易方达中证浙江新动能ETF(QDII),-13.66%,-16.50%,3.29%,15.82%
QDII,23073,2025/1/17,国泰海通中证港股通高股息投资指数发起（QDII）A,-9.09%,-12.20%,3.42%,10.00%
QDII,25174,2025/8/22,长城港股医疗保健精选混合发起（QDII）A,-21.99%,-24.69%,3.46%,28.19%
QDII,23242,2025/3/7,中欧恒生消费指数发起（QDII）A,-10.67%,-14.25%,4.01%,11.94%
QDII,24166,2025/7/25,西部利得恒生科技指数（QDII）A,-12.34%,-16.59%,4.85%,14.08%
QDII,7813,2020/4/24,易方达中证浙江新动能ETF联接(QDII),-11.09%,-15.40%,4.85%,12.47%
QDII,26228,2025/12/3,富国全球科技互联网股票（QDII）D,0.00%,-4.94%,4.94%,0.00%
QDII,24237,2025/5/13,博时纳斯达克100ETF发起式联接（QDII）I,-2.59%,-7.43%,4.97%,2.66%
QDII,8095,2020/6/8,中银亚太精选债券（QDII）A（人民币份额）,-0.77%,-5.85%,5.12%,0.78%
QDII,7204,2019/5/27,银华美元债精选债券（QDII）A,-1.33%,-6.65%,5.39%,1.35%
QDII,159202,2025/4/3,万家恒生互联网科技业ETF(QDII),-12.57%,-17.31%,5.42%,14.38%
QDII,23763,2025/3/31,华夏恒生科技ETF发起式联接（QDII）D,-12.21%,-17.45%,5.97%,13.91%
QDII,23764,2025/3/31,华夏恒生互联网科技业ETF发起式联接（QDII）D,-11.82%,-17.18%,6.08%,13.40%
QDII,520520,2024/10/25,HK消费,-10.93%,-16.39%,6.13%,12.27%
QDII,24148,2025/6/19,长城恒生科技指数（QDII）A,-10.72%,-16.27%,6.22%,12.01%
QDII,22170,2024/9/18,富国全球消费精选混合（QDII）E,-5.56%,-11.76%,6.57%,5.89%
QDII,165510,2010/12/17,信诚四国配置（QDII-FOF-LOF）,-32.82%,-37.30%,6.67%,48.85%
QDII,520580,2025/1/16,招商利安新兴亚洲精选ETF（QDII）,-2.60%,-9.49%,7.07%,2.67%
QDII,21583,2024/7/3,中欧中证港股通央企红利指数发起(QDII)A,-6.41%,-13.36%,7.43%,6.85%
QDII,100050,2010/10/20,富国全球债券（QDII）人民币A,-1.67%,-9.18%,7.64%,1.70%
QDII,8367,2020/4/7,富国亚洲收益债券（QDII）A,-1.24%,-9.86%,8.73%,1.26%
QDII,20621,2024/3/8,华夏中证香港内地国有企业ETF发起式联接（QDII）A,-4.63%,-13.02%,8.80%,4.85%
QDII,7360,2019/6/5,易方达中短期美元债债券（QDII）A,-0.70%,-9.46%,8.82%,0.70%
QDII,159519,2023/8/23,国泰中证香港内地国有企业ETF（QDII）,-4.84%,-13.39%,8.98%,5.09%
QDII,24055,2025/6/27,大成恒生医疗保健ETF发起式联接（QDII）A,-12.73%,-20.58%,9.00%,14.59%
QDII,19155,2023/9/5,易方达全球配置混合（QDII）A,-0.40%,-9.36%,9.00%,0.40%
QDII,2230,2016/1/20,华夏大中华混合（QDII）,-59.59%,-63.25%,9.06%,147.46%
QDII,3972,2017/1/25,国富美元债一年持有期债券（QDII）人民币,-7.07%,-15.72%,9.31%,7.61%
QDII,513810,2023/8/21,华夏中证香港内地国有企业ETF（QDII）,-4.83%,-13.78%,9.40%,5.08%
QDII,513170,2024/4/12,鹏华恒生中国央企ETF（QDII),-4.79%,-13.87%,9.54%,5.03%
QDII,159303,2024/6/21,大成恒生医疗保健ETF（QDII）,-13.44%,-21.78%,9.63%,15.53%
QDII,2287,2015/12/30,中银美元债债券（QDII）美元份额,-1.67%,-11.24%,9.73%,1.70%
QDII,159557,2024/5/10,嘉实恒生医疗保健ETF（QDII）,-13.47%,-21.94%,9.79%,15.57%
QDII,21658,2024/11/22,华安恒生生物科技指数发起式（QDII）A,-12.34%,-21.01%,9.89%,14.08%
QDII,20634,2024/3/1,汇添富恒生生物科技ETF发起式联接（QDII）A,-12.60%,-21.29%,9.94%,14.42%
QDII,3385,2017/1/23,工银全球美元债A类,-3.05%,-12.73%,9.98%,3.15%
QDII,274,2013/11/28,广发亚太中高收益债券（QDII）A,-11.97%,-20.77%,10.00%,13.60%
QDII,19415,2023/10/27,南方港股医药行业混合发起（QDII）A,-16.50%,-24.86%,10.01%,19.76%
QDII,520500,2024/12/20,恒生新药,-18.05%,-26.30%,10.07%,22.03%
QDII,21053,2024/4/25,南方恒生香港上市生物科技ETF发起联接（QDII）I,-12.85%,-21.64%,10.09%,14.74%
QDII,25162,2025/8/11,国泰大宗商品（QDII-LOF）D,0.00%,-10.21%,10.21%,0.00%
QDII,2426,2016/6/3,华安美元票息债-A,-1.14%,-11.29%,10.27%,1.15%
QDII,4419,2017/4/20,汇添富美元债债券（QDII）人民币A,-6.45%,-16.35%,10.58%,6.89%
QDII,2391,2016/3/23,华安美元收益-A,-1.05%,-11.57%,10.63%,1.06%
QDII,513950,2023/4/19,富国恒生港股通高股息低波动ETF（QDII）,-5.45%,-15.62%,10.76%,5.76%
QDII,873013,2020/12/2,广发资管全球精选一年持有期债券A,-0.60%,-11.40%,10.87%,0.60%
QDII,20743,2024/4/3,广发恒生消费ETF发起式联接（QDII）A,-10.91%,-20.65%,10.93%,12.25%
QDII,10343,2020/11/10,华宝富时100A,-8.55%,-18.60%,10.99%,9.35%
QDII,2286,2015/12/30,中银美元债债券（QDII）人民币A,-1.56%,-12.71%,11.33%,1.58%
QDII,11940,2021/4/16,大成全球美元债A美元,-8.43%,-18.92%,11.46%,9.21%
QDII,2400,2016/3/3,南方亚洲美元收益债券（QDII）A（人民币）,-14.02%,-23.88%,11.47%,16.31%
QDII,19102,2023/11/3,景顺长城恒生消费ETF联接（QDII）A,-10.61%,-20.88%,11.49%,11.87%
QDII,23373,2025/2/12,建信富时100指数D(人民币),0.00%,-11.50%,11.50%,0.00%
