2026-04-24,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,026703,2026-03-27,长城港股价值优选股票（QDII）A,-0.60%,-0.60%,0.00%,0.60%
QDII,150175,2014-04-09,恒中企A,-7.89%,-7.89%,0.00%,8.57%
QDII,150169,2014-03-06,恒生A,0.00%,-0.01%,0.01%,0.00%
QDII,017970,2023-05-23,摩根海外稳健配置混合(QDII-FOF)人民币A,-2.15%,-2.30%,0.15%,2.20%
QDII,873002,2020-12-02,广发资管全球精选一年持有期债券（QDII）,-0.17%,-0.38%,0.21%,0.17%
QDII,019630,2023-09-26,银华美元债精选债券（QDII）D,-2.54%,-2.84%,0.31%,2.61%
QDII,022374,2024-10-30,富国亚洲收益债券（QDII）E,-2.42%,-2.79%,0.38%,2.48%
QDII,022503,2024-11-05,富国全球债券（QDII）E,-2.92%,-3.40%,0.49%,3.01%
QDII,022512,2024-11-06,南方亚洲美元收益债券（QDII）E（人民币）,-2.76%,-3.32%,0.58%,2.84%
QDII,026357,2026-01-30,平安港股医疗优选股票（QDII）A,-7.05%,-8.28%,1.32%,7.58%
QDII,023242,2025-03-07,中欧恒生消费指数发起（QDII）A,-16.58%,-17.81%,1.47%,19.88%
QDII,025162,2025-08-11,国泰大宗商品（QDII-LOF）D,-10.51%,-11.86%,1.51%,11.74%
QDII,024393,2025-07-21,永赢恒生消费指数发起（QDII）A,-15.55%,-17.19%,1.94%,18.41%
QDII,520520,2024-10-25,华泰柏瑞恒生消费ETF (QDII),-16.60%,-18.23%,1.95%,19.90%
QDII,520580,2025-01-16,招商利安新兴亚洲精选ETF（QDII）,-9.38%,-11.50%,2.34%,10.35%
QDII,025787,2026-01-30,大成港股恒信混合（QDII）,-7.32%,-9.77%,2.64%,7.90%
QDII,023764,2025-03-31,华夏恒生互联网科技业ETF发起式联接（QDII）D,-28.85%,-31.55%,3.79%,40.55%
QDII,019936,2024-02-08,华安恒生互联网科技业ETF发起式联接（QDII）A,-28.26%,-31.07%,3.92%,39.39%
QDII,159202,2025-04-03,万家恒生互联网科技业ETF(QDII),-30.22%,-32.99%,3.97%,43.31%
QDII,024166,2025-07-25,西部利得恒生科技指数（QDII）A,-25.74%,-28.74%,4.04%,34.66%
QDII,008095,2020-06-08,中银亚太精选债券（QDII）A（人民币份额）,-1.84%,-5.85%,4.09%,1.87%
QDII,007204,2019-05-27,银华美元债精选债券（QDII）A,-2.55%,-6.65%,4.21%,2.62%
QDII,026206,2026-01-16,宝盈恒生科技指数（QDII）A,-10.41%,-14.23%,4.26%,11.62%
QDII,020743,2024-04-03,广发恒生消费ETF发起式联接（QDII）A,-17.07%,-20.65%,4.32%,20.58%
QDII,022680,2024-11-26,华泰柏瑞恒生科技ETF联接（QDII）I,-26.08%,-29.28%,4.33%,35.28%
QDII,023034,2025-01-17,中欧恒生科技指数发起(QDII)A,-25.63%,-28.88%,4.37%,34.46%
QDII,023763,2025-03-31,华夏恒生科技ETF发起式联接（QDII）D,-26.50%,-29.72%,4.38%,36.05%
QDII,022005,2024-09-04,广发恒生科技ETF联接（QDII）F,-26.48%,-29.70%,4.38%,36.02%
QDII,020988,2024-05-24,南方恒生科技ETF发起联接（QDII）A,-26.04%,-29.31%,4.42%,35.21%
QDII,024148,2025-06-19,长城恒生科技指数（QDII）A,-25.59%,-28.98%,4.56%,34.39%
QDII,022647,2024-11-19,华安恒生科技ETF发起式联接（QDII）I,-26.76%,-30.10%,4.56%,36.54%
QDII,520920,2025-09-26,天弘恒生科技ETF,-27.58%,-30.91%,4.60%,38.08%
QDII,022121,2024-10-11,国泰海通中证香港科技指数发起（QDII）A,-24.53%,-28.01%,4.61%,32.50%
QDII,520570,2025-10-31,南方恒生科技ETF（QDII）,-20.15%,-23.84%,4.62%,25.23%
